N	3gram	Vygotskiy_	Marksizm
1	с точки зрения	5	46
2	не может быть	4	25
3	в самом деле	8	19
4	по отношению к	2	15
5	в том что	30	14
6	для того чтобы	41	11
7	до сих пор	9	11
8	с самого начала	5	10
9	в отличие от	3	10
10	одного и того	2	9
11	и того же	2	9
12	то же самое	8	8
13	может быть и	2	8
14	с другой стороны	8	7
15	на самом деле	8	6
16	на то что	25	6
17	с одной стороны	15	6
18	той или иной	2	5
19	и как бы	4	5
20	в этом отношении	3	5
21	к тому что	8	5
22	в этом случае	2	5
23	том что он	4	4
24	можно сказать что	3	4
25	о том что	15	4
26	в нем нет	3	4
27	в зависимости от	7	4
28	и то же	4	3
29	на первый план	2	3
30	и тот же	2	3
31	в конце концов	6	3
32	друг с другом	6	3
33	одной и той	4	3
34	одним и тем	3	3
35	можно было бы	4	3
36	одно и то	3	3
37	и той же	4	3
38	на этот вопрос	5	3
39	не только в	5	3
40	сводится к тому	3	3
41	и тем же	3	3
42	лежащая в основе	2	3
43	и в этом	2	3
44	именно в том	3	3
45	и та же	3	2
46	само по себе	3	2
47	тех пор пока	2	2
48	самом деле если	2	2
49	мы никогда не	5	2
50	таким образом в	2	2
51	одна и та	2	2
52	до тех пор	2	2
53	собственном смысле слова	2	2
54	так же как	3	2
55	вопрос о том	3	2
56	в данном случае	3	2
57	что он не	3	2
58	сами по себе	2	2
59	и в самом	3	2
60	сама по себе	3	2
61	того чтобы понять	2	2
62	друг от друга	2	2
63	с тем что	3	2
64	в собственном смысле	2	2
65	не то что	3	2
66	и в результате	3	2
67	и в том	2	2
68	должен был бы	3	2
69	в этом смысле	3	2
70	он должен был	2	2
