N	2gram	Bakhtin_fo	Hudozhes
1	в качестве	6	31
2	то есть	42	26
3	в мире	4	24
4	и в	84	23
5	не только	16	20
6	в том	16	20
7	может быть	18	19
8	при этом	8	19
9	в частности	11	18
10	и не	19	16
11	но и	14	14
12	а в	6	13
13	в себе	7	13
14	но не	9	13
15	а не	7	13
16	то же	18	12
17	в этом	41	12
18	и его	26	12
19	так и	17	12
20	как бы	11	11
21	точки зрения	14	11
22	в его	19	11
23	но в	16	10
24	по отношению	3	10
25	отношению к	5	10
26	не в	10	9
27	или иной	4	9
28	том что	7	9
29	не может	8	9
30	с другой	4	9
31	в то	13	8
32	себя в	2	8
33	в самом	9	7
34	и т.п	6	7
35	отношение к	5	7
36	лишь в	8	7
37	в своей	2	7
38	только в	12	7
39	же время	13	7
40	как это	2	7
41	что в	9	7
42	отличие от	3	7
43	в отличие	3	7
44	в основе	9	7
45	не столько	2	7
46	мы имеем	2	6
47	уже не	5	6
48	а также	5	6
49	в нем	28	6
50	с ее	7	6
51	можно сказать	2	6
52	в ее	6	6
53	с его	10	6
54	ни в	9	5
55	с другими	3	5
56	той или	3	5
57	картина мира	2	5
58	самим собой	2	5
59	могут быть	7	5
60	между ними	5	5
61	место в	4	5
62	для того	12	5
63	того чтобы	11	5
64	в виду	5	5
65	в их	9	5
66	не является	4	5
67	героя и	7	5
68	что он	2	5
69	не на	4	5
70	то что	13	5
71	прежде всего	28	5
72	того что	5	5
73	мыслится как	2	5
74	для него	5	5
75	и то	5	4
76	сказать что	4	4
77	в отношении	5	4
78	его в	8	4
79	далеко не	3	4
80	это не	8	4
81	для себя	8	4
82	а только	2	4
83	так в	2	4
84	к тому	6	4
85	на почве	2	4
86	во времени	6	4
87	входит в	3	4
88	в данном	4	4
89	и т.д	2	4
90	во втором	2	4
91	жизни как	2	4
92	в форме	5	4
93	в другом	2	4
94	не знает	4	4
95	и как	12	4
96	еще не	8	4
97	в этих	6	4
98	он не	6	4
99	отношения к	7	4
100	например в	7	4
101	в себя	3	4
102	в своем	8	4
103	хотя и	5	4
104	со своей	3	4
105	в жизни	6	3
106	и для	12	3
107	по своему	3	3
108	одно и	4	3
109	как уже	3	3
110	и ее	4	3
111	за пределами	2	3
112	автора и	4	3
113	в романе	40	3
114	как и	15	3
115	того же	9	3
116	их в	6	3
117	потому что	11	3
118	о чем	4	3
119	одной стороны	3	3
120	по преимуществу	4	3
121	том числе	7	3
122	в целом	2	3
123	имеем в	3	3
124	в свою	2	3
125	человеческой жизни	9	3
126	и к	4	3
127	во всех	13	3
128	личности и	2	3
129	одного и	6	3
130	картины мира	2	3
131	из этих	5	3
132	связи с	14	3
133	и на	13	3
134	если бы	6	3
135	в той	5	3
136	и прежде	4	3
137	как раз	13	3
138	с точки	9	3
139	и того	7	3
140	он должен	2	3
141	не обязательно	2	3
142	себя и	6	3
143	с этой	3	3
144	в связи	13	3
145	таким образом	14	3
146	в таком	4	3
147	и сам	2	3
148	есть в	3	3
149	в которой	3	3
150	никто не	2	3
151	во всей	3	3
152	принадлежит к	4	3
153	была бы	2	3
154	в пределах	8	3
155	в одном	10	3
156	с одной	5	3
157	но он	4	3
158	имеет место	6	3
159	никогда не	8	2
160	самим собою	5	2
161	о том	4	2
162	одной из	3	2
163	в литературе	17	2
164	жизни но	7	2
165	в каком	2	2
166	одна из	3	2
167	как в	10	2
168	и др	13	2
169	не могли	3	2
170	одно из	3	2
171	и это	5	2
172	ее в	2	2
173	и потому	4	2
174	от всех	2	2
175	то в	2	2
176	идет о	2	2
177	вследствие этого	4	2
178	в самой	3	2
179	могло быть	5	2
180	еще и	3	2
181	в чем	3	2
182	или в	3	2
183	строго говоря	2	2
184	вступает в	2	2
185	именно в	5	2
186	жизни на	2	2
187	жизни в	11	2
188	все эти	12	2
189	было и	4	2
190	тем более	4	2
191	времени в	14	2
192	человека и	15	2
193	мира и	6	2
194	ни был	2	2
195	времени и	10	2
196	образом и	2	2
197	оно не	3	2
198	с их	2	2
199	должен быть	2	2
200	быть и	4	2
201	не входит	2	2
202	частной жизни	24	2
203	только и	5	2
204	не как	2	2
205	но она	2	2
206	с самим	6	2
207	в глаза	3	2
208	так же	7	2
209	об этом	3	2
210	но на	4	2
211	и по	5	2
212	между собой	5	2
213	отнюдь не	7	2
214	один из	5	2
215	на котором	2	2
216	в них	11	2
217	по себе	3	2
218	в пространстве	10	2
219	в порядке	4	2
220	не могло	5	2
221	с чем	2	2
222	хронотоп в	6	2
223	роль в	12	2
224	к жизни	2	2
225	на этом	2	2
226	вещами и	3	2
227	слова и	4	2
228	мира в	6	2
229	все это	10	2
230	к другому	2	2
231	между двумя	6	2
232	числе и	4	2
233	что и	5	2
234	всей его	2	2
235	в значительной	3	2
236	в одно	3	2
237	и может	2	2
238	к своему	2	2
239	и другие	6	2
240	мире и	3	2
241	своей жизни	6	2
242	а затем	3	2
243	самом деле	2	2
244	и более	3	2
245	совершенно иной	3	2
246	этого слова	2	2
247	в нашем	3	2
248	в этой	3	2
249	этом мире	7	2
250	ни к	3	2
251	жизни то	2	2
252	с ним	5	2
253	вовсе не	20	2
254	в аспекте	2	2
255	если мы	2	2
256	на основе	5	2
257	у него	8	2
258	с человеком	2	2
259	здесь не	5	2
