N	2gram	Savitsky_P	PoTuStor
1	может быть	5	17
2	и в	14	16
3	и пр	5	12
4	в этом	10	9
5	прежде всего	3	9
6	и с	2	8
7	точки зрения	3	8
8	не может	4	8
9	не только	17	7
10	и это	2	6
11	с точки	3	6
12	я и	3	6
13	и к	4	6
14	как бы	4	5
15	все это	2	4
16	в его	2	4
17	но и	6	4
18	и не	12	4
19	но в	9	4
20	только в	7	4
21	в нем	3	4
22	хотя бы	8	4
23	с ними	3	4
24	отнюдь не	2	4
25	что в	4	3
26	и как	3	3
27	и потому	4	3
28	а в	4	3
29	в том	9	3
30	по сравнению	2	3
31	и вот	2	3
32	в общем	2	3
33	в области	11	3
34	и есть	2	3
35	отношения к	2	3
36	то что	4	3
37	во всех	2	3
38	могут быть	3	3
39	том что	4	3
40	для нас	2	2
41	что мы	3	2
42	в них	2	2
43	в жизни	2	2
44	не менее	2	2
45	и мы	2	2
46	было бы	6	2
47	сводится к	3	2
48	и других	2	2
49	то же	9	2
50	с этим	2	2
51	говорить о	2	2
52	мы не	3	2
53	в начале	2	2
54	в частности	2	2
55	во всей	2	2
56	и о	5	2
57	на этих	2	2
58	в пределах	8	2
59	быть может	6	2
60	есть в	2	2
