N	3gram	Vygotskiy_	Russkaja
1	друг с другом	6	14
2	с точки зрения	5	9
3	в том что	30	7
4	для того чтобы	41	6
5	на самом деле	8	6
6	до сих пор	9	5
7	на то что	25	4
8	не может быть	4	4
9	вместе с тем	4	3
10	в этом случае	2	3
11	в конце концов	6	3
12	в лучшем случае	3	3
13	в данном случае	3	3
14	той или иной	2	3
15	и то что	4	3
16	можно было бы	4	3
17	к тому что	8	2
18	что он не	3	2
19	и в том	2	2
20	в том и	3	2
21	о том что	15	2
22	ни одна из	2	2
23	тот факт что	6	2
24	сама по себе	3	2
25	друг от друга	2	2
