N	2gram	Vinokur_St	Analitik
1	не только	36	71
2	и в	61	66
3	в качестве	7	61
4	но и	28	57
5	в том	56	52
6	может быть	16	52
7	в частности	6	51
8	в этом	37	51
9	как и	11	50
10	и не	23	48
11	в тексте	12	42
12	а не	19	42
13	том что	49	40
14	при этом	4	40
15	так и	15	35
16	то есть	2	35
17	своего рода	7	30
18	не может	10	29
19	как бы	8	29
20	а в	18	28
21	в его	19	27
22	и его	11	27
23	не в	15	26
24	но не	5	26
25	текста в	5	26
26	в себе	3	24
27	к тому	9	22
28	и даже	8	22
29	в этой	13	22
30	что в	41	22
31	лишь в	3	21
32	о том	30	20
33	по отношению	3	19
34	но в	16	19
35	в своей	12	19
36	то же	7	19
37	в самом	14	19
38	с его	3	19
39	в то	10	18
40	произведения в	2	18
41	в данном	16	18
42	отношению к	3	18
43	тем самым	2	17
44	с другой	11	17
45	со стороны	7	17
46	такого рода	2	17
47	в целом	5	17
48	только в	11	17
49	могут быть	5	16
50	то что	27	16
51	что и	8	16
52	в их	3	15
53	прежде всего	11	15
54	в сущности	2	15
55	и на	7	15
56	между тем	7	15
57	данном случае	7	14
58	не менее	8	14
59	того же	4	14
60	мы имеем	2	14
61	столь же	5	14
62	же время	5	14
63	по себе	3	13
64	ничего не	6	13
65	точки зрения	16	13
66	в начале	5	13
67	как раз	10	13
68	этого слова	2	13
69	для него	10	13
70	а также	4	13
71	как правило	2	13
72	в случае	2	13
73	он не	11	13
74	тому же	2	13
75	никогда не	7	12
76	и к	5	12
77	как это	6	12
78	в первой	12	12
79	еще не	4	12
80	как в	15	12
81	и сам	4	12
82	даже в	5	11
83	это не	8	11
84	в повестях	6	11
85	во второй	10	11
86	нуждается в	2	11
87	по своей	2	11
88	и как	2	11
89	можно сказать	2	11
90	той же	5	11
91	в той	9	11
92	имеем дело	2	11
93	в конце	5	10
94	все же	12	10
95	на себя	3	10
96	было бы	21	10
97	того или	4	10
98	особенно в	2	10
99	с одной	3	10
100	именно в	8	10
101	совпадает с	3	10
102	отношения к	2	10
103	в своем	8	9
104	того что	14	9
105	не столько	6	9
106	одной стороны	2	9
107	крайней мере	2	9
108	по поводу	13	9
109	или иного	4	9
110	другой стороны	9	9
111	за пределы	2	9
112	во всех	8	9
113	в результате	5	9
114	только не	2	9
115	по крайней	2	9
116	что касается	4	9
117	в русской	4	9
118	говорит о	5	9
119	говорить о	3	9
120	таким образом	16	9
121	вместе с	5	9
122	я с	3	8
123	о чем	4	8
124	не всегда	2	8
125	что он	23	8
126	дело с	2	8
127	одной из	4	8
128	и все	3	8
129	этом отношении	13	8
130	хотя и	4	8
131	в основе	4	8
132	дело не	4	8
133	если бы	11	8
134	не является	5	8
135	времени и	4	8
136	как известно	2	8
137	в сторону	2	8
138	с точки	10	8
139	свое время	3	7
140	вплоть до	6	7
141	в другом	5	7
142	как говорит	3	7
143	в новом	4	7
144	и тем	3	7
145	в году	3	7
146	в свое	3	7
147	место в	2	7
148	на его	2	7
149	в ее	6	7
150	все это	13	7
151	во всяком	8	7
152	несмотря на	4	7
153	как будто	5	7
154	и для	4	7
155	у него	3	7
156	или иначе	3	7
157	в одном	7	7
158	всяком случае	8	7
159	внимание на	5	7
160	в таком	4	7
161	не мог	3	7
162	его в	4	6
163	из того	2	6
164	если в	2	6
165	вопроса о	3	6
166	что не	3	6
167	ли не	2	6
