N	2gram	Bakhtin_Fr	OGranits
1	и в	68	13
2	и его	26	12
3	прежде всего	23	9
4	и не	25	8
5	не может	5	8
6	может быть	10	8
7	в его	21	7
8	и их	5	7
9	точки зрения	8	7
10	и т.п	17	7
11	не только	21	6
12	как бы	7	6
13	таким образом	22	6
14	только в	9	6
15	то что	11	6
16	все же	6	5
17	с точки	4	5
18	метода в	2	5
19	но ведь	3	5
20	и наконец	5	5
21	хотя бы	2	5
22	еще и	6	4
23	но в	20	4
24	лишь в	3	4
25	то же	14	4
26	в своей	11	4
27	все это	6	4
28	было бы	4	4
29	мы не	3	4
30	слов и	4	4
31	вполне понятно	4	4
32	никогда не	2	3
33	да и	2	3
34	и для	6	3
35	слово в	3	3
36	и то	2	3
37	и все	16	3
38	связана с	4	3
39	в ее	5	3
40	превращается в	4	3
41	вряд ли	3	3
42	с этим	2	3
43	при анализе	3	3
44	отношению к	2	3
45	как и	17	3
46	не в	2	3
47	в их	6	3
48	так как	7	3
49	понятно что	3	3
50	в себе	5	3
51	что в	14	3
52	по отношению	3	3
53	самом деле	5	3
54	так и	8	3
55	в которой	6	3
56	к одному	2	3
57	в одном	7	3
58	здесь мы	3	3
59	но и	17	3
60	в самом	6	2
61	мы видим	9	2
62	своего рода	5	2
63	в этом	28	2
64	смысле слова	5	2
65	в них	19	2
66	данном случае	3	2
67	в книге	5	2
68	уже в	4	2
69	в том	12	2
70	тем что	6	2
71	в отношении	3	2
72	в целом	3	2
73	если бы	3	2
74	не исчерпывается	2	2
75	в произведении	3	2
76	от этого	2	2
77	думать что	2	2
78	с одной	5	2
79	роль в	7	2
80	и др	9	2
81	громадную роль	2	2
82	с другой	8	2
83	там где	6	2
84	форм но	2	2
85	слова и	3	2
86	а в	3	2
87	том что	6	2
88	а также	6	2
89	и к	4	2
90	в языке	2	2
91	в связи	7	2
92	в данном	5	2
93	в общем	2	2
94	не менее	2	2
95	и следовательно	3	2
96	с ними	4	2
97	все эти	16	2
98	в области	5	2
99	что эта	2	2
100	связанные с	4	2
101	так же	3	2
102	что они	3	2
103	мы уже	19	2
104	те же	6	2
105	нуждается в	4	2
106	и при	2	2
107	в своих	7	2
108	его на	2	2
109	в нем	12	2
110	не на	2	2
111	при этом	5	2
112	и ее	3	2
113	форм и	2	2
114	а не	6	2
115	во всей	3	2
116	в ней	6	2
117	входит в	2	2
118	еще в	4	2
119	в течение	3	2
120	как в	4	2
121	другой стороны	5	2
122	во всем	4	2
123	одной стороны	4	2
124	между тем	3	2
125	и этот	2	2
126	в чем	3	2
127	тот же	4	2
128	в другом	3	2
129	вовсе не	18	2
130	в этот	2	2
131	с помощью	5	2
132	наконец в	3	2
133	для него	7	2
134	и стиль	2	2
