N	2gram	Savitsky_E	FransuaR
1	и в	37	367
2	то есть	6	209
3	в этом	12	112
4	и не	14	101
5	таким образом	2	100
6	в его	2	98
7	прежде всего	9	92
8	не только	18	87
9	но и	14	84
10	как бы	6	82
11	вовсе не	6	77
12	как и	7	76
13	но в	14	75
14	и на	6	72
15	в том	11	71
16	как мы	5	71
17	то же	15	66
18	и все	2	66
19	так и	10	65
20	в этой	2	65
21	в них	3	65
22	и с	2	64
23	в то	16	63
24	во всех	6	62
25	же время	14	55
26	что в	21	52
27	в своем	14	51
28	только в	9	48
29	так как	7	46
30	том что	6	45
31	то что	6	41
32	жизни и	2	40
33	в самом	4	38
34	точки зрения	23	37
35	в ней	4	37
36	может быть	6	35
37	мы видим	2	35
38	о том	3	35
39	сказать что	4	34
40	и даже	6	34
41	в себе	9	34
42	он не	2	32
43	мы видели	3	32
44	в своей	8	31
45	так же	9	30
46	никогда не	3	30
47	и потому	5	30
48	потому что	3	30
49	в этих	2	29
50	не может	9	29
51	не в	5	29
52	в одном	2	29
53	из них	3	28
54	в той	5	28
55	также и	7	28
56	и к	3	28
57	по своему	7	27
58	в области	11	25
59	мира и	3	25
60	того чтобы	6	24
61	в ее	8	24
62	и от	3	24
63	в частности	5	24
64	но не	5	24
65	в большинстве	2	24
66	как в	3	24
67	и для	3	23
68	в их	11	23
69	к нему	2	23
70	большинстве случаев	3	23
71	и во	2	22
72	даже в	4	22
73	а в	2	22
74	что и	3	22
75	там где	3	22
76	и других	2	22
77	тем что	3	22
78	вместе с	2	22
79	именно в	4	21
80	в своих	2	21
81	в качестве	14	21
82	что это	2	21
83	в отношении	32	21
84	и наконец	2	21
85	культуры и	2	21
86	есть в	2	21
87	и как	2	21
88	а также	7	20
89	одной из	5	20
90	этом отношении	3	20
91	в значительной	2	20
92	с точки	17	20
93	того же	3	19
94	хотя и	2	19
95	в эту	2	19
96	было бы	8	19
97	далеко не	2	19
98	с другой	7	19
99	для того	6	17
100	того что	7	17
101	можно было	3	17
102	в результате	3	17
103	меньшей степени	2	17
104	еще более	2	17
105	такой же	2	17
106	а не	2	17
107	между тем	8	16
108	влияние на	2	16
109	между ними	2	16
110	дело в	3	16
111	с одной	8	16
112	в истории	2	15
113	и прежде	3	15
114	как на	3	15
115	мы не	4	14
116	в данном	3	14
117	несмотря на	4	14
118	и по	5	14
119	в котором	2	14
120	на них	2	14
121	что все	2	13
122	в других	2	13
123	или в	2	13
124	с этим	2	13
125	и еще	2	13
126	бы в	2	13
127	в мире	2	13
128	мира в	4	13
129	не на	4	13
130	и эта	2	13
131	в известной	3	13
132	во все	3	13
133	одной стороны	8	13
134	этот процесс	2	13
135	из всех	3	12
136	не могут	2	12
137	начиная с	2	12
138	во всей	2	12
139	жизни в	3	12
140	в пределах	25	12
141	но именно	2	12
142	по своей	2	12
143	главным образом	2	12
144	место в	3	12
145	можно сказать	4	12
146	другой стороны	2	12
147	и более	2	11
148	в общем	3	11
149	и что	2	11
150	отметить что	3	11
151	в течение	5	11
152	культуры в	4	11
153	время в	3	11
154	той или	4	11
155	данном случае	2	10
156	или иной	4	10
157	для понимания	2	10
158	по преимуществу	2	10
159	на этот	2	10
160	в процессе	4	10
161	к тому	8	10
162	целый ряд	2	10
163	во второй	3	10
164	говорит о	3	9
165	но как	2	9
166	как это	4	9
167	связано с	3	9
168	и то	2	9
169	для нас	4	9
