N	3gram	Propp_Isto	Vladivir
1	в том что	6	29
2	о том что	5	22
3	тем не менее	7	18
4	в то время	3	13
5	дело в том	3	13
6	в связи с	5	12
7	более или менее	5	11
8	не может быть	8	10
9	вместе с тем	7	10
10	на то что	5	8
11	в это время	2	7
12	точно так же	8	7
13	в отличие от	3	6
14	с другой стороны	7	6
15	само по себе	2	6
16	бы то ни	2	5
17	то время как	3	5
18	не только в	5	5
19	то что в	2	5
20	мы увидим ниже	5	4
21	не что иное	3	4
22	можно было бы	5	4
23	с одной стороны	7	4
24	что иное как	3	4
25	и т д	35	4
26	и вместе с	2	4
27	что он не	4	3
28	с самого начала	4	3
29	иметь в виду	2	3
30	по этому поводу	2	3
31	мы знаем что	7	3
32	не только на	2	3
33	мы уже знаем	3	2
34	это конечно не	2	2
35	за то что	2	2
36	если бы мы	2	2
37	после того как	2	2
38	и тот же	2	2
39	с тем что	3	2
40	а не на	2	2
41	так же как	6	2
42	мы не будем	4	2
43	до сих пор	11	2
44	как мы увидим	2	2
45	так как в	2	2
46	и тем не	2	2
47	есть не что	2	2
48	в этом случае	3	2
49	так же и	2	2
50	то ни было	2	2
51	один и тот	2	2
52	мы уже видели	4	2
53	с этим в	2	2
