N	3gram	Losev_Dial	StatiiOP
1	в том что	12	47
2	и т д	38	32
3	о том что	6	29
4	в этом отношении	2	24
5	с точки зрения	25	14
6	во всяком случае	3	13
7	с другой стороны	3	13
8	не может быть	12	11
9	в то же	3	9
10	в самом деле	6	9
11	то же время	3	9
12	на то что	3	9
13	тем не менее	10	8
14	к тому что	2	8
15	в данном случае	3	7
16	не в том	5	7
17	в то время	6	7
18	и в этом	4	7
19	по крайней мере	10	6
20	так же как	2	6
21	не только не	7	6
22	то время как	6	5
23	иметь в виду	3	4
24	сами по себе	3	4
25	но это не	2	4
26	в связи с	3	4
27	с одной стороны	3	4
28	так или иначе	2	4
29	того или иного	3	4
30	бы то ни	2	3
31	т е в	4	3
32	говоря уже о	6	3
33	т е не	4	3
34	что это не	3	3
35	не говоря уже	6	3
36	и пр в	2	3
37	к тому же	2	3
38	в лучшем случае	2	3
39	и тем не	2	3
40	в каком смысле	5	3
41	о том как	2	3
42	то или иное	4	3
43	не значит что	2	3
44	он не может	3	2
45	вовсе не в	3	2
46	сам по себе	6	2
47	ни в каком	8	2
48	с тех пор	2	2
49	так что в	2	2
50	только тогда когда	6	2
51	одних и тех	2	2
52	но то что	2	2
53	в чем же	2	2
54	как и в	3	2
55	той или иной	2	2
56	того что именно	3	2
57	не может не	3	2
58	и в то	2	2
59	и даже не	2	2
60	в зависимости от	3	2
61	точно так же	3	2
62	т д и	8	2
63	и тех же	2	2
64	уже о том	3	2
65	вы знаете что	2	2
66	что это есть	4	2
