N	4gram	Losev_Prob	Dialekti
1	не что иное как	6	18
2	и т д и	5	14
3	одно и то же	3	12
4	д и т д	5	12
5	т д и т	5	12
6	есть не что иное	6	11
7	в то время как	6	8
8	или по крайней мере	6	8
9	ни в каком случае	5	7
10	и в то же	2	6
11	и тем не менее	6	5
12	то это значит что	3	5
13	не имеет ничего общего	3	5
14	если иметь в виду	2	4
15	в том смысле что	4	4
16	на самом же деле	7	3
17	в каком случае не	4	3
18	не сама по себе	2	3
19	с той или другой	4	2
20	тем не менее в	3	2
21	а это значит что	2	2
22	ни в чем не	2	2
23	так же как и	3	2
24	сама по себе а	2	2
25	дело в том что	3	2
