N	2gram	Trubetskoy	Psycholo
1	то что	18	193
2	и в	24	190
3	в том	31	163
4	что в	9	123
5	потому что	9	114
6	том что	20	113
7	и что	9	108
8	может быть	17	107
9	таким образом	34	102
10	в этом	13	100
11	то есть	2	97
12	в самом	8	82
13	как бы	10	80
14	для того	8	78
15	того чтобы	8	78
16	что он	7	76
17	не только	10	75
18	на то	9	73
19	и не	9	73
20	что она	2	71
21	самом деле	12	70
22	точки зрения	14	69
23	не может	18	68
24	если мы	4	66
25	так как	7	63
26	так же	8	63
27	было бы	3	56
28	если бы	8	55
29	совершенно ясно	2	54
30	то же	4	54
31	о том	7	54
32	при этом	9	52
33	как и	10	51
34	что и	7	50
35	что это	5	49
36	заключается в	3	46
37	только в	6	46
38	в сущности	2	46
39	к тому	8	45
40	не в	9	45
41	в этой	7	43
42	ясно что	8	43
43	никогда не	4	42
44	и все	9	42
45	вместе с	7	41
46	но и	11	40
47	при помощи	3	39
48	того что	7	39
49	и это	3	37
50	с тем	4	35
51	вовсе не	2	34
52	и если	6	34
53	и его	2	34
54	как на	6	34
55	что все	5	33
56	все же	15	33
57	тому что	2	33
58	все это	13	32
59	в себе	5	32
60	в ней	3	31
61	в его	5	31
62	он не	4	31
63	для нас	3	31
64	как будто	5	30
65	сейчас же	3	30
66	с одной	3	29
67	и для	6	29
68	с точки	8	29
69	одной стороны	2	29
70	в нем	3	29
71	что мы	4	28
72	что они	2	28
73	и то	4	28
74	мы можем	6	28
75	в основе	2	27
76	с другой	6	27
77	в своих	2	27
78	а в	3	27
79	все то	2	27
80	и на	6	27
81	так что	6	26
82	совершенно не	4	26
83	только что	3	25
84	жизни и	2	25
85	в целом	5	24
86	до сих	15	24
87	в своем	12	23
88	сих пор	15	23
89	для этого	7	23
90	целый ряд	4	23
91	из этого	7	23
92	что если	3	23
93	что оно	3	23
94	что у	2	22
95	с этим	12	22
96	между тем	12	22
97	из них	5	22
98	как мы	3	21
99	в конце	4	21
100	том чтобы	2	21
101	в котором	2	21
102	в которых	2	21
103	что эта	4	21
104	той же	2	21
105	и только	2	21
106	она не	2	20
107	все эти	19	20
108	в то	6	20
109	тот же	3	20
110	это не	3	20
111	несмотря на	6	20
112	другой стороны	5	20
113	на этом	2	20
114	мы должны	4	19
115	у него	5	19
116	что при	7	19
117	мы уже	4	19
118	на самом	7	18
119	но в	5	18
120	что с	6	18
121	но не	3	18
122	в которой	5	18
123	с этой	3	18
124	зависимости от	2	18
125	в виду	2	17
126	одна из	2	17
127	иначе говоря	4	17
128	что для	4	17
129	только не	2	17
130	во всяком	2	17
131	у нас	3	17
132	из этих	8	17
133	мы все	2	17
134	так и	10	16
135	та же	4	16
136	не имеет	2	16
137	сводится к	2	16
138	в психологии	4	16
139	и к	5	16
140	от того	3	16
141	из которых	4	16
142	же как	3	16
143	к этому	5	16
144	в таком	4	16
145	и потому	3	15
146	мы знаем	10	15
147	еще не	6	15
148	не могут	4	15
149	далеко не	5	15
150	о которых	7	15
151	которых мы	4	15
152	в частности	2	15
153	в них	2	15
154	во всех	10	15
155	в результате	9	15
156	для него	2	15
157	и так	2	15
158	о котором	7	15
159	что на	2	14
160	очевидно что	3	14
161	факт что	4	14
162	не то	3	14
163	заключает в	2	14
164	должна быть	6	14
165	хотя бы	4	14
166	столь же	5	14
167	по существу	7	14
168	с ним	6	14
169	есть только	2	14
170	прежде всего	3	14
171	одной и	2	14
172	это есть	4	14
173	в области	4	14
174	при таком	2	14
175	бы в	3	14
176	такой же	2	14
177	в жизни	3	14
178	те же	2	14
179	всяком случае	2	14
180	то время	2	14
181	в совершенно	3	14
182	этих двух	2	14
183	а с	4	13
184	именно в	5	13
185	этот вопрос	2	13
186	отнюдь не	2	13
187	знаем что	8	13
188	но если	2	12
189	того же	9	12
190	в этих	3	12
191	в самой	2	12
192	их в	2	12
193	конце концов	4	12
194	может служить	3	12
195	в свою	2	12
196	тот факт	4	12
197	не менее	7	12
198	тогда когда	3	12
199	и до	3	12
200	и может	3	12
201	что эти	2	12
202	я не	2	12
203	к психологии	2	12
204	что по	3	12
205	и уже	2	12
206	что его	4	12
207	и с	5	12
208	образом и	2	11
209	и поэтому	2	11
210	как к	5	11
211	он должен	2	11
212	отличие от	3	11
213	и из	2	11
214	и сейчас	4	11
215	не будет	5	11
216	этого слова	2	11
217	по сравнению	5	11
218	сравнению с	5	11
219	и других	3	11
220	его в	5	11
221	на все	5	11
222	мы видели	2	11
223	есть в	2	11
224	не было	2	11
225	конечно не	3	11
226	данном случае	3	10
227	от него	3	10
228	в тех	3	10
229	в состоянии	5	10
230	в другом	2	10
231	только тогда	2	10
232	не так	4	10
233	представить себе	2	10
234	том и	2	10
235	отличается от	6	10
236	и их	5	10
237	во всем	3	10
238	но как	2	10
239	и у	4	10
240	в их	4	10
241	в данном	3	10
242	должно быть	5	10
243	и от	5	10
244	тому же	6	10
245	вопрос о	3	9
246	тем самым	3	9
247	и ее	2	9
248	оказывается что	5	9
249	в силу	7	9
250	ту же	2	9
251	том случае	4	9
252	и дальше	2	9
253	и по	3	9
254	на него	2	9
255	и наконец	3	9
256	но все	5	9
257	не есть	4	9
258	должен быть	2	9
259	во внимание	2	9
260	на нас	3	9
261	если же	3	9
262	мы говорили	8	9
263	мы будем	3	9
264	в виде	4	9
265	по своему	5	9
266	с в	3	9
267	по этому	2	9
268	которые не	3	9
269	с ее	2	9
270	по его	2	9
271	он все	2	8
272	в процессе	2	8
273	всех остальных	2	8
274	из всех	5	8
275	из того	4	8
276	гораздо более	2	8
277	именно потому	2	8
278	что же	2	8
279	которой мы	2	8
280	в такой	4	8
281	и более	2	8
282	в сознании	7	8
283	в противоречие	2	8
284	тем же	2	8
285	представление о	3	8
286	в общем	6	8
287	с другом	9	8
288	только то	2	8
289	из двух	2	8
290	к нему	2	8
291	жизнь и	3	8
292	друг с	9	8
293	и вообще	3	8
294	свою очередь	2	7
295	от себя	2	7
296	однако мы	2	7
297	одно из	3	7
298	они не	2	7
299	только при	2	7
300	если это	2	7
301	должны быть	3	7
302	связи с	4	7
303	только один	2	7
304	к которой	3	7
305	себя и	2	7
306	что только	3	7
307	все что	10	7
308	если он	2	7
309	в нашем	3	7
310	и при	6	7
311	и те	2	7
312	признать что	4	7
313	имеет место	2	7
314	к ним	2	7
315	и там	2	7
316	случае если	5	7
317	до тех	2	7
318	в течение	4	7
319	на том	2	7
320	все дело	2	6
321	показывают что	2	6
322	отношение к	4	6
323	смотреть на	2	6
324	и без	5	6
325	а потому	5	6
326	почти все	2	6
327	тем не	4	6
328	как не	2	6
329	что как	4	6
330	из него	2	6
331	в себя	2	6
332	на нее	2	6
333	или менее	8	6
334	что за	2	6
335	в сторону	3	6
336	друг к	2	6
337	даже в	3	6
338	что под	2	6
339	не потому	2	6
340	каждый из	3	6
341	ничем не	5	6
342	тех пор	2	6
343	гораздо больше	3	6
344	образом в	3	6
345	то и	2	6
346	независимо от	2	6
347	всех этих	4	6
348	из нее	2	6
349	к другу	2	6
350	никто не	2	6
351	одного и	3	6
352	что касается	6	6
353	более или	8	6
354	говорить о	2	6
355	только одно	3	6
356	между ними	2	5
357	том же	4	5
358	у них	6	5
359	точку зрения	2	5
360	в один	2	5
361	на вопрос	4	5
362	но так	2	5
363	к такому	2	5
364	между собой	4	5
365	а затем	2	5
366	в одну	4	5
367	то в	2	5
368	идет речь	8	5
369	все они	6	5
370	но даже	3	5
371	указывают на	3	5
372	том виде	2	5
373	социальной жизни	4	5
374	сходство с	2	5
375	не следует	2	5
376	не знает	2	5
377	бы то	3	5
378	к таким	2	5
379	чем в	3	5
380	этой области	4	5
381	тем как	2	5
382	целом ряде	3	5
383	можно ли	2	5
384	во всей	2	5
385	хотя и	4	5
386	конечно в	2	5
387	из этой	2	5
388	на одном	2	5
389	и сам	2	5
390	в эту	2	5
391	так чтобы	2	5
392	высшей степени	2	4
393	ее и	4	4
394	также и	2	4
395	но по	3	4
396	всех других	2	4
397	в ту	2	4
398	в глазах	2	4
399	в истории	3	4
400	из одного	2	4
401	которую он	2	4
402	прямой линии	4	4
403	как у	3	4
404	чем больше	4	4
405	рассматриваться как	3	4
406	из себя	10	4
407	и того	3	4
408	страсть к	2	4
409	и говорить	3	4
410	в настоящее	3	4
411	но для	2	4
412	по отношению	11	4
413	что до	2	4
414	принять во	2	4
415	и где	2	4
416	это может	2	4
417	говорили выше	6	4
418	настоящее время	3	4
419	может не	3	4
420	с ними	2	4
421	в связи	3	4
422	с которыми	2	4
423	психологии в	2	4
424	что та	4	4
425	коренным образом	3	4
426	работы и	2	4
427	что такие	2	4
428	в мире	6	4
429	а между	8	4
430	можно назвать	3	4
431	к тем	2	4
432	же время	2	4
433	ничего общего	3	4
434	все прочие	4	3
435	одним из	4	3
436	ни было	3	3
437	для себя	2	3
438	доказать что	2	3
439	состоит из	4	3
440	друг от	6	3
441	то они	4	3
442	общего с	2	3
443	же не	3	3
444	между двумя	5	3
445	тем чтобы	2	3
446	по одному	3	3
447	при чем	6	3
448	следует что	2	3
449	от тех	3	3
450	уже и	3	3
451	и состоит	2	3
452	на первый	2	3
453	этой истории	3	3
454	к той	2	3
455	понять что	2	3
456	очень много	3	3
457	ни один	4	3
458	на почве	3	3
459	от друга	6	3
460	о них	2	3
461	со своей	2	3
462	ближе к	3	3
463	истинную сущность	2	3
464	не более	2	3
465	о которой	2	3
466	но с	2	3
467	все в	2	3
468	мы и	2	3
469	что их	3	3
470	для меня	4	3
471	как известно	3	3
472	на долю	2	3
473	и проч	4	3
474	своих собственных	2	3
475	в разных	3	3
476	чем у	8	3
477	ко всем	3	3
478	всех прочих	2	3
479	виде как	2	3
480	тем более	3	3
481	этом случае	4	3
482	только мы	2	3
