N	2gram	Voloshinov	TeoriaLi
1	не только	6	24
2	и в	13	24
3	может быть	8	22
4	в том	2	20
5	при этом	2	20
6	и не	8	17
7	а в	2	15
8	но и	3	14
9	так и	3	14
10	а не	2	14
11	в себе	3	14
12	в этом	2	12
13	то же	4	12
14	но в	4	12
15	в его	7	12
16	литературного произведения	2	11
17	том что	2	11
18	точки зрения	7	11
19	своего рода	2	11
20	и его	12	11
21	по отношению	3	10
22	лишь в	4	10
23	отношению к	3	10
24	что в	3	10
25	в данном	2	9
26	не в	3	9
27	в искусстве	3	9
28	с другой	2	9
29	только в	6	9
30	не может	8	8
31	как бы	6	8
32	в своей	4	8
33	а также	2	7
34	в области	2	7
35	в самом	2	7
36	не столько	3	7
37	и т.п	7	7
38	в нем	2	7
39	или иного	2	6
40	того или	2	6
41	другой стороны	2	6
42	не менее	2	6
43	героя и	2	6
44	то что	6	6
45	как и	3	6
46	в ее	3	6
47	данном случае	2	5
48	художественного произведения	5	5
49	как в	2	5
50	и тем	2	5
51	не является	4	5
52	в пределах	3	5
53	для него	2	5
54	между тем	2	5
55	могут быть	2	5
56	никогда не	3	4
57	в отношении	2	4
58	во времени	2	4
59	и ее	2	4
60	в другом	2	4
61	и т.д	5	4
62	в их	3	4
63	эстетический объект	7	4
64	к тому	2	4
65	входит в	2	4
66	в целом	2	4
67	говорить о	3	4
68	не на	2	4
69	и то	3	3
70	эстетического объекта	5	3
71	одной стороны	2	3
72	в которой	3	3
73	и для	3	3
74	если бы	2	3
75	роль в	2	3
76	художественное произведение	2	3
77	с этой	2	3
78	на две	2	3
79	с одной	2	3
80	и др	2	3
81	в произведении	2	3
82	для себя	2	3
83	прежде всего	9	3
84	и к	2	3
85	мог бы	2	3
86	с точки	5	3
87	все эти	2	3
88	в связи	2	3
89	таким образом	6	3
90	во всей	2	3
91	имеет место	2	3
92	в одном	3	3
93	вовсе не	2	3
94	вслед за	2	3
95	одно и	3	2
96	еще и	4	2
97	только и	4	2
98	к одному	3	2
99	так же	2	2
100	за пределы	3	2
101	превращается в	3	2
102	истории литературы	2	2
103	от своего	2	2
104	самом деле	3	2
105	в чем	2	2
106	на фоне	4	2
107	здесь мы	3	2
108	в структуре	2	2
109	и является	2	2
110	всей своей	2	2
111	ее в	2	2
112	от всех	2	2
113	соответствии с	2	2
114	собственно говоря	2	2
115	в них	2	2
116	в поэзии	5	2
117	материала в	4	2
118	несмотря на	2	2
119	с ними	2	2
120	все это	4	2
121	что они	2	2
