N	3gram	Tiupa_Hudo	VeschiIm
1	и т д	5	38
2	не может быть	5	24
3	содержит в себе	2	11
4	тем не менее	6	11
5	в том что	15	9
6	в самом деле	5	7
7	на то что	2	7
8	то и другое	2	6
9	с точки зрения	5	6
10	так или иначе	3	6
11	в то же	11	5
12	подобно тому как	4	5
13	не только в	4	5
14	не только не	3	4
15	о том как	4	4
16	о том что	14	4
17	то же время	11	4
18	но еще и	2	3
19	ни с какой	2	3
20	можно было бы	5	3
21	ту или иную	2	3
22	с одной стороны	4	3
23	и в то	2	3
24	все же не	2	3
25	в этом и	2	2
26	но все же	2	2
27	что же касается	2	2
28	для того чтобы	2	2
29	в этом отношении	4	2
30	к тому что	8	2
31	не было ни	2	2
32	в связи с	3	2
33	то что я	2	2
34	так же как	2	2
35	в данном случае	3	2
36	как раз в	2	2
37	и в этом	3	2
38	в первом случае	2	2
