N	3gram	Berdyaev_M	Analitik
1	в том что	3	25
2	не может быть	22	19
3	по отношению к	4	18
4	о том что	3	15
5	так и не	2	10
6	подобно тому как	2	9
7	не только в	2	8
8	как и в	2	8
9	что иное как	4	7
10	не что иное	4	6
11	по природе своей	2	6
12	есть не что	3	5
13	но и в	4	5
14	для того чтобы	4	4
15	и не может	2	4
16	в значительной степени	2	4
17	хотя бы и	2	3
18	не могут быть	2	3
19	как бы не	2	3
20	а не в	4	3
21	одной и той	2	3
22	между тем как	2	3
23	и те же	2	3
24	и той же	2	3
25	и в самом	3	3
26	и он же	3	3
27	что он не	3	2
28	а не только	3	2
29	с самим собою	2	2
30	никогда не бывает	2	2
31	прежде всего в	2	2
32	до сих пор	5	2
