N	3gram	Bakhtin_Fr	TeoriaLi
1	в том что	8	10
2	в то же	14	8
3	то же время	14	8
4	в отличие от	3	7
5	с другой стороны	2	6
6	более или менее	2	6
7	в данном случае	4	5
8	для того чтобы	8	5
9	не может быть	4	5
10	с точки зрения	5	3
11	с одной стороны	2	3
12	в том числе	6	3
13	подобно тому как	2	3
14	можно сказать что	4	3
15	в связи с	5	3
16	это своего рода	2	2
17	до известной степени	4	2
18	в самом начале	2	2
19	в самом деле	2	2
20	том числе и	3	2
21	и в то	3	2
22	включает в себя	2	2
23	но в то	6	2
