N	2gram	Losev_Vlad	Stilisti
1	и в	56	42
2	как бы	5	30
3	не только	35	28
4	прежде всего	5	22
5	хотя бы	5	18
6	то же	10	16
7	но и	26	16
8	и не	33	14
9	не может	12	13
10	может быть	12	13
11	как и	7	12
12	точки зрения	4	11
13	что мы	2	11
14	мы уже	8	11
15	в себе	5	10
16	и как	7	10
17	отнюдь не	3	10
18	мы должны	3	10
19	в этом	30	10
20	как мы	17	10
21	в то	15	9
22	для того	4	9
23	все же	11	9
24	то что	30	9
25	при этом	5	9
26	мы не	2	9
27	тем самым	2	8
28	ничего не	4	8
29	так как	11	8
30	и это	4	8
31	с тем	4	8
32	в ней	5	8
33	что же	11	8
34	таким образом	6	8
35	с его	15	8
36	никогда не	15	7
37	и от	6	7
38	в которой	8	7
39	же время	7	7
40	так и	11	7
41	потому что	16	7
42	только в	11	7
43	а не	5	7
44	и на	7	7
45	того чтобы	4	7
46	было бы	7	7
47	и его	12	7
48	той же	6	7
49	и тем	2	7
50	когда мы	2	6
51	и так	3	6
52	во всех	4	6
53	не в	12	6
54	в области	3	6
55	в конце	22	6
56	в нем	7	6
57	в свою	3	6
58	на его	7	6
59	в его	18	6
60	в этой	4	6
61	мы будем	4	6
62	и то	13	5
63	в нашем	5	5
64	то есть	5	5
65	мы увидим	4	5
66	и наконец	2	5
67	своей жизни	5	5
68	как это	11	5
69	а с	5	5
70	но все	3	5
71	а в	20	5
72	но в	19	5
73	те же	2	5
74	в самом	3	5
75	и с	27	5
76	уже в	9	5
77	в той	2	5
78	у которого	3	5
79	вместе с	9	5
80	да и	6	4
81	что это	2	4
82	в одном	2	4
83	так же	4	4
84	так сказать	2	4
85	на это	2	4
86	само собой	2	4
87	его в	3	4
88	на него	3	4
89	если бы	2	4
90	лишь в	3	4
91	не что	2	4
92	свою очередь	2	4
93	у нас	11	4
94	к своему	4	4
95	того что	6	4
96	которой мы	3	4
97	всех своих	2	4
98	один из	4	4
99	и все	8	4
100	к тому	5	4
101	о том	13	4
102	что такое	3	4
103	уже не	6	4
104	и к	10	4
105	в целом	3	4
106	все это	7	4
107	в качестве	7	4
108	себя в	6	4
109	можно сказать	10	4
110	не к	2	4
111	и без	2	4
112	сказать что	14	3
113	это не	3	3
114	том что	22	3
115	бы мы	2	3
116	в будущем	2	3
117	а к	24	3
118	в начале	7	3
119	в тех	3	3
120	о своем	3	3
121	об этом	13	3
122	и даже	23	3
123	от того	2	3
124	то мы	3	3
125	и здесь	3	3
126	конце концов	6	3
127	во второй	3	3
128	будем говорить	2	3
129	в том	26	3
130	в частности	4	3
131	у них	2	3
132	еще не	2	3
133	только на	3	3
134	совершенно не	2	3
135	его и	2	3
136	как в	6	3
137	и вот	5	3
138	к той	2	3
139	для него	16	3
140	по своему	5	3
141	то он	7	3
142	и для	4	3
143	нет и	2	3
144	нам в	2	3
145	что у	4	3
146	в котором	10	3
147	их в	3	3
148	заметить что	2	3
149	ответ на	2	3
150	выражение в	2	3
151	если не	4	3
152	между ними	2	3
153	главным образом	5	3
154	но что	5	3
155	из них	3	3
156	для нас	9	3
157	хотя и	9	3
158	несмотря на	7	3
159	жизни и	8	3
160	что и	6	3
161	все эти	6	3
162	конечно не	5	3
163	связи с	7	3
164	но вот	4	3
165	отношения к	4	3
166	не мог	10	3
167	здесь мы	4	3
168	что иное	2	2
169	еще и	10	2
170	до конца	8	2
171	был и	3	2
172	в каком	3	2
173	в отношении	5	2
174	и вообще	12	2
175	и потому	8	2
176	которые в	2	2
177	с этим	3	2
178	для всех	2	2
179	мы имеем	2	2
180	из этих	5	2
181	но как	6	2
182	на эту	3	2
183	но даже	3	2
184	к этому	11	2
185	с ней	3	2
186	и больше	3	2
187	с самим	2	2
188	иное как	2	2
189	отношение к	7	2
190	друг друга	3	2
191	впоследствии и	2	2
192	я и	2	2
193	на первый	4	2
194	кроме того	12	2
195	но эта	2	2
196	тем что	2	2
197	этом отношении	2	2
198	в их	2	2
199	том же	4	2
200	и при	2	2
201	в этих	5	2
202	что он	22	2
203	по своей	4	2
204	и сам	7	2
205	и ни	2	2
206	ни к	2	2
207	себе и	2	2
208	его не	2	2
209	одной из	2	2
210	в жизни	4	2
211	на этот	9	2
212	но не	5	2
213	как уже	2	2
214	также и	13	2
215	к нему	6	2
216	он сказал	2	2
217	тому же	3	2
218	но мы	3	2
219	он говорит	2	2
220	не из	2	2
221	в своих	7	2
222	еще более	3	2
223	даже и	12	2
224	не есть	4	2
225	из трех	3	2
226	не говоря	4	2
227	и ту	2	2
228	и он	7	2
229	место в	2	2
230	о чем	6	2
231	для них	2	2
232	ли он	2	2
233	собой разумеется	2	2
234	человека с	2	2
235	не было	12	2
236	здесь не	6	2
237	но это	6	2
238	в своей	7	2
239	как нечто	2	2
240	в нас	4	2
241	в связи	9	2
242	он не	13	2
243	природы и	2	2
244	в дальнейшем	10	2
245	с ним	10	2
246	тот же	7	2
247	вовсе не	8	2
248	именно с	2	2
249	ясно что	2	2
