N	3gram	Ircho_Kome	Tvorches
1	в то же	5	25
2	то же время	5	24
3	и т д	4	17
4	в том что	13	11
5	в соответствии с	2	8
6	о том что	6	8
7	и т п	7	5
8	по отношению к	5	5
9	с самого начала	2	4
10	до сих пор	3	4
11	аргументом в пользу	2	4
12	чуть ли не	2	3
13	как и в	2	3
14	едва ли не	6	3
15	с другой стороны	6	3
16	во всяком случае	4	3
17	в отличие от	3	3
18	что он не	2	2
19	не означает что	2	2
20	тем не менее	2	2
21	на протяжении всего	3	2
22	для того чтобы	3	2
23	в этой области	2	2
24	в связи с	3	2
25	в первую очередь	5	2
26	вместе с тем	4	2
27	в конце концов	4	2
28	в том числе	4	2
29	в одном из	4	2
30	к тому же	12	2
31	что у него	3	2
