N	2gram	Propp_Morf	VrazhdaK
1	не только	8	9
2	и что	3	8
3	в этом	18	8
4	и в	17	8
5	что в	10	7
6	но и	9	7
7	то что	10	7
8	но в	4	6
9	как и	4	6
10	в начале	3	6
11	все же	9	6
12	и даже	2	6
13	и не	16	5
14	об этом	5	5
15	в россии	2	5
16	то же	10	5
17	в то	4	5
18	у него	2	5
19	между тем	5	5
20	для нас	2	4
21	целый ряд	3	4
22	несмотря на	4	4
23	в своих	2	4
24	это не	6	4
25	все это	2	4
26	о том	6	4
27	как бы	6	4
28	так же	4	4
29	что он	5	4
30	может быть	61	4
31	т е	25	3
32	и у	3	3
33	в том	10	3
34	в чем	2	3
35	одним из	2	3
36	его в	4	3
37	далеко не	5	3
38	том что	7	3
39	в связи	10	3
40	и его	3	3
41	и как	6	3
42	он не	5	3
43	связи с	12	3
44	к этому	4	3
45	на то	3	3
46	наряду с	7	3
47	с его	3	3
48	тем что	4	3
49	в одну	2	2
50	уже не	4	2
51	одна из	5	2
52	для него	2	2
53	при помощи	12	2
54	в в	2	2
55	на первый	3	2
56	с точки	6	2
57	как же	3	2
58	а в	8	2
59	а также	7	2
60	в этой	3	2
61	тогда как	2	2
62	же в	3	2
63	но как	3	2
64	еще не	4	2
65	точки зрения	7	2
66	таким образом	26	2
67	и ее	5	2
68	во время	6	2
69	его и	2	2
70	их в	2	2
71	не может	19	2
72	из них	4	2
73	ответ на	2	2
74	не менее	7	2
75	но это	6	2
76	к себе	2	2
77	а с	2	2
78	этот момент	5	2
