N	3gram	Medvedev_F	Mirosoze
1	не может быть	11	28
2	в том что	3	9
3	для того чтобы	3	7
4	в высшей степени	4	7
5	и в этой	2	6
6	вместе с тем	5	6
7	и в этом	6	6
8	прежде всего в	5	5
9	но и в	4	5
10	может быть и	4	5
11	до сих пор	7	5
12	что и в	2	5
13	по отношению к	4	4
14	в конце концов	2	4
15	во всяком случае	6	3
16	в значительной степени	3	3
17	с тем что	3	3
18	как и все	2	3
19	к тому что	3	3
20	т е в	2	2
21	все более и	3	2
22	на то чтобы	2	2
23	смысле этого слова	4	2
24	в своей книге	2	2
25	у нас не	3	2
26	нас не было	2	2
27	в этом отношении	7	2
28	не могут быть	4	2
29	в том смысле	3	2
30	к тому чтобы	2	2
31	и не может	5	2
32	что в нем	2	2
33	более и более	3	2
