N	2gram	Savitsky_P	VLabPisa
1	в этом	10	29
2	не только	17	26
3	и в	14	26
4	и т	3	25
5	может быть	5	23
6	хотя бы	8	20
7	и не	12	20
8	т е	3	18
9	не может	4	17
10	в том	9	15
11	в его	2	15
12	в силу	2	14
13	прежде всего	3	13
14	все это	2	13
15	в частности	2	12
16	в качестве	9	12
17	что в	4	11
18	с другой	5	11
19	из них	2	11
20	то же	9	10
21	но и	6	10
22	в своем	4	8
23	том что	4	8
24	могут быть	3	8
25	было бы	6	8
26	только в	7	8
27	это не	3	7
28	во всех	2	7
29	то что	4	7
30	в нем	3	7
31	главным образом	2	7
32	не было	2	7
33	же в	4	7
34	а не	2	7
35	не в	5	6
36	в то	7	6
37	в себе	3	6
38	в порядке	3	6
39	между тем	3	6
40	в пределах	8	5
41	как бы	4	5
42	в них	2	5
43	же время	7	5
44	и есть	2	5
45	одна из	2	4
46	в статье	2	4
47	с тем	3	4
48	отнюдь не	2	4
49	как раз	2	4
50	в ее	2	4
51	с ними	3	4
52	никак не	2	3
53	например в	2	3
54	и к	4	3
55	с этим	2	3
56	вслед за	3	3
57	в значительной	2	3
58	и как	3	3
59	если бы	4	3
60	творчества и	2	3
61	значительной мере	2	3
62	для того	3	3
63	как на	2	3
64	того что	2	3
65	так называемые	2	3
66	а в	4	3
67	в котором	4	3
68	именно в	2	3
69	точки зрения	3	3
70	в которых	5	3
71	а н	5	3
72	сводится к	3	3
73	не о	2	2
74	если в	2	2
75	да и	2	2
76	и потому	4	2
77	н н	3	2
78	одной стороны	3	2
79	должно быть	2	2
80	мысль о	2	2
81	в области	11	2
82	с одной	3	2
83	заключается в	3	2
84	в жизни	2	2
85	но не	3	2
86	стороны и	2	2
87	не менее	2	2
88	но в	9	2
89	в общем	2	2
90	но к	2	2
91	в ней	6	2
92	в сфере	2	2
93	между прочим	2	2
94	не столько	2	2
95	что мы	3	2
96	по себе	4	2
97	для них	2	2
98	говорить о	2	2
99	было в	2	2
100	во всей	2	2
101	хотя и	3	2
102	том числе	2	2
