N	3gram	Tiupa_Disk	Analitik
1	в том что	18	25
2	не может быть	5	19
3	по отношению к	13	18
4	в то же	7	16
5	о том что	8	15
6	той или иной	6	14
7	в данном случае	6	14
8	то же время	9	14
9	в отличие от	12	14
10	к тому же	4	13
11	о блудном сыне	7	12
12	в конечном счете	2	11
13	мы имеем дело	3	11
14	ивана петровича белкина	3	10
15	в повестях белкина	3	10
16	подобно тому как	4	9
17	с одной стороны	12	9
18	с другой стороны	4	9
19	по крайней мере	3	9
20	того или иного	2	9
21	в свою очередь	3	9
22	в том чтобы	2	9
23	в этом отношении	4	8
24	не только в	2	8
25	как и в	3	8
26	с точки зрения	3	8
27	состоит в том	3	8
28	во всяком случае	2	7
29	в свое время	3	7
30	одного и того	4	6
31	не более чем	3	6
32	и того же	4	6
33	по природе своей	6	6
34	в русской литературе	2	5
35	в этом случае	3	5
36	не сводится к	4	4
37	до известной степени	2	4
38	большей или меньшей	2	4
39	не в том	3	4
40	в соответствии с	4	4
41	с той или	2	4
42	в основе своей	4	4
43	участников коммуникативного события	2	4
44	в равной степени	2	4
45	едва ли не	2	4
46	в силу своей	2	4
47	и не может	3	4
48	в значительной степени	3	4
49	то есть в	2	3
50	то же самое	2	3
51	притчи о блудном	3	3
52	речь идет о	2	3
53	и как бы	5	3
54	тот или иной	2	3
55	и все же	3	3
56	тогда как в	5	3
57	дело не с	2	3
58	содержит в себе	3	3
59	субъекта объекта и	2	3
60	со стороны адресата	2	3
61	в том числе	3	3
62	а не в	2	3
63	текста а не	2	3
64	имеем дело не	2	3
65	по этой причине	2	3
66	можно сказать что	3	3
67	сами по себе	2	3
68	уже было сказано	2	3
69	объекта и адресата	2	3
70	дело в том	3	3
71	а в том	2	3
72	и то что	2	3
73	сказания или анекдота	2	2
74	в себе не	2	2
75	одно и то	2	2
76	адресата при этом	2	2
77	а не только	2	2
78	и то же	2	2
79	коммуникативного события в	2	2
80	жанры как формы	2	2
81	что же касается	4	2
82	более или менее	2	2
83	или из барышни-крестьянки	2	2
84	а с другой	4	2
85	в начале х	2	2
86	по своей природе	3	2
87	прежде всего в	2	2
88	в одной из	2	2
89	героем притчи о	2	2
90	в частности в	2	2
91	упускать из виду	2	2
92	говоря уже о	2	2
93	и в форме	2	2
94	притча и анекдот	2	2
95	как к содержанию	2	2
96	но отнюдь не	2	2
97	и прежде всего	2	2
98	петровича белкина в	2	2
99	не говоря уже	2	2
100	событие самого рассказывания	2	2
101	не столь уж	2	2
102	индивидуального речевого замысла	2	2
103	по своему происхождению	2	2
