N	2gram	Voloshinov	Sotsiolo
1	все это	4	7
2	в том	3	5
3	в этом	10	5
4	для нас	3	3
5	не только	28	3
6	в его	6	3
7	но ведь	6	3
8	не в	6	3
9	и в	42	3
10	отношению к	2	2
11	по отношению	2	2
12	еще не	3	2
13	только в	7	2
14	в частности	3	2
15	том что	3	2
16	было бы	7	2
17	таким образом	8	2
18	то же	16	2
19	конце концов	3	2
20	как только	4	2
21	к которому	2	2
22	нужно было	2	2
23	то что	9	2
24	как бы	30	2
25	но и	16	2
26	главным образом	3	2
27	очевидно что	2	2
28	в конце	6	2
29	или даже	2	2
30	может быть	13	2
