N	3gram	Trubetskoy	Morfolog
1	в этом случае	4	10
2	не может быть	4	9
3	в связи с	3	9
4	по отношению к	11	7
5	с точки зрения	8	6
6	тем не менее	4	6
7	с другой стороны	4	5
8	на самом деле	7	4
9	но все же	2	4
10	в том что	16	4
11	о том что	4	3
12	бы то ни	3	3
13	в том случае	4	3
14	в настоящее время	3	3
15	в то время	2	3
16	как и в	2	3
17	для того чтобы	7	3
18	на то что	7	3
19	том случае если	4	2
20	во всяком случае	2	2
21	то ни было	3	2
22	в данном случае	3	2
23	но так как	2	2
24	более или менее	8	2
25	друг к другу	2	2
26	может быть и	4	2
27	друг на друга	2	2
28	с одной стороны	2	2
