N	3gram	Vinokur_St	Morfolog
1	и т д	25	60
2	в этом случае	3	10
3	не может быть	5	9
4	по отношению к	3	7
5	с точки зрения	10	6
6	тем не менее	4	6
7	а также и	2	5
8	с другой стороны	8	5
9	на самом деле	7	4
10	но все же	3	4
11	в том что	29	4
12	к тому что	4	4
13	т д но	4	4
14	о том что	19	3
15	бы то ни	2	3
16	в настоящее время	2	3
17	в то время	2	3
18	как и в	2	3
19	для того чтобы	13	3
20	не значит что	3	3
21	на то что	5	3
22	это не значит	3	2
23	вопрос о том	4	2
24	во всяком случае	8	2
25	то что в	3	2
26	дело не в	2	2
27	в данном случае	7	2
28	более или менее	2	2
29	в этом отношении	13	2
30	но если это	2	2
31	с того что	2	2
32	в иных случаях	2	2
33	точно так же	2	2
34	в обоих случаях	2	2
35	может быть и	2	2
36	можно было бы	8	2
37	с одной стороны	2	2
