N	3gram	Tiupa_Narr	Literetu
1	в то же	7	21
2	то же время	7	21
3	в том что	11	21
4	по отношению к	5	12
5	в е годы	2	12
6	с одной стороны	5	12
7	в данном случае	12	11
8	в отличие от	6	11
9	не может быть	6	11
10	состоит в том	5	11
11	в конечном счете	4	10
12	о том что	3	10
13	в этом отношении	5	10
14	присутствия в мире	2	8
15	с точки зрения	2	8
16	к тому же	8	6
17	подобно тому как	4	6
18	не только в	12	6
19	едва ли не	2	6
20	тем не менее	6	5
21	в соответствии с	7	5
22	в связи с	3	5
23	но при этом	3	4
24	тогда как в	2	4
25	и тем самым	6	4
26	я в мире	3	4
27	в коммуникативном событии	2	3
28	и т п	2	3
29	во всяком случае	2	3
30	то же самое	3	3
31	той или иной	6	3
32	в своего рода	2	3
33	особое место в	2	3
34	в самом деле	3	3
35	на то что	2	3
36	по большей части	5	3
37	к себе самому	3	3
38	не сводится к	7	3
39	речь идет о	3	3
40	но и не	2	3
41	в равной степени	3	3
42	в свою очередь	2	3
43	одно и то	2	2
44	дело не только	2	2
45	для того чтобы	4	2
46	и то же	2	2
47	мы имеем дело	4	2
48	так и не	2	2
49	дамы с собачкой	7	2
50	не только не	2	2
51	а с другой	2	2
52	к тому что	4	2
53	но и в	4	2
54	не могло быть	2	2
55	дело в том	2	2
56	обратим внимание на	2	2
57	и представляет собой	2	2
58	друг для друга	2	2
