N	3gram	Losev_Vesc	Formalny
1	с точки зрения	6	40
2	не может быть	22	29
3	то же время	4	20
4	в то же	5	20
5	и т д	36	19
6	во всяком случае	2	16
7	в самом деле	7	11
8	в этом отношении	2	11
9	бы то ни	12	10
10	с другой стороны	3	9
11	для того чтобы	2	8
12	вместе с тем	3	8
13	с одной стороны	3	8
14	в применении к	2	7
15	более или менее	4	7
16	сами по себе	3	7
17	то ни было	12	7
18	в свою очередь	5	7
19	и в этом	2	7
20	сам по себе	4	6
21	в данном случае	2	6
22	и в то	3	6
23	не только не	4	6
24	в том что	9	6
25	мы не можем	3	5
26	в этом смысле	2	5
27	как бы ни	2	5
28	к тому что	2	5
29	как раз и	2	4
30	и не в	3	4
31	в конце концов	2	4
32	а не в	2	4
33	хотя бы в	2	4
34	тем не менее	11	4
35	подобно тому как	5	4
36	сама по себе	7	4
37	но все же	2	4
38	можно говорить о	2	3
39	то и другое	6	3
40	т е в	7	3
41	ни о каком	2	3
42	друг с другом	2	3
43	только то что	3	3
44	какого бы то	2	3
45	так или иначе	5	3
46	и в частности	2	3
47	в том чтобы	2	3
48	равно как и	4	3
49	все то что	2	2
50	от того что	4	2
51	т е на	2	2
52	что же такое	4	2
53	из того что	3	2
54	нужно сказать что	2	2
55	вовсе не есть	6	2
56	тем или другим	2	2
57	в отношении к	2	2
58	действительности и ее	2	2
59	так же как	2	2
60	может быть только	6	2
61	в том или	2	2
62	не может и	2	2
63	этой точки зрения	3	2
64	в отдельности и	2	2
65	даже и не	2	2
66	с этой точки	3	2
67	между смыслом и	2	2
68	но даже и	2	2
69	не потому что	5	2
70	не только в	5	2
71	в отрыве от	3	2
72	мы видели что	3	2
73	о том как	4	2
74	хотя бы и	2	2
75	в собственном смысле	3	2
76	а и в	9	2
77	смысла т е	2	2
78	дело в том	4	2
79	тех или иных	2	2
80	она не может	3	2
81	но что же	2	2
