N	2gram	Tiupa_Narr	Vvedenie
1	в том	18	38
2	в этом	17	35
3	и в	19	35
4	том что	14	30
5	может быть	25	30
6	не только	32	26
7	не может	10	19
8	то что	11	19
9	со стороны	9	16
10	о том	6	16
11	только в	4	16
12	языка и	2	15
13	представляет собой	13	14
14	и не	20	13
15	что в	3	13
16	в нем	4	13
17	того что	2	12
18	точки зрения	10	12
19	в его	9	12
20	в данном	5	11
21	то же	4	11
22	по себе	5	11
23	в ее	3	11
24	как мы	3	11
25	не в	14	10
26	прежде всего	4	10
27	но в	6	10
28	в той	6	10
29	между тем	3	10
30	из этих	3	9
31	тем не	3	9
32	и как	5	9
33	все же	7	9
34	представляют собой	2	9
35	но не	6	9
36	не менее	3	9
37	дело с	2	9
38	это не	2	8
39	можно было	2	8
40	с другой	8	8
41	именно в	6	8
42	в качестве	21	8
43	самом деле	2	7
44	как и	7	7
45	как бы	4	7
46	но и	23	7
47	было бы	4	7
48	сказать что	4	6
49	его в	2	6
50	хотя бы	4	6
51	иное как	2	6
52	и даже	3	6
53	тем что	3	6
54	а именно	3	6
55	в какой	2	6
56	а в	11	6
57	уже не	5	6
58	могут быть	3	6
59	в то	3	6
60	один из	3	6
61	и его	5	6
62	же время	4	6
63	данном случае	4	5
64	независимо от	2	5
65	не что	2	5
66	и т.д	7	5
67	и тем	4	5
68	одним из	2	5
69	что он	6	5
70	что иное	2	5
71	что не	4	5
72	этого понятия	2	5
73	одно из	2	5
74	как это	6	5
75	не есть	3	5
76	другой стороны	4	5
77	уже в	3	5
78	говорить о	2	5
79	а не	12	5
80	в первом	3	5
81	хотя и	3	5
82	да и	4	4
83	истории и	2	4
84	в результате	2	4
85	мы имеем	2	4
86	о чем	2	4
87	одной стороны	7	4
88	и ее	2	4
89	в области	2	4
90	по отношению	7	4
91	в особенности	4	4
92	этом отношении	3	4
93	из двух	3	4
94	еще не	7	4
95	времени и	7	4
96	отношению к	6	4
97	отличие от	5	4
98	в отличие	5	4
99	с одной	7	4
100	к тому	7	4
101	одной из	4	4
102	но все	4	4
103	и для	2	4
104	не имеет	2	4
105	так или	2	4
106	в тексте	16	4
107	из них	3	4
108	или иначе	3	4
109	в себе	8	4
110	с точки	2	4
111	как раз	2	4
112	можно сказать	5	4
113	никогда не	3	3
114	одна из	3	3
115	что это	3	3
116	или иной	5	3
117	известном смысле	2	3
118	в своем	2	3
119	а также	7	3
120	так же	2	3
121	в собственном	2	3
122	не как	2	3
123	в значительной	2	3
124	отношение к	2	3
125	во второй	2	3
126	в принципе	4	3
127	в сущности	3	3
128	может оказаться	2	3
129	в силу	4	3
130	в частности	14	3
131	как в	7	3
132	такого рода	7	3
133	не с	3	3
134	к нему	5	3
135	на том	3	3
136	и на	3	3
137	зависит от	2	3
138	за собой	4	3
139	времени в	2	3
140	в ней	3	3
141	в конечном	3	3
142	между ними	2	3
143	однако в	2	3
144	из которых	4	3
145	в известном	2	3
146	своего рода	12	3
147	нуждается в	5	3
148	здесь не	4	3
149	же как	3	3
150	и того	2	3
151	говорит о	2	3
152	при этом	9	3
153	он сам	2	3
154	наряду с	2	3
155	все эти	2	3
156	той или	4	3
157	связи с	4	3
158	и есть	2	3
159	как будто	3	3
160	в этой	5	3
161	ничего не	2	2
162	первом случае	2	2
163	и потому	2	2
164	и до	2	2
165	время в	2	2
166	но как	2	2
167	с чем	2	2
168	тем более	2	2
169	значении этого	3	2
170	хотя в	2	2
171	который по	3	2
172	при всей	4	2
173	этой точки	2	2
174	каждый из	2	2
175	не существует	3	2
176	в обоих	2	2
177	в прошлом	3	2
178	в форме	5	2
179	что нет	2	2
180	художественной литературы	3	2
181	что именно	2	2
182	в связи	2	2
183	подобно тому	2	2
184	а с	3	2
185	свою очередь	3	2
186	когда мы	2	2
187	то она	2	2
188	так и	9	2
189	и др	2	2
190	как будет	3	2
191	на протяжении	6	2
192	будет по	2	2
193	и сейчас	2	2
194	состоит в	13	2
195	мог бы	3	2
196	а если	2	2
197	будто бы	3	2
198	в свою	3	2
199	и с	4	2
200	истории в	3	2
201	жизни как	3	2
202	не столько	4	2
203	что мы	2	2
204	том или	2	2
205	тому как	2	2
206	точно так	2	2
207	речь идет	4	2
208	себя в	5	2
209	несмотря на	2	2
210	жизни и	3	2
211	не было	2	2
212	тогда как	12	2
213	только о	2	2
214	что они	3	2
215	нами не	2	2
216	должна быть	2	2
217	не мог	4	2
218	или ином	2	2
219	например в	2	2
220	этого слова	2	2
221	по существу	2	2
222	во втором	4	2
