N	2gram	Vinokur_Vv	Myslijsy
1	потому что	18	182
2	и в	35	121
3	может быть	30	107
4	в том	38	103
5	то что	19	83
6	в слове	3	78
7	что в	13	73
8	и не	13	73
9	только в	16	72
10	не только	26	67
11	а не	5	67
12	таким образом	21	64
13	в языке	2	60
14	том что	30	59
15	так как	15	59
16	в этом	35	59
17	но и	7	59
18	то же	11	56
19	не в	10	54
20	если бы	3	53
21	в себе	4	53
22	не может	19	52
23	по себе	11	52
24	того что	12	47
25	в нем	13	45
26	было бы	7	45
27	не есть	5	42
28	как и	7	42
29	так что	5	39
30	вместе с	6	39
31	мы не	2	38
32	что и	5	38
33	так и	2	37
34	при этом	3	37
35	как в	3	37
36	тогда когда	4	36
37	что мы	2	36
38	точно так	2	35
39	тем что	6	33
40	и что	6	32
41	по отношению	4	30
42	а в	6	30
43	но не	9	29
44	что не	5	29
45	между тем	10	29
46	вовсе не	6	28
47	есть только	2	28
48	мы можем	2	28
49	могут быть	6	27
50	с этим	3	27
51	и т	45	26
52	не было	2	26
53	независимо от	5	26
54	отношению к	4	26
55	языка и	15	25
56	этого слова	2	25
57	в то	6	24
58	с тем	6	23
59	от того	3	23
60	того как	3	23
61	как бы	7	23
62	но в	10	22
63	а потому	5	22
64	по мере	4	22
65	не имеет	4	22
66	с другой	8	22
67	то это	3	22
68	и потому	2	21
69	не менее	9	21
70	в ней	3	20
71	в одном	4	20
72	это не	8	20
73	мысли и	2	19
74	и как	9	19
75	есть не	5	19
76	и то	7	19
77	сказать что	6	19
78	что это	3	19
79	из этих	9	19
80	но это	2	19
81	должно быть	2	19
82	тем не	9	19
83	о том	16	19
84	того же	3	19
85	в каком	3	18
86	для того	23	18
87	еще не	4	18
88	не могут	6	18
89	тогда как	2	18
90	в самом	13	18
91	в его	12	17
92	по крайней	4	17
93	крайней мере	4	17
94	со стороны	16	17
95	точки зрения	12	17
96	что оно	2	17
97	во всяком	5	17
98	уже в	5	17
99	в своем	3	16
100	к тому	4	16
101	а только	8	16
102	и наоборот	3	16
103	только что	4	16
104	так же	3	16
105	или же	3	16
106	в них	5	16
107	что если	2	16
108	на то	2	16
109	и на	3	16
110	т д	39	15
111	в этих	3	15
112	с одной	4	15
113	тому как	2	15
114	в ряду	2	15
115	и тем	5	15
116	что он	5	15
117	прежде всего	10	15
118	только как	7	15
119	в свою	2	15
120	уже не	6	15
121	мы должны	2	14
122	свою очередь	2	14
123	и без	2	14
124	связи с	3	14
125	в истории	9	14
126	само по	4	14
127	в котором	4	14
128	все же	9	14
129	сам по	2	14
130	когда мы	2	14
131	во всех	2	14
132	же время	6	14
133	смысле этого	9	13
134	зависит от	3	13
135	не следует	3	13
136	т п	5	13
137	том смысле	2	13
138	например в	2	13
139	а между	2	13
140	из них	4	13
141	языка в	5	13
142	и его	6	13
143	как на	12	13
144	никогда не	3	12
145	и при	2	12
146	одно из	5	12
147	что же	3	12
148	все это	6	12
149	как мы	11	12
150	тем более	2	12
151	сих пор	7	12
152	что такое	12	12
153	в чем	4	12
154	хотя и	5	12
155	другой стороны	5	12
156	в каждом	4	12
157	всяком случае	5	12
158	до сих	7	12
159	в силу	3	11
160	той же	4	11
161	того чтобы	22	11
162	в первом	5	11
163	и вообще	3	11
164	только на	3	11
165	его в	6	11
166	мы видели	3	11
167	к нему	3	11
168	подобно тому	2	11
169	и это	6	11
170	со словом	2	11
171	одной стороны	4	10
172	представить себе	7	10
173	быть названо	4	10
174	и для	4	10
175	мы говорим	3	10
176	хотя бы	6	10
177	если же	2	10
178	одной и	2	10
179	тому что	2	10
180	только по	3	10
181	бы в	2	10
182	и с	2	10
183	и есть	3	10
184	вопрос о	10	9
185	об отношении	3	9
186	и других	3	9
187	но вместе	2	9
188	до того	2	9
189	и даже	6	9
190	язык в	3	9
191	с точки	4	9
192	и того	3	9
193	связь между	5	9
194	самом деле	7	9
195	один из	6	9
196	в целом	5	9
197	языка с	2	9
198	можно сказать	4	9
199	что она	3	9
200	одного и	2	9
201	при помощи	3	8
202	на вопрос	6	8
203	что даже	3	8
204	смысле в	2	8
205	так например	6	8
206	в более	4	8
207	мы называем	2	8
208	одно и	2	8
209	отношений между	3	8
210	не как	3	8
211	что они	2	8
212	все равно	2	8
213	но все	4	8
214	именно в	8	8
215	в которых	6	8
216	внимание на	5	8
217	во всем	2	8
218	и той	3	8
219	между ними	3	8
220	этом случае	6	8
221	и тогда	3	8
222	которые не	2	8
223	по его	2	8
224	говорить о	5	8
225	а как	5	7
226	том же	2	7
227	на основании	5	7
228	языка как	2	7
229	во втором	2	7
230	значение и	2	7
231	одно целое	2	7
232	все эти	3	7
233	в собственном	3	7
234	находятся в	2	7
235	с этой	5	7
236	в своих	2	7
237	но что	3	7
238	как она	4	7
239	вряд ли	3	7
240	из него	2	7
241	них не	2	7
242	в таких	2	7
243	его к	2	7
244	но как	2	7
245	деятельности и	2	7
246	что именно	2	7
247	в разных	7	7
248	на котором	2	7
249	даже и	4	7
250	язык как	5	7
251	языке и	4	7
252	в данном	11	7
253	бы и	3	7
254	к этому	3	7
255	о котором	8	7
256	сама по	3	7
257	не с	3	7
258	к языку	2	7
259	этом смысле	11	7
260	не существует	2	7
261	несмотря на	2	7
262	в создании	2	6
263	например что	3	6
264	но если	6	6
265	в виду	5	6
266	таким путем	2	6
267	как он	6	6
268	увидим что	2	6
269	могло бы	2	6
270	она есть	5	6
271	в ее	11	6
272	в своей	4	6
273	должна быть	2	6
274	в этой	3	6
275	у нас	2	6
276	после того	2	6
277	на нее	3	6
278	все более	4	6
279	каким образом	2	6
280	в каждой	2	6
281	и к	3	6
282	в их	12	6
283	в виде	4	6
284	от языка	2	6
285	что с	3	6
286	и до	2	6
287	в сущности	3	6
288	да и	4	6
289	как например	6	6
290	как оно	3	6
291	хотя в	2	6
292	об этом	6	6
293	а именно	6	6
294	же самое	3	6
295	заключается в	4	6
296	язык и	3	6
297	мог бы	2	6
298	жизни и	2	6
299	в основании	3	6
300	и уже	3	6
301	мы уже	2	6
302	из того	2	5
303	для нее	2	5
304	или нет	2	5
305	вообще и	3	5
306	а с	2	5
307	можно было	8	5
308	состоит в	2	5
309	не говоря	2	5
310	однако в	3	5
311	быть названы	2	5
312	рядом с	2	5
313	уже и	10	5
314	одна из	3	5
315	можно только	2	5
316	отношение к	3	5
317	том чтобы	6	5
318	как увидим	2	5
319	если это	2	5
320	с понятием	3	5
321	входит в	3	5
322	языка не	2	5
323	этот вопрос	7	5
324	о которых	2	5
325	которое в	2	5
326	во внимание	3	5
327	чем в	3	5
328	в области	4	5
329	этого не	2	5
330	что может	3	5
331	на том	3	5
332	ответ на	4	5
333	не столько	2	5
334	есть еще	3	5
335	мы имеем	4	5
336	в начале	3	5
337	времени и	4	5
338	о языке	6	5
339	с течением	7	5
340	по времени	2	5
341	одним из	5	5
342	в течение	5	5
343	отношении к	2	5
344	в какой	6	5
345	на этот	6	5
346	но уже	2	5
347	и здесь	3	5
348	в той	10	5
349	природы и	2	5
350	не к	2	5
351	следовательно и	2	4
352	виде в	2	4
353	данном случае	5	4
354	с чем	2	4
355	иное как	6	4
356	не что	5	4
357	в другом	3	4
358	к своему	2	4
359	и чем	2	4
360	то она	2	4
361	том виде	3	4
362	от этого	5	4
363	невозможно но	3	4
364	как нечто	8	4
365	в применении	7	4
366	что чем	2	4
367	дело в	5	4
368	можно считать	2	4
369	не иначе	2	4
370	что иное	5	4
371	себе что	3	4
372	не мог	2	4
373	чем больше	2	4
374	история языка	2	4
375	только после	2	4
376	не вполне	4	4
377	но с	5	4
378	а так	2	4
379	ничего не	2	4
380	произведения и	2	4
381	есть и	5	4
382	по своему	5	4
383	что к	2	4
384	говорит он	2	4
385	нам не	2	4
386	пока не	2	4
387	этой точки	2	4
388	по этому	3	4
389	языка но	2	4
390	в связи	2	4
391	это есть	2	4
392	так называемых	4	4
393	нашего времени	2	4
394	только о	2	4
395	стороны и	3	4
396	этом отношении	4	4
397	имеет свою	2	4
398	так или	4	4
399	и так	2	4
400	из двух	4	4
401	обратить внимание	2	4
402	на этом	3	4
403	что можно	2	4
404	собственном смысле	3	4
405	бы с	2	3
406	и сама	2	3
407	нисколько не	3	3
408	что уже	3	3
409	могут не	2	3
410	и ее	4	3
411	в отношении	3	3
412	что здесь	2	3
413	должен быть	4	3
414	языка или	2	3
415	это только	4	3
416	от себя	3	3
417	в формах	2	3
418	же касается	2	3
419	быть в	5	3
420	отличие от	4	3
421	и др	2	3
422	одной из	4	3
423	а если	2	3
424	в известной	3	3
425	течением времени	7	3
426	для них	2	3
427	в известном	3	3
428	для этого	3	3
429	время в	2	3
430	языка а	2	3
431	применении к	6	3
432	ее от	2	3
433	этой стороны	2	3
434	или как	3	3
435	себе и	2	3
436	и из	2	3
437	чтобы понять	4	3
438	искусства и	2	3
439	ни с	2	3
440	каждой из	6	3
441	язык но	2	3
442	как будто	3	3
443	именно на	2	3
444	о которой	2	3
445	к таким	2	3
446	ясно что	11	3
447	в различных	5	3
448	что собственно	3	3
449	было сказано	3	3
450	первом случае	2	3
451	в свое	3	3
452	после этого	2	3
453	как это	5	3
454	дело с	9	3
455	в общем	14	3
456	сливается с	3	3
457	и вопрос	2	3
458	и совершенно	2	3
459	совсем не	3	3
460	здесь не	3	3
461	говоря уже	2	3
462	истории языка	6	3
463	случае не	2	3
464	с которыми	2	3
465	это в	2	3
466	в результате	4	3
467	такого же	2	3
468	должен был	4	3
469	как о	4	3
470	что нет	2	3
471	наука не	2	3
472	взгляда на	4	3
473	как искусство	2	3
474	языков и	2	3
475	или иначе	4	3
476	вопрос что	2	3
477	связи между	4	3
478	он сам	3	3
479	в форме	2	3
480	в большей	7	3
481	однако не	4	3
482	и развития	2	2
483	еще и	4	2
484	свое время	3	2
485	другого рода	2	2
486	стороны языка	2	2
487	еще раз	2	2
488	самое что	2	2
489	в следующем	2	2
490	факт что	2	2
491	и науки	3	2
492	духовной жизни	3	2
493	в г	5	2
494	следует что	2	2
495	ни к	2	2
496	смысле как	3	2
497	ни одна	2	2
498	времени в	3	2
499	видеть что	6	2
500	нами не	2	2
501	строгом смысле	3	2
502	на языке	2	2
503	большей части	2	2
504	быть и	2	2
505	не могли	2	2
506	на такие	2	2
507	какой бы	2	2
508	лежит в	2	2
509	с их	5	2
510	самом своем	2	2
511	время не	2	2
512	понять что	3	2
513	этим в	3	2
514	есть действительно	2	2
515	во второй	3	2
516	понятно что	3	2
517	в с	3	2
518	относящихся к	4	2
519	своего содержания	2	2
520	есть лишь	2	2
521	можно говорить	3	2
522	ближе к	2	2
523	имеет дело	5	2
524	и должно	2	2
525	от другой	3	2
526	при всей	2	2
527	каждый из	2	2
528	нуждается в	3	2
529	значении этого	2	2
530	на свои	2	2
531	а во-вторых	2	2
532	уже было	2	2
533	как совокупность	2	2
534	по возможности	3	2
535	в отношениях	2	2
536	может ли	2	2
537	в прошлом	2	2
538	только с	4	2
539	может служить	3	2
540	история литературы	3	2
541	xviii в	6	2
542	вообще в	2	2
543	с теми	2	2
544	же как	3	2
545	приходим к	5	2
546	познания и	2	2
547	свое значение	2	2
548	художественных произведений	2	2
549	из его	2	2
550	как наука	2	2
551	не исчерпывается	2	2
552	по признаку	2	2
553	истории и	4	2
554	нужно знать	2	2
555	же это	2	2
556	этот процесс	4	2
557	себя в	2	2
558	дело не	5	2
559	не нужно	2	2
560	научного анализа	2	2
561	есть язык	2	2
562	к делу	4	2
563	в разной	2	2
564	и история	4	2
565	но дело	3	2
566	слова как	2	2
567	и сам	3	2
568	видит в	4	2
569	как говорят	2	2
570	история и	3	2
571	знания и	3	2
572	из которых	3	2
573	зависимости от	3	2
574	в прямом	4	2
575	смысле и	2	2
576	по содержанию	3	2
577	этих двух	2	2
578	этих случаях	2	2
579	языка так	2	2
