N	2gram	Medvedev_V	Russkaja
1	не может	17	22
2	и не	20	19
3	в том	15	17
4	в этом	29	17
5	и в	26	14
6	то что	7	13
7	точки зрения	3	11
8	то же	10	11
9	таким образом	32	11
10	в то	6	10
11	но и	10	10
12	же время	5	10
13	не только	26	9
14	том что	8	9
15	может быть	23	9
16	в себе	6	9
17	во всяком	2	9
18	того чтобы	3	8
19	как на	3	8
20	прежде всего	13	8
21	самого себя	2	7
22	к тому	5	7
23	о том	10	7
24	отнюдь не	4	7
25	с тем	4	6
26	если в	2	6
27	и для	2	6
28	в своих	2	6
29	и к	3	6
30	если бы	3	6
31	всяком случае	2	6
32	все это	13	6
33	для того	3	6
34	и при	5	6
35	что он	4	6
36	в своем	8	6
37	для него	9	6
38	или иной	2	5
39	а в	3	5
40	на то	2	5
41	было бы	8	5
42	хотя бы	20	5
43	из которых	2	5
44	в нем	7	5
45	в своей	4	5
46	только в	8	5
47	никогда не	5	5
48	он не	2	5
49	сих пор	2	5
50	между тем	6	5
51	во всех	7	5
52	по существу	4	5
53	до сих	2	5
54	что в	11	4
55	но не	2	4
56	его в	3	4
57	все же	6	4
58	не могут	10	4
59	не в	6	4
60	как и	7	4
61	более или	6	4
62	ли это	2	4
63	как бы	5	4
64	можно было	2	4
65	приводит к	6	4
66	тогда когда	2	4
67	жизни и	3	4
68	в его	15	4
69	в их	5	4
70	в этой	4	4
71	себе и	2	4
72	вместе с	8	4
73	от того	2	4
74	или менее	6	4
75	одной из	2	3
76	да и	2	3
77	все они	2	3
78	одна из	4	3
79	то это	2	3
80	том чтобы	2	3
81	и этот	2	3
82	что все	4	3
83	с нею	2	3
84	что для	4	3
85	в сознании	4	3
86	именно в	3	3
87	из этих	7	3
88	ни одна	2	3
89	должно быть	2	3
90	всех этих	3	3
91	и потому	2	3
92	что оно	3	3
93	в другом	2	3
94	в значительной	3	3
95	главным образом	7	3
96	в конце	3	3
97	из них	11	3
98	в самом	4	3
99	и как	3	3
100	можно ли	2	3
101	знаем что	2	3
102	для них	2	3
103	может не	2	3
104	что и	3	3
105	конце концов	2	3
106	сил и	3	3
107	или в	3	3
108	сводится к	3	3
109	лишь в	2	3
110	он сам	2	3
111	говорить о	2	3
112	и по	3	3
113	связи с	5	3
114	еще не	2	3
115	того что	3	3
116	в качестве	12	3
117	что они	3	3
118	не было	7	3
119	и т	25	3
120	не о	2	2
121	в течение	2	2
122	и от	3	2
123	с этим	3	2
124	ее в	4	2
125	тому что	7	2
126	она не	3	2
127	только с	2	2
128	но в	2	2
129	того или	2	2
130	не подлежит	2	2
131	в котором	3	2
132	что такое	2	2
133	так же	3	2
134	их в	7	2
135	могут не	2	2
136	даже и	3	2
137	в ней	2	2
138	на это	2	2
139	этот вопрос	3	2
140	в результате	5	2
141	по отношению	7	2
142	но для	2	2
143	но даже	3	2
144	даже не	2	2
145	отличается от	2	2
146	естественно что	3	2
147	а во-вторых	2	2
148	в силу	14	2
149	этом и	2	2
150	и даже	2	2
151	а не	7	2
152	по этому	10	2
153	представить себе	2	2
154	по себе	2	2
155	в порядке	6	2
156	зависит от	2	2
157	отметить что	2	2
158	если они	2	2
159	это только	4	2
160	все эти	8	2
161	том же	6	2
162	только для	2	2
163	и наконец	2	2
164	является не	4	2
165	в частности	12	2
166	значительной мере	3	2
167	и есть	5	2
168	во время	4	2
169	на основании	8	2
170	должна быть	2	2
171	в области	2	2
172	у него	6	2
173	видеть в	3	2
174	некоторых из	2	2
