N	2gram	Tiupa_Anal	DiskursI
1	в качестве	38	72
2	а не	25	60
3	может быть	33	56
4	не только	30	49
5	и в	30	49
6	как и	23	47
7	тогда как	30	47
8	при этом	20	46
9	в том	36	44
10	и не	33	44
11	то есть	19	41
12	представляет собой	23	41
13	том что	21	40
14	в этом	31	38
15	в себе	17	37
16	состоит в	16	37
17	в частности	32	36
18	но и	29	35
19	своего рода	12	32
20	и т.п	13	32
21	но не	13	31
22	со стороны	5	28
23	так и	16	28
24	отличие от	8	28
25	но в	11	28
26	не может	26	27
27	в отличие	8	27
28	по своей	6	26
29	как в	3	25
30	такого рода	6	24
31	коммуникативного события	15	24
32	в рамках	5	23
33	еще не	5	23
34	отнюдь не	22	23
35	а также	8	20
36	все же	4	19
37	прежде всего	8	19
38	в нем	3	19
39	в своей	7	19
40	лирического героя	2	18
41	в основе	6	18
42	далеко не	6	18
43	по отношению	10	17
44	в данном	6	17
45	то же	12	17
46	с другой	7	17
47	отношению к	9	17
48	в мире	14	17
49	точки зрения	10	16
50	только в	8	16
51	роль в	3	15
52	в его	15	15
53	художественного письма	2	15
54	то что	11	15
55	о том	11	15
56	это не	7	14
57	или иной	8	14
58	картины мира	2	14
59	не в	17	14
60	не менее	5	14
61	одной стороны	6	14
62	можно сказать	6	14
63	не является	3	14
64	с одной	7	14
65	в целом	9	13
66	для него	5	13
67	как бы	15	13
68	данном случае	3	12
69	в своем	2	12
70	и все	5	12
71	того же	7	12
72	являет собой	4	12
73	при всей	4	12
74	природе своей	3	12
75	ведет к	3	12
76	и на	10	12
77	что в	7	11
78	в тексте	26	11
79	по природе	4	11
80	по мысли	3	11
81	с его	3	11
82	и как	6	11
83	как правило	7	11
84	не сводится	2	11
85	столь же	7	11
86	для себя	3	10
87	а в	11	10
88	а с	3	10
89	не столько	5	10
90	высказывания в	4	10
91	той или	8	10
92	вследствие этого	5	10
93	также и	3	10
94	и т.д	4	10
95	же время	7	10
96	тем самым	9	9
97	в то	10	9
98	в силу	4	9
99	героя в	2	9
100	коммуникативное событие	6	9
101	между тем	7	9
102	уже не	6	9
103	еще в	4	9
104	себя в	8	9
105	внимание на	3	9
106	сводится к	6	9
107	художественного целого	15	9
108	в соответствии	2	8
109	этом отношении	5	8
110	и о	3	8
111	как уже	5	8
112	к тому	12	8
113	потому что	3	8
114	хотя и	4	8
115	если в	3	8
116	очевидным образом	2	8
117	в противоположность	4	8
118	и даже	10	8
119	в этих	3	8
120	не с	8	8
121	в себя	8	8
122	в котором	5	8
123	соответствии с	3	8
124	в одном	3	8
125	из них	2	8
126	совпадает с	6	8
127	он не	4	8
128	не следует	6	8
129	его в	2	7
130	с позиций	2	7
131	о чем	3	7
132	могут быть	12	7
133	приводит к	2	7
134	в ходе	5	7
135	одной из	2	7
136	и для	3	7
137	с позиции	2	7
138	в процессе	2	7
139	что и	5	7
140	в этой	12	7
141	другой стороны	2	7
142	к этому	2	7
143	в составе	2	7
144	иначе говоря	17	7
145	мира в	2	7
146	лишь в	12	7
147	в рассказе	2	7
148	в пределах	11	7
149	ни в	5	7
150	я в	5	7
151	той же	4	7
152	присутствия в	4	7
153	и его	9	7
154	таким образом	5	7
155	тому же	6	7
156	основе своей	2	7
157	никогда не	4	6
158	к его	3	6
159	значении этого	8	6
160	в ситуации	3	6
161	не как	2	6
162	отношение к	2	6
163	что он	3	6
164	не знает	4	6
165	одно из	2	6
166	по рассуждению	3	6
167	в контексте	5	6
168	именно в	6	6
169	тому как	5	6
170	времени в	4	6
171	одного из	4	6
172	однако в	4	6
173	что же	3	6
174	здесь не	2	6
175	крайней мере	4	6
176	в принципе	8	6
177	в сущности	10	6
178	в ее	2	6
179	имеет место	6	6
180	и то	4	6
181	то в	2	6
182	во всех	5	6
183	конечном счете	5	6
184	и одновременно	4	6
185	времени и	7	6
186	по крайней	4	6
187	в конечном	6	6
188	однако при	3	6
189	своей коммуникативной	2	6
190	с точки	6	6
191	и того	5	6
192	в противовес	3	6
193	ничего не	10	5
194	в другом	4	5
195	проявляется в	4	5
196	в виду	2	5
197	в их	8	5
198	не всегда	4	5
199	и потому	2	5
200	того что	5	5
201	о нем	4	5
202	несмотря на	5	5
203	один из	4	5
204	не предполагает	2	5
205	исходя из	5	5
206	здесь в	2	5
207	по бахтину	2	5
208	в ряду	2	5
209	представляют собой	4	5
210	как будто	6	5
211	сказать что	2	5
212	но при	2	5
213	из этих	2	5
214	для данного	3	5
215	за пределы	6	5
216	с ее	2	5
217	мысль о	2	5
218	дискурса как	2	5
219	во второй	3	5
220	я и	8	5
221	субъекта в	2	5
222	эстетической деятельности	4	5
223	одного и	2	5
224	себе не	2	5
225	что касается	4	5
226	за рамки	2	5
227	на протяжении	2	5
228	в литературе	4	5
229	внутренней речи	9	5
230	подобно тому	5	5
231	в акте	2	5
232	строго говоря	3	5
233	и состоит	5	5
234	текста а	6	5
235	может служить	3	5
236	на этом	4	5
237	самого рассказывания	4	5
238	в сторону	6	5
239	не вполне	2	5
240	в той	8	5
241	как раз	5	5
242	говорить о	3	5
243	же самое	3	5
244	не к	3	5
245	тем что	2	5
246	не о	3	4
247	свое время	3	4
248	не могут	3	4
249	из того	5	4
250	одну из	2	4
251	более чем	4	4
252	с той	2	4
253	силу своей	3	4
254	события в	2	4
255	и тем	4	4
256	или напротив	3	4
257	и составляет	2	4
258	может и	2	4
259	в свое	3	4
260	того или	3	4
261	неотделимо от	2	4
262	может иметь	2	4
263	объекта и	3	4
264	в произведении	7	4
265	как это	5	4
266	более того	4	4
267	полной мере	3	4
268	только на	3	4
269	жизненной позиции	5	4
270	в полной	3	4
271	произведение в	2	4
272	и рецептивной	4	4
273	на его	4	4
274	что не	3	4
275	между двумя	7	4
276	и до	3	4
277	и во	3	4
278	по выражению	4	4
279	того и	5	4
280	в первом	3	4
281	для обозначения	2	4
282	во внешнем	4	4
283	принципиально не	3	4
284	особого рода	9	4
285	или иного	3	4
286	а напротив	3	4
287	мы имеем	9	4
288	в равной	4	4
289	и представляет	4	4
290	в результате	3	4
291	по преимуществу	4	4
292	этом случае	4	4
293	отличается от	3	4
294	тем не	3	4
295	я не	2	4
296	связи с	2	4
297	коммуникативным событием	2	4
298	и адресата	2	4
299	оказывается не	2	4
300	в культуре	3	4
301	одним из	3	4
302	в какой	3	4
303	организации текста	6	4
304	есть в	4	4
305	восходит к	2	4
306	частности в	2	4
307	в самом	12	4
308	и.п смирнов	2	4
309	будто бы	4	4
310	не есть	8	4
311	и к	5	4
312	из виду	3	4
313	со своим	4	4
314	по себе	6	4
315	говорит о	5	4
316	высказывания и	3	4
317	на примере	3	4
318	не более	4	4
319	или в	2	4
320	и есть	3	4
321	поведения в	2	4
322	с ним	6	4
323	текста в	18	4
324	вопрос о	2	3
325	для человека	2	3
326	в полном	2	3
327	ван дейк	2	3
328	этого рода	2	3
329	текста не	3	3
330	вплоть до	2	3
331	при встрече	4	3
332	дискурс в	2	3
333	к другим	2	3
334	в обоих	3	3
335	оказывается в	2	3
336	в новом	2	3
337	в речевом	2	3
338	текста и	10	3
339	языка и	2	3
340	в области	4	3
341	эстетического переживания	2	3
342	мире и	2	3
343	в действительности	2	3
344	литературного произведения	50	3
345	что ни	2	3
346	мере в	4	3
347	рассказ о	3	3
348	более или	2	3
349	в романе	2	3
350	своей собственной	2	3
351	ему в	3	3
352	которая в	3	3
353	героя как	2	3
354	что на	3	3
355	на себя	5	3
356	по этой	2	3
357	не говоря	2	3
358	из возможных	2	3
359	между собой	2	3
360	в сочетании	7	3
361	этой причине	2	3
362	выступает в	2	3
363	для этого	2	3
364	о его	5	3
365	все эти	3	3
366	было бы	4	3
367	дело не	5	3
368	жанровой стратегии	2	3
369	том числе	3	3
370	некоторого рода	2	3
371	как мы	3	3
372	да и	2	3
373	одно и	2	3
374	содержит в	3	3
375	событий и	2	3
376	или не	2	3
377	тут же	2	3
378	произведения как	8	3
379	в начале	3	3
380	исторической поэтики	2	3
381	бы быть	3	3
382	его как	3	3
383	особенно в	9	3
384	с их	2	3
385	хотя бы	4	3
386	в которой	3	3
387	уже говорилось	5	3
388	композиционная форма	2	3
389	который не	2	3
390	и по	2	3
391	не просто	2	3
392	внешнем мире	2	3
393	и наконец	2	3
394	автора и	4	3
395	правило не	2	3
396	текста к	2	3
397	перед лицом	6	3
398	заключается в	2	3
399	дело с	5	3
400	и более	5	3
401	или менее	2	3
402	обоих случаях	2	3
403	отношения к	4	3
404	речи в	3	3
405	не случайно	11	3
406	различного рода	3	3
407	сочетании с	7	3
408	жизненных позиций	2	3
409	в специальном	2	3
410	личности в	4	3
411	научного мышления	2	3
412	то ни	3	3
413	или даже	3	3
414	место в	3	3
415	и сам	4	3
416	жизни но	3	3
417	о себе	2	3
418	в организации	2	3
419	и что	2	3
420	равной степени	2	3
421	однако не	4	3
422	имеем дело	7	3
423	вместе с	6	3
424	в широком	4	2
425	в отношении	2	2
426	на дорогу	2	2
427	ни о	3	2
428	этого текста	2	2
429	его к	3	2
430	мы должны	2	2
431	всего лишь	11	2
432	остается в	2	2
433	вступает в	4	2
434	той мере	2	2
435	вслед за	3	2
436	каждый из	3	2
437	такова что	2	2
438	вопроса о	4	2
439	эстетического субъекта	3	2
440	все того	2	2
441	как к	2	2
442	едва ли	4	2
443	есть не	9	2
444	сами по	3	2
445	другого в	3	2
446	для художественного	2	2
447	ни чисто	2	2
448	из трех	2	2
449	к предмету	4	2
450	внутритекстовых дискурсов	2	2
451	обращаясь к	2	2
452	от своего	3	2
453	ни одно	2	2
454	к своему	2	2
455	во времени	6	2
456	самом деле	3	2
457	в чем	2	2
458	всего в	3	2
459	что даже	2	2
460	не являются	2	2
461	я героя	3	2
462	речевого строя	2	2
463	так например	2	2
464	до его	2	2
465	только через	2	2
466	не приходится	2	2
467	к нему	4	2
468	чем и	3	2
469	только с	2	2
470	и адресат	2	2
471	те же	3	2
472	свидетельствует о	4	2
473	разного рода	3	2
474	воспринимающего сознания	5	2
475	не имея	2	2
476	говорит и	2	2
477	науке о	2	2
478	самим собой	3	2
479	ответ на	3	2
480	упускать из	2	2
481	что может	2	2
482	же не	3	2
483	текста так	2	2
484	или меньшей	4	2
485	речь идет	2	2
486	и другого	4	2
487	о своей	2	2
488	в собственном	3	2
489	ритмических рядов	11	2
490	следует понимать	2	2
491	себя и	5	2
492	все это	2	2
493	жизнью и	2	2
494	который в	3	2
495	я как	2	2
496	этого слова	10	2
497	главного героя	3	2
498	вовсе не	4	2
499	событие самого	2	2
500	одного сознания	2	2
501	бы то	3	2
502	дискурса это	3	2
503	по поводу	4	2
504	это еще	2	2
505	эстетического объекта	11	2
506	собой не	2	2
507	нашего времени	3	2
508	на небесах	4	2
509	могла бы	3	2
510	удивительно что	2	2
511	том чтобы	7	2
512	но отнюдь	2	2
513	с другими	4	2
514	художественного времени	2	2
515	х годов	2	2
516	адресата и	2	2
517	складывается из	2	2
518	тем более	2	2
519	бытия и	2	2
520	в первой	2	2
521	текста на	2	2
522	должно быть	2	2
523	появляется в	2	2
524	один голос	2	2
525	о литературе	3	2
526	на него	3	2
527	перед собой	2	2
528	за ним	2	2
529	как писал	3	2
530	реплики в	2	2
531	себя самого	2	2
532	если бы	6	2
533	не позволяет	2	2
534	и действия	2	2
535	что как	3	2
536	также может	3	2
537	не удивительно	2	2
538	неотделима от	2	2
539	в драме	2	2
540	сознания в	4	2
541	художественное целое	2	2
542	художественного высказывания	3	2
543	ни было	4	2
544	для того	4	2
545	и их	2	2
546	с этой	2	2
547	такой же	3	2
548	понимать как	3	2
549	это всегда	4	2
550	начале х	2	2
551	и романа	2	2
552	текст и	2	2
553	на фоне	5	2
554	том и	2	2
555	не был	2	2
556	эстетического отношения	8	2
557	речи и	2	2
558	на этот	2	2
559	т.д в	2	2
560	целого в	5	2
561	у него	5	2
562	ни с	5	2
563	ее в	2	2
564	на то	2	2
565	в роли	4	2
566	романа в	4	2
567	человек в	3	2
568	как эстетической	2	2
569	аналогичным образом	3	2
570	отношения между	2	2
571	и с	2	2
572	личности и	3	2
573	данный текст	2	2
574	из которых	4	2
575	большей или	4	2
576	обнаруживает себя	3	2
577	всякий раз	3	2
578	произведения в	14	2
579	со своей	2	2
580	системы ценностей	2	2
581	ценностного центра	2	2
582	ю.м лотмана	2	2
583	может не	2	2
584	теми же	2	2
585	в случае	7	2
586	в литературоведении	2	2
587	служит для	2	2
588	не знаю	2	2
589	реальности и	2	2
590	иного рода	4	2
591	на роль	2	2
592	по его	2	2
593	поскольку в	2	2
594	в нашем	3	2
595	как ценностного	2	2
596	а как	4	2
597	на основе	3	2
