N	3gram	Losev_Prob	FransuaR
1	в то же	4	55
2	как мы уже	2	28
3	до сих пор	6	27
4	в том числе	2	27
5	в том что	7	27
6	в этом отношении	2	20
7	с точки зрения	3	20
8	для того чтобы	9	17
9	о том что	16	17
10	том числе и	2	17
11	в связи с	7	16
12	но и в	3	15
13	то есть в	6	15
14	на самом деле	6	13
15	не может быть	5	13
16	дело в том	3	13
17	с одной стороны	4	13
18	в известной мере	2	12
19	а также и	2	12
20	с другой стороны	7	12
21	можно сказать что	6	11
22	той или иной	5	10
23	в конце концов	11	10
24	в данном случае	10	10
25	не только в	3	10
26	так и в	2	9
27	более или менее	7	8
28	во всех этих	2	7
29	в настоящее время	17	7
30	на первый план	3	7
31	можно было бы	4	7
32	и в других	3	7
33	в самом деле	4	7
34	в значительной мере	2	7
35	подобно тому как	2	7
36	о том как	2	7
37	в то время	2	7
38	о чем мы	2	6
39	с самого начала	2	6
40	то есть только	2	6
41	даже и в	3	6
42	во всяком случае	11	5
43	то же самое	9	5
44	и до наших	2	5
45	и вовсе не	6	5
46	и в частности	3	5
47	одной стороны и	2	5
48	только то что	6	5
49	также и в	2	4
50	может быть и	5	4
51	как раз и	11	4
52	и в самом	2	4
53	как мы увидим	2	4
54	то что в	4	4
55	в нем только	2	4
56	литературы и искусства	5	4
57	связи с этим	2	4
58	так же как	2	4
59	том что в	2	4
60	здесь перед нами	3	4
61	это вовсе не	2	4
62	и то что	9	4
63	бы то ни	2	3
64	можно говорить о	2	3
65	содержит в себе	7	3
66	в этом смысле	8	3
67	не только не	4	3
68	заключается в том	2	3
69	есть не что	5	3
70	вместе с тем	2	3
71	что иное как	5	3
72	и как бы	2	3
73	что в нем	4	3
74	тех или иных	2	3
75	свидетельствует о том	3	3
76	они вовсе не	2	3
77	одного и того	2	3
78	не что иное	5	3
79	и того же	2	3
80	вовсе не является	6	3
81	но как раз	2	3
82	в литературе и	4	3
83	и в этом	5	3
84	так как они	2	3
85	но уже в	2	2
86	на эту тему	2	2
87	вовсе еще не	3	2
88	сам по себе	7	2
89	таким образом что	2	2
90	и в данном	2	2
91	именно в этом	2	2
92	ни о каком	2	2
93	ничего общего с	9	2
94	только тогда когда	4	2
95	одним и тем	2	2
96	нужно сказать и	2	2
97	имел в виду	2	2
98	в таких случаях	2	2
99	и тем же	2	2
100	не потому что	2	2
101	и в его	2	2
102	никак не может	3	2
103	так как он	2	2
104	в этом случае	6	2
105	вовсе не являются	5	2
106	в какой-то мере	2	2
107	то есть чисто	2	2
108	мы здесь не	2	2
109	мы вовсе не	2	2
110	так и их	2	2
111	по этому поводу	5	2
112	друг к другу	2	2
113	никогда не может	2	2
114	то что он	3	2
115	мы не будем	2	2
116	может быть только	2	2
117	и только в	2	2
118	пространстве и времени	2	2
119	в себе все	2	2
120	в другом случае	2	2
121	том что это	2	2
122	но и не	2	2
