N	4gram	Tiupa_Hudo	Analitik
1	в то же время	7	14
2	состоит в том что	4	7
3	одного и того же	3	6
4	присутствия я в мире	5	5
5	в той или иной	2	5
6	в том что он	2	4
7	что в имени тебе	2	3
8	пушкина что в имени	2	3
9	бы то ни было	2	3
10	совокупность факторов художественного впечатления	2	2
11	слове о полку игореве	2	2
12	ни в коем случае	2	2
13	в коем случае не	2	2
14	роли в миропорядке судьбы	2	2
15	как совокупность факторов художественного	2	2
16	стихотворении пушкина что в	2	2
17	в войне и мире	2	2
18	не следует смешивать с	3	2
19	одно и то же	3	2
20	с этой точки зрения	2	2
21	в слове о полку	2	2
