N	2gram	Kanaev_Sov	Morfolog
1	может быть	12	61
2	и пр	2	45
3	таким образом	11	26
4	могут быть	2	21
5	так как	4	20
6	не может	17	19
7	в этом	7	18
8	и в	7	17
9	и не	6	16
10	мы видим	2	15
11	с этим	2	14
12	прежде всего	5	14
13	а не	3	11
14	вопрос о	4	10
15	то же	3	10
16	в том	4	10
17	что в	2	10
18	все же	3	9
19	не только	4	8
20	в результате	6	8
21	а в	4	8
22	мы не	9	8
23	как мы	2	8
24	не могут	2	7
25	тем не	2	7
26	или же	2	7
27	не менее	2	7
28	точки зрения	12	7
29	это не	4	6
30	в нашем	2	6
31	если мы	4	6
32	с точки	5	6
33	как бы	4	6
34	одна из	3	5
35	ничего не	6	5
36	не будем	2	5
37	мы можем	6	5
38	было бы	3	5
39	из которых	2	5
40	в целом	4	5
41	между собой	3	5
42	на его	2	5
43	все эти	5	5
44	в первом	3	5
45	если же	2	5
46	ясно что	3	5
47	еще не	3	4
48	самом деле	2	4
49	из них	4	4
50	но в	3	4
51	на котором	2	4
52	но все	2	4
53	следующим образом	3	4
54	как и	6	4
55	ни одна	2	4
56	уже не	2	4
57	и к	3	4
58	на этом	2	4
59	говорить о	2	4
60	в некоторых	2	4
61	мы должны	4	3
62	в настоящее	2	3
63	в которой	2	3
64	а на	2	3
65	то ни	2	3
66	что это	2	3
67	в виде	2	3
68	состоит из	3	3
69	он должен	2	3
70	из двух	3	3
71	не в	3	3
72	у нас	3	3
73	форма в	2	3
74	в один	2	3
75	приводит к	2	3
76	что такое	2	3
77	но мы	3	3
78	что при	2	3
79	настоящее время	2	3
80	к чему	2	3
81	можно назвать	2	3
82	и что	2	3
83	и по	2	3
84	и есть	2	3
85	в этой	3	3
86	из этих	2	2
87	и даже	2	2
88	он приводит	2	2
89	что она	3	2
90	роль в	2	2
91	пойти в	2	2
92	с одной	2	2
93	на этот	2	2
94	он может	3	2
95	мы получаем	3	2
96	их в	4	2
97	быть и	2	2
98	для нас	3	2
99	вторая половина	2	2
100	что же	5	2
101	всяком случае	2	2
102	может не	3	2
103	может дать	2	2
104	все это	3	2
105	у него	2	2
106	так называемых	3	2
107	мы получим	3	2
108	в одном	3	2
109	во всяком	2	2
110	тем же	2	2
