N	2gram	Voloshinov	Poddanst
1	не только	7	17
2	и в	16	14
3	и не	4	12
4	в области	3	11
5	в этом	9	10
6	но в	4	9
7	то же	2	9
8	в том	3	9
9	хотя бы	4	8
10	в пределах	2	8
11	только в	4	7
12	быть может	2	6
13	но и	4	6
14	было бы	2	6
15	и о	2	5
16	и пр	12	5
17	может быть	17	5
18	что в	3	4
19	и потому	3	4
20	том что	3	4
21	и к	6	4
22	как бы	5	4
23	то что	3	4
24	не может	8	4
25	а в	3	4
26	что мы	2	3
27	и как	3	3
28	с точки	6	3
29	сводится к	2	3
30	мы не	2	3
31	я и	6	3
32	точки зрения	8	3
33	в нем	4	3
34	могут быть	3	3
35	прежде всего	9	3
36	с ними	4	3
37	для нас	2	2
38	в них	2	2
39	в жизни	2	2
40	отношения к	3	2
41	и мы	2	2
42	и это	6	2
43	и других	2	2
44	в его	4	2
45	с этим	2	2
46	по сравнению	3	2
47	и вот	3	2
48	в общем	3	2
49	не менее	2	2
50	говорить о	2	2
51	в начале	2	2
52	все это	4	2
53	в частности	2	2
54	во всей	2	2
55	и есть	3	2
56	и с	8	2
57	на этих	2	2
58	во всех	3	2
59	есть в	2	2
60	отнюдь не	4	2
