N	3gram	Voloshinov	Formalny
1	с точки зрения	15	40
2	не может быть	14	29
3	на самом деле	4	21
4	то же время	6	20
5	в то же	6	20
6	во всяком случае	8	16
7	по отношению к	11	12
8	так и в	3	11
9	в самом деле	10	11
10	в этом отношении	4	11
11	бы то ни	3	10
12	в его целом	2	10
13	в зависимости от	4	10
14	в большинстве случаев	5	9
15	и не может	3	9
16	как мы видели	8	8
17	для того чтобы	3	8
18	до сих пор	3	8
19	с одной стороны	2	8
20	в применении к	2	7
21	а вовсе не	3	7
22	в первый период	4	7
23	пр и пр	2	7
24	то ни было	2	7
25	в свою очередь	4	7
26	в высшей степени	6	7
27	и пр и	2	7
28	сам по себе	4	6
29	может быть и	6	6
30	в данном случае	4	6
31	мы полагаем что	2	6
32	в том что	9	6
33	мы не можем	3	5
34	в этом смысле	2	5
35	в отличие от	2	5
36	к тому что	2	5
37	к тому чтобы	3	5
38	как раз и	2	4
39	в последнем счете	4	4
40	в конце концов	2	4
41	с самого начала	5	4
42	в первом периоде	2	4
43	и до конца	4	4
44	тем не менее	4	4
45	нет и не	3	4
46	не могут быть	4	4
47	в ее целом	4	4
48	то же самое	2	3
49	что же касается	3	3
50	на первый план	4	3
51	то или иное	2	3
52	во всех своих	3	3
53	но в то	3	3
54	и тот же	3	3
55	первый период развития	2	3
56	ни о каком	2	3
57	только то что	3	3
58	но вовсе не	3	3
59	мы уже знаем	3	3
60	быть и речи	3	3
61	во всех областях	2	3
62	на самом же	2	3
63	один и тот	3	3
64	мы увидим что	4	3
65	самом же деле	2	3
66	равно как и	2	3
67	все то что	3	2
68	и прежде всего	7	2
69	выйти за пределы	3	2
70	зависимости от того	2	2
71	вовсе не в	2	2
72	что же такое	2	2
73	в предыдущей главе	2	2
74	ни о какой	2	2
75	в следующей главе	3	2
76	индивидуального организма и	3	2
77	выходит за пределы	2	2
78	было бы наивно	2	2
79	в таком случае	4	2
80	на этот вопрос	3	2
81	нам важно лишь	2	2
82	и с помощью	2	2
83	ни в чем	4	2
84	мы видели что	3	2
85	хотя бы и	2	2
86	в собственном смысле	3	2
87	и его формы	2	2
88	что и в	2	2
89	отнюдь не является	3	2
90	и не нуждается	2	2
91	и притом в	3	2
