N	3gram	Propp_Isto	Marksizm
1	не может быть	5	25
2	по отношению к	3	15
3	в том что	7	14
4	до сих пор	4	11
5	с другой стороны	17	7
6	во всяком случае	3	6
7	с одной стороны	11	6
8	как мы видели	3	5
9	в этом случае	4	5
10	мы уже знаем	5	4
11	и здесь мы	2	4
12	о том что	9	4
13	в зависимости от	3	4
14	но все же	3	4
15	тем не менее	4	3
16	более или менее	3	3
17	лежит в основе	2	3
18	мы не будем	2	3
19	можно было бы	3	3
20	на этот вопрос	3	3
21	не только в	9	3
22	но и в	4	3
23	в достаточной степени	2	2
24	характерно что в	2	2
25	так и в	3	2
26	так же как	4	2
27	и в других	2	2
28	в данном случае	7	2
29	в этом и	2	2
30	как и в	3	2
31	мы видели как	3	2
32	мы видели что	4	2
33	с тем что	2	2
34	так или иначе	2	2
35	независимо от того	2	2
