N	2gram	Potebnia_M	Sovremen
1	не может	18	17
2	точки зрения	4	12
3	может быть	46	12
4	таким образом	24	11
5	мы не	17	9
6	в каждом	6	8
7	не можем	8	7
8	и в	48	7
9	в этом	19	7
10	и не	28	6
11	как и	22	6
12	каждый раз	3	6
13	мы можем	13	6
14	что же	3	5
15	с точки	3	5
16	и наконец	3	5
17	прежде всего	6	5
18	нет и	2	4
19	вопрос о	2	4
20	мы видели	5	4
21	это не	2	4
22	не только	32	4
23	в том	47	4
24	мы должны	6	4
25	как бы	10	4
26	их в	3	4
27	так как	20	4
28	если мы	2	4
29	в целом	5	4
30	жизни и	3	4
31	вместе с	22	4
32	а в	14	4
33	из них	11	4
34	для нас	40	3
35	не подлежит	2	3
36	и мы	3	3
37	он может	2	3
38	когда мы	4	3
39	и потому	9	3
40	но в	8	3
41	при этом	6	3
42	из двух	4	3
43	но мы	3	3
44	не в	24	3
45	все же	3	3
46	было бы	16	3
47	в области	3	3
48	уже в	10	3
49	в себе	26	3
50	еще не	9	3
51	у нас	2	3
52	и все	5	3
53	все это	4	3
54	в нем	16	3
55	в наших	2	3
56	а не	22	3
57	в первом	5	3
58	и к	5	3
59	что она	4	3
60	в этой	3	3
61	то же	35	3
62	мы называем	2	3
63	в одном	4	3
64	так называемых	3	3
65	в системе	2	3
66	ли мы	3	3
67	с общим	2	2
68	но все	2	2
69	на его	4	2
70	о значении	2	2
71	и по	5	2
72	не знаем	5	2
73	же самое	3	2
74	всяком случае	3	2
75	что все	5	2
76	форма в	5	2
77	каждого из	2	2
78	можно назвать	2	2
79	не менее	9	2
80	той же	6	2
81	дает нам	3	2
82	не могут	7	2
83	для развития	3	2
84	мы видим	3	2
85	в его	6	2
86	только одну	2	2
87	к чему	2	2
88	он должен	2	2
89	с этим	12	2
90	и что	13	2
91	то и	10	2
92	во всяком	4	2
93	что такое	2	2
94	в науке	3	2
95	что при	3	2
96	такие же	2	2
97	свою очередь	6	2
98	из этих	10	2
99	так сказать	6	2
100	в самом	11	2
101	и есть	4	2
102	или же	8	2
103	в виде	3	2
104	что в	30	2
105	времени и	2	2
106	в таком	6	2
107	в которой	9	2
108	у него	3	2
109	из одного	3	2
110	самом деле	5	2
111	уже не	11	2
112	в свою	6	2
113	могут быть	6	2
114	в один	4	2
115	только один	3	2
116	отличие от	2	2
117	тот же	2	2
118	с одной	8	2
119	как мы	8	2
120	говорить о	6	2
121	не дает	2	2
122	что это	6	2
123	тем не	7	2
124	на котором	4	2
125	и даже	3	2
126	тем же	6	2
127	некоторое время	3	2
128	развития в	2	2
