N	2gram	Savitsky_P	Otkroven
1	и в	14	19
2	но и	6	13
3	и не	12	13
4	в этом	10	12
5	не только	17	11
6	не в	5	11
7	а не	2	11
8	может быть	5	11
9	в нем	3	10
10	потому что	3	9
11	не было	2	9
12	прежде всего	3	9
13	в его	2	7
14	все это	2	6
15	а в	4	5
16	в россии	3	5
17	в том	9	5
18	то что	4	5
19	что в	4	4
20	т е	3	4
21	не может	4	4
22	в себе	3	3
23	это не	3	3
24	и вот	2	3
25	было бы	6	3
26	для того	3	3
27	и есть	2	3
28	в русской	4	3
29	как бы	4	3
30	хотя бы	8	3
31	могут быть	3	3
32	быть может	6	3
33	того что	2	3
34	с тем	3	2
35	россии в	5	2
36	мысль о	2	2
37	и с	2	2
38	и потому	4	2
39	в ее	2	2
40	в своем	4	2
41	но в	9	2
42	том что	4	2
43	по себе	4	2
44	должно быть	2	2
45	и о	5	2
46	и к	4	2
47	хотя и	3	2
