N	4gram	Losev_Prob	Vladivir
1	дело в том что	3	11
2	в то время как	2	5
3	то это значит что	2	4
4	не что иное как	5	4
5	не говоря уже о	5	4
6	также и то что	2	4
7	бы то ни стало	2	3
8	что бы то ни	2	3
9	во что бы то	2	3
10	заключается в том что	2	3
11	только в том случае	2	3
12	и тем не менее	8	2
13	как мы увидим ниже	2	2
14	или по крайней мере	4	2
15	точно так же и	3	2
16	с одной стороны и	2	2
17	в связи с этим	2	2
18	свидетельствует о том что	3	2
19	не имеет ничего общего	4	2
20	имеет ничего общего с	3	2
21	есть не что иное	5	2
22	в истории философии и	2	2
