N	2gram	Tiupa_Lite	formyVre
1	и в	26	148
2	в этом	19	73
3	то есть	11	70
4	в нем	4	51
5	прежде всего	14	46
6	и т	2	40
7	и не	19	37
8	в его	9	36
9	и его	7	36
10	вовсе не	3	35
11	но и	25	33
12	то же	13	32
13	т п	2	32
14	не только	29	32
15	в литературе	2	32
16	но в	5	31
17	жизни и	6	31
18	так и	7	29
19	может быть	24	27
20	не в	11	26
21	как мы	2	26
22	как и	13	25
23	как бы	8	25
24	точки зрения	8	24
25	в то	12	23
26	человека в	5	23
27	только в	8	23
28	то что	14	22
29	в том	22	22
30	жизни в	5	21
31	все эти	2	21
32	связи с	7	21
33	во всех	4	21
34	же время	12	21
35	в своем	12	19
36	и др	4	19
37	и на	5	19
38	у него	5	18
39	по существу	4	18
40	еще не	4	18
41	таким образом	4	18
42	человека и	2	17
43	при этом	23	17
44	так как	2	17
45	в особенности	2	17
46	в пределах	4	17
47	все же	6	16
48	того же	5	16
49	в связи	4	16
50	в основе	5	16
51	не может	10	16
52	никогда не	5	15
53	лишь в	4	15
54	в одном	2	15
55	с точки	4	15
56	с его	5	15
57	вместе с	5	15
58	и как	2	14
59	в конце	6	14
60	и с	4	14
61	как раз	6	14
62	а не	28	14
63	роль в	2	13
64	в их	3	13
65	в частности	18	13
66	а в	5	13
67	же в	6	13
68	для того	2	13
69	как в	5	13
70	в самом	4	13
71	с ним	2	13
72	ничего не	3	12
73	отнюдь не	4	12
74	не было	5	12
75	и наконец	2	12
76	но не	8	12
77	потому что	5	12
78	он не	4	12
79	что в	7	12
80	его в	4	11
81	в ней	4	11
82	из них	5	11
83	уже в	7	11
84	также и	3	10
85	уже не	9	10
86	и того	2	10
87	жизненный путь	2	10
88	на основе	2	10
89	могут быть	4	9
90	к себе	3	9
91	и других	4	9
92	всего в	4	9
93	том что	19	9
94	и даже	9	9
95	мира в	4	9
96	та же	2	9
97	с другой	11	9
98	для него	6	9
99	до конца	3	8
100	это не	4	8
101	или иной	3	8
102	в индивидуальном	2	8
103	для себя	6	8
104	и прежде	4	8
105	к тому	3	8
106	том числе	2	8
107	в целом	10	8
108	и т.п	14	8
109	один из	7	8
110	что и	3	8
111	во всяком	3	8
112	и то	3	8
113	а также	5	8
114	в результате	2	8
115	героя и	2	8
116	в этих	2	8
117	со всеми	2	8
118	отношению к	4	8
119	с одной	9	8
120	в жизни	7	8
121	в мире	9	8
122	в виду	4	8
123	на фоне	5	8
124	для всех	5	7
125	в себе	8	7
126	не как	4	7
127	том же	3	7
128	отличие от	6	7
129	не знает	3	7
130	того что	7	7
131	было бы	4	7
132	себя и	3	7
133	мир в	5	7
134	например в	3	7
135	к этому	2	7
136	из этих	2	7
137	и он	3	7
138	с ее	3	7
139	этом отношении	5	7
140	не могло	3	7
141	в отличие	6	7
142	нет ничего	2	7
143	в себя	5	7
144	все они	2	6
145	в отношении	2	6
146	есть не	2	6
147	а как	2	6
148	здесь как	2	6
149	одной из	2	6
150	к смерти	2	6
151	с тем	2	6
152	могло быть	2	6
153	ту же	4	6
154	одной стороны	8	6
155	xviii века	2	6
156	в качестве	21	6
157	тех же	3	6
158	в начале	4	6
159	за пределы	3	6
160	мы не	5	6
161	в сущности	5	6
162	не является	3	6
163	о том	3	6
164	все что	3	6
165	слова и	6	6
166	не оставляет	3	6
167	по своей	3	5
168	только на	3	5
169	так что	4	5
170	xix века	6	5
171	одно из	3	5
172	не на	2	5
173	в этой	7	5
174	хотя бы	3	5
175	мы имеем	2	5
176	в своей	5	5
177	по преимуществу	6	5
178	тем что	6	5
179	с этой	6	5
180	самим собою	2	5
181	не имеет	2	5
182	и является	2	5
183	далеко не	4	5
184	да и	3	5
185	человек в	2	5
186	и только	4	5
187	нового времени	2	5
188	той же	5	5
189	даже в	6	4
190	так в	6	4
191	не для	2	4
192	из того	3	4
193	от него	2	4
194	при всей	5	4
195	по отношению	6	4
196	в другом	3	4
197	друг друга	5	4
198	и т.д	8	4
199	что он	8	4
200	как он	2	4
201	жизни на	3	4
202	бы на	2	4
203	в тексте	9	4
204	в чем	2	4
205	что не	3	4
206	другой стороны	5	4
207	у достоевского	2	4
208	для них	2	4
209	а затем	3	4
210	своей собственной	2	4
211	с жизнью	2	4
212	в данном	7	4
213	тем более	2	4
214	и вот	2	4
215	у нас	5	4
216	себе и	2	4
217	же и	3	4
218	этом случае	2	4
219	мир и	2	4
220	в своих	5	4
221	жизни как	3	4
222	со своей	3	4
223	несмотря на	3	4
224	всяком случае	2	4
225	раз и	2	4
226	к жизни	2	4
227	в нашем	2	4
228	жизни с	2	4
229	еще и	3	3
230	все более	3	3
231	в соответствии	2	3
232	и всегда	2	3
233	в сферу	2	3
234	вплоть до	4	3
235	наконец в	2	3
236	как это	9	3
237	как уже	3	3
238	это уже	2	3
239	культуры в	5	3
240	ему в	2	3
241	но это	2	3
242	не столько	8	3
243	в образах	2	3
244	и художественного	2	3
245	же как	3	3
246	на этом	3	3
247	одна из	8	3
248	все то	2	3
249	нет в	2	3
250	но при	2	3
251	я был	2	3
252	дело в	3	3
253	время не	2	3
254	в первый	2	3
255	бы не	3	3
256	как на	3	3
257	но только	3	3
258	при всем	4	3
259	что есть	2	3
260	от всех	2	3
261	их не	2	3
262	в творчестве	2	3
263	на почве	2	3
264	жизни не	2	3
265	в свою	2	3
266	мы в	3	3
267	и есть	3	3
268	не к	3	3
269	в слове	3	3
270	ни был	2	3
271	однако не	2	3
272	не мог	3	3
273	тем же	5	3
274	данном случае	6	2
275	самим собой	2	2
276	идет о	4	2
277	на себя	4	2
278	с чем	3	2
279	раньше и	2	2
280	одну из	2	2
281	с идеей	2	2
282	каждый из	4	2
283	если в	2	2
284	в каждом	2	2
285	в пути	3	2
286	свою очередь	2	2
287	но одновременно	2	2
288	где в	2	2
289	на один	2	2
290	и каждый	2	2
291	он же	2	2
292	должен быть	2	2
293	сказано в	3	2
294	имел в	2	2
295	мыслится как	5	2
296	разумеется не	2	2
297	произведения как	2	2
298	в тебе	2	2
299	одном из	3	2
300	героя в	2	2
301	самом деле	2	2
302	литературного произведения	4	2
303	но по	2	2
304	от других	2	2
305	в искусстве	4	2
306	я вижу	2	2
307	как я	3	2
308	для своего	2	2
309	к своей	2	2
310	а только	2	2
311	во втором	3	2
312	картина мира	2	2
313	отношении к	2	2
314	но как	3	2
315	себя как	2	2
316	по этому	2	2
317	в поэзии	4	2
318	нового типа	2	2
319	этого рода	2	2
320	всех своих	3	2
321	нового человека	2	2
322	с их	3	2
323	и нет	4	2
324	перестает быть	5	2
325	то в	3	2
326	то и	5	2
327	то он	3	2
328	по аналогии	3	2
329	себя в	7	2
330	процесса в	2	2
331	но лишь	4	2
332	произведения с	2	2
333	себе не	2	2
334	для нас	3	2
335	у романтиков	2	2
336	к своему	2	2
337	одновременно с	2	2
338	должна быть	3	2
339	не можем	2	2
340	культуры и	2	2
341	собственной жизни	2	2
342	но уже	2	2
343	с собой	4	2
344	соответствии с	3	2
345	где бы	2	2
346	еще в	7	2
347	он становится	2	2
348	так называемый	3	2
349	я не	8	2
350	от жизни	2	2
351	он сам	2	2
352	в чужом	4	2
353	и сам	6	2
354	тому же	2	2
