N	2gram	Potebnia_M	Myshleni
1	в том	47	195
2	в этом	19	167
3	то что	37	166
4	и в	48	162
5	том что	28	161
6	таким образом	24	147
7	точки зрения	4	143
8	что в	30	119
9	не только	32	116
10	того что	24	109
11	в процессе	2	101
12	так же	6	100
13	потому что	82	95
14	того чтобы	5	91
15	может быть	46	89
16	с точки	3	89
17	что он	8	86
18	не может	18	81
19	как и	22	79
20	так как	20	78
21	для того	8	78
22	и не	28	78
23	только в	29	75
24	в целом	5	74
25	как мы	8	72
26	но и	30	70
27	заключается в	2	67
28	в его	6	67
29	мы могли	2	65
30	сказать что	8	65
31	как бы	10	64
32	вместе с	22	62
33	и что	13	60
34	было бы	16	60
35	то же	35	58
36	могли бы	3	54
37	что мы	16	53
38	в силу	7	53
39	в самом	11	52
40	в сущности	3	51
41	мы должны	6	50
42	к тому	9	49
43	что они	2	48
44	мы можем	13	48
45	тем что	13	48
46	мы не	17	47
47	тогда когда	20	47
48	если бы	20	46
49	но не	8	45
50	с другой	8	45
51	по отношению	12	45
52	тем самым	11	43
53	с тем	9	43
54	тому что	6	42
55	отношению к	10	42
56	одной стороны	4	40
57	о том	7	40
58	так и	17	39
59	никогда не	2	39
60	с одной	8	39
61	в области	3	38
62	мы видели	5	38
63	вопрос о	2	37
64	не в	24	37
65	если мы	2	37
66	значение слова	8	37
67	в этой	3	37
68	и к	5	37
69	мы видим	3	37
70	в своем	6	36
71	и его	4	36
72	как в	17	36
73	а не	22	36
74	того же	5	35
75	он не	4	35
76	в которой	9	35
77	в себе	26	35
78	для себя	3	35
79	и как	8	34
80	связи с	6	34
81	при этом	6	33
82	мысли к	2	33
83	для ребенка	2	33
84	прежде всего	6	33
85	по себе	26	33
86	что и	16	32
87	именно в	5	32
88	по своему	2	32
89	же самое	3	32
90	но в	8	32
91	слова и	8	32
92	той же	6	32
93	и тем	8	32
94	что оно	12	32
95	и на	5	32
96	развития в	2	31
97	и то	13	31
98	из того	2	31
99	все же	3	31
100	мысли и	8	30
101	этом отношении	2	30
102	на то	6	30
103	между тем	19	29
104	могут быть	6	29
105	показывает что	2	29
106	этого слова	14	29
107	от того	10	29
108	переход от	3	28
109	к слову	3	28
110	с этим	12	28
111	самом деле	5	28
112	что с	2	28
113	что все	5	27
114	в своей	2	27
115	только что	12	27
116	с этой	2	27
117	в то	16	27
118	перед нами	3	27
119	связь между	6	27
120	этом случае	2	27
121	другой стороны	4	27
122	и с	4	27
123	мысли в	2	26
124	в их	2	26
125	что это	6	26
126	для него	14	26
127	в собственном	3	26
128	собственном смысле	2	26
129	все это	4	25
130	по мере	12	25
131	еще не	9	25
132	уже в	10	25
133	что она	4	25
134	это не	2	25
135	только не	5	25
136	в чем	6	25
137	можно сказать	4	25
138	мы уже	5	25
139	так что	14	24
140	тот же	2	24
141	целый ряд	2	24
142	в какой	3	24
143	что эта	3	24
144	понятия и	3	24
145	в нем	16	24
146	того как	10	24
147	в слове	41	24
148	оба эти	2	24
149	в смысле	4	24
150	друг друга	6	23
151	бы в	3	23
152	слова в	7	23
153	ни в	2	23
154	смысле этого	9	22
155	во всяком	4	22
156	отношения между	4	22
157	не могут	7	22
158	столь же	8	22
159	то время	7	22
160	отношение к	2	21
161	в истории	2	21
162	отношений между	2	21
163	и более	4	21
164	его в	6	21
165	там где	6	21
166	к этому	3	21
167	и все	5	21
168	ее в	2	21
169	между ними	4	21
170	и следовательно	3	21
171	не имеет	10	21
172	с таким	3	21
173	в сознании	36	21
174	в такой	2	20
175	в котором	7	20
176	и других	3	20
177	а в	14	20
178	должно быть	9	20
179	время как	3	20
180	из них	11	20
181	и их	4	20
182	на вопрос	2	20
183	не менее	9	20
184	из этих	10	20
185	в наших	2	20
186	но мы	3	19
187	об отношении	5	19
188	в данном	3	19
189	словом и	6	19
190	с ним	10	19
191	в той	2	19
192	как на	6	19
193	но если	2	19
194	а с	4	19
195	и по	5	19
196	в речи	4	19
197	один из	7	19
198	независимо от	10	19
199	отличие от	2	18
200	от мысли	4	18
201	для развития	3	18
202	во всем	2	18
203	и другое	3	18
204	одного и	2	18
205	и словом	3	18
206	чем в	2	18
207	в образовании	3	18
208	всяком случае	3	18
209	но это	9	18
210	этом смысле	2	18
211	к другим	4	17
212	на деле	8	17
213	сих пор	4	17
214	все что	4	17
215	в своих	2	17
216	в свою	6	17
217	и того	2	17
218	в одном	4	17
219	и от	5	17
220	мысль не	3	17
221	то и	10	17
222	и есть	4	17
223	и только	5	17
224	не есть	24	17
225	в этих	2	17
226	иначе как	2	17
227	их в	3	17
228	тем же	6	17
229	и той	4	17
230	у него	3	17
231	до сих	4	17
232	языка и	5	16
233	перехода от	3	16
234	вовсе не	13	16
235	тому как	6	16
236	одной и	6	16
237	по поводу	8	16
238	в мысли	3	16
239	для нас	40	16
240	к одному	7	16
241	между двумя	5	16
242	слово и	4	16
243	и даже	3	16
244	мысль что	4	16
245	в которых	5	16
246	таким же	2	16
247	данном случае	3	15
248	к мысли	4	15
249	вопрос об	2	15
250	тем более	9	15
251	те же	6	15
252	но как	2	15
253	том же	2	15
254	значит что	2	15
255	по этому	2	15
256	что если	5	15
257	в начале	3	15
258	от этого	2	15
259	подобно тому	3	15
260	что при	3	15
261	представить себе	5	15
262	хотя бы	3	15
263	как она	2	15
264	на все	3	15
265	и это	6	15
266	в них	9	15
267	которое мы	2	15
268	он должен	2	14
269	друг от	2	14
270	только тогда	13	14
271	что для	5	14
272	что эти	3	14
273	что у	4	14
274	когда мы	4	14
275	очевидно что	9	14
276	одной из	3	14
277	который в	2	14
278	от друга	2	14
279	но что	4	14
280	один и	2	14
281	одно и	7	14
282	свою очередь	6	14
283	об этом	4	14
284	одним из	3	14
285	к которым	2	14
286	и здесь	3	14
287	не можем	8	14
288	все более	2	13
289	в понятии	2	13
290	она не	4	13
291	на его	4	13
292	но все	2	13
293	и тот	5	13
294	лишь в	2	13
295	в виде	3	13
296	точно так	15	13
297	человека и	8	13
298	в состоянии	5	13
299	что между	2	13
300	к его	2	13
301	в действительности	7	13
302	его к	2	13
303	если в	2	13
304	с другими	9	13
305	но на	2	13
306	и потому	9	12
307	в ее	3	12
308	в первом	5	12
309	никак не	3	12
310	тем не	7	12
311	но только	3	12
312	входит в	3	12
313	тем и	5	12
314	даже в	3	12
315	это и	2	12
316	что слово	13	12
317	ко всем	5	12
318	несмотря на	2	12
319	образом что	2	12
320	в ней	11	12
321	которые мы	3	12
322	от его	2	12
323	том чтобы	4	12
324	только на	4	12
325	к нему	7	12
326	к другому	3	12
327	за пределы	2	12
328	и между	4	12
329	с но	3	12
330	но он	3	12
331	на самом	4	11
332	в каком	8	11
333	одно из	6	11
334	а только	7	11
335	что этот	2	11
336	мысли от	2	11
337	друг другу	2	11
338	есть не	9	11
339	и при	5	11
340	на котором	4	11
341	ответ на	3	11
342	находится в	5	11
343	например в	9	11
344	в других	3	11
345	в один	4	11
346	и значением	2	11
347	что на	3	11
348	и наконец	3	11
349	нас в	3	11
350	или менее	6	11
351	слово в	6	11
352	не знает	4	11
353	не столько	2	11
354	только по	5	11
355	ничего общего	2	11
356	есть в	6	11
357	отношения к	2	11
358	понятий но	2	10
359	но вместе	5	10
360	и слова	4	10
361	относится к	6	10
362	у нас	2	10
363	что такое	2	10
364	в другой	3	10
365	если не	6	10
366	каким образом	2	10
367	вслед за	6	10
368	что внутренняя	3	10
369	что его	3	10
370	мысли как	4	10
371	указывает на	8	10
372	мы называем	2	10
373	и слово	6	10
374	что как	4	10
375	вытекает из	2	10
376	что мысль	6	10
377	мысль и	2	10
378	внимание на	2	10
379	и может	4	10
380	но этот	2	10
381	не могло	3	10
382	и значение	2	10
383	что именно	5	10
384	само по	6	9
385	только для	3	9
386	он может	2	9
387	мы говорим	2	9
388	но эта	3	9
389	связано с	2	9
390	хотя и	3	9
391	как оно	2	9
392	сама по	3	9
393	зависит от	7	9
394	мы в	3	9
395	в системе	2	9
396	и притом	3	9
397	что уже	2	9
398	оно есть	4	9
399	не то	6	9
400	более или	6	9
401	должны быть	3	9
402	та же	3	9
403	оно не	7	9
404	место в	4	9
405	речи есть	3	9
406	и до	2	9
407	что же	3	9
408	силу того	2	9
409	не с	4	9
410	представляется нам	2	9
411	говорить о	6	9
412	или в	4	9
413	наших глазах	2	8
414	уже по	3	8
415	действительности и	3	8
416	относятся к	2	8
417	связь с	4	8
418	что не	12	8
419	которая не	2	8
420	во время	4	8
421	что только	7	8
422	одним и	4	8
423	на которой	4	8
424	мы старались	2	8
425	со стороны	4	8
426	мы его	2	8
427	увидим что	2	8
428	все остальные	3	8
429	мысли но	3	8
430	на одном	2	8
431	из двух	4	8
432	должен был	2	8
433	в животном	3	8
434	не как	3	8
435	в эту	4	8
436	в более	4	8
437	все равно	5	8
438	в известной	3	8
439	и из	2	8
440	от нее	2	8
441	сам по	9	8
442	что я	5	8
443	том как	3	8
444	образом в	4	8
445	к другой	4	8
446	и тогда	4	8
447	о котором	2	8
448	не обнаруживает	4	8
449	в течение	2	8
450	отношении к	3	8
451	известно что	4	8
452	при помощи	2	7
453	и вместе	6	7
454	должна быть	2	7
455	с ними	6	7
456	первом случае	2	7
457	находятся в	3	7
458	образом и	3	7
459	слова не	2	7
460	понятие о	3	7
461	заключить что	3	7
462	том виде	2	7
463	в разных	4	7
464	он говорит	3	7
465	же в	3	7
466	оно имеет	3	7
467	это в	2	7
468	из нее	2	7
469	той и	2	7
470	не существует	5	7
471	возможно только	6	7
472	он сам	2	7
473	в таком	6	7
474	с первого	2	7
475	слова с	4	7
476	имеет свою	2	7
477	до того	5	7
478	сознания и	2	7
479	на него	3	7
480	за ним	4	7
481	но тем	4	7
482	говоря словами	2	7
483	предмета и	2	7
484	с понятием	3	7
485	без всякого	2	7
486	его с	3	7
487	признать что	2	7
488	это слово	6	7
489	восприятия и	2	7
490	слово не	6	7
491	со словом	6	7
492	без слов	5	6
