N	2gram	Losev_Prob	VeschiIm
1	т е	2	81
2	не есть	49	79
3	и не	63	57
4	вещи есть	32	55
5	не только	37	48
6	то что	72	48
7	не может	18	46
8	и в	64	45
9	вещи и	13	40
10	и есть	7	40
11	может быть	29	39
12	и т	13	39
13	т д	12	38
14	а не	21	37
15	значит что	6	32
16	это значит	4	30
17	потому что	24	25
18	было бы	16	24
19	не просто	30	24
20	в себе	16	23
21	что она	8	23
22	по себе	20	23
23	только в	19	23
24	сказать что	33	22
25	и что	21	22
26	в смысле	2	22
27	и следовательно	6	20
28	что такое	23	20
29	как бы	18	20
30	и ее	9	19
31	с нею	2	19
32	что это	4	19
33	но и	23	19
34	что же	18	19
35	есть только	16	18
36	все же	7	18
37	в этом	30	18
38	вещь и	3	18
39	есть не	10	17
40	и это	13	17
41	прежде всего	17	17
42	так как	16	17
43	что мы	23	17
44	того что	18	16
45	вещи но	3	16
46	самой вещи	2	16
47	таким образом	9	16
48	как раз	20	16
49	от всего	4	15
50	в том	19	15
51	как и	7	15
52	уже не	9	15
53	не в	6	14
54	и то	15	14
55	но это	11	14
56	том что	26	13
57	и явление	3	13
58	есть и	4	13
59	не будет	11	13
60	и больше	2	13
61	и для	10	13
62	в самом	10	13
63	то ни	3	13
64	ничего не	20	12
65	иное как	5	12
66	но если	6	12
67	вещи как	4	12
68	совершенно не	7	12
69	есть ни	8	12
70	смысл и	3	12
71	что в	21	12
72	точки зрения	5	12
73	она есть	5	12
74	что и	2	12
75	что они	5	12
76	есть то	5	12
77	и как	10	12
78	не что	5	12
79	то же	10	12
80	еще не	18	12
81	что иное	5	12
82	смысл вещи	3	12
83	между собою	9	12
84	и даже	19	12
85	о том	25	12
86	если мы	16	12
87	и с	12	12
88	есть нечто	13	12
89	не значит	4	12
90	бы то	2	12
91	еще и	9	11
92	в то	7	11
93	предполагает что	4	11
94	вещи не	5	11
95	не менее	26	11
96	что не	8	11
97	вовсе не	60	11
98	содержит в	7	11
99	тем не	25	11
100	д и	4	11
101	и их	4	11
102	и пр	4	11
103	также и	22	11
104	ни в	13	11
105	и только	7	11
106	крайней мере	8	10
107	есть ли	2	10
108	в чем	3	10
109	что оно	4	10
110	вещи в	4	10
111	по крайней	8	10
112	ясно что	7	10
113	это не	7	9
114	нисколько не	3	9
115	со стороны	2	9
116	так что	12	9
117	в своем	7	9
118	то и	7	9
119	она не	5	9
120	другими словами	8	9
121	ли это	2	9
122	бы и	5	9
123	должно быть	3	9
124	хотя бы	15	9
125	бы в	3	9
126	в результате	6	9
127	я и	2	9
128	если оно	2	9
129	у нас	31	9
130	на то	12	9
131	но не	13	9
132	но что	3	9
133	говорить о	14	9
134	и его	3	9
135	сущность и	3	9
136	с ним	4	9
137	в отношении	7	8
138	его в	9	8
139	и потому	3	8
140	указывает на	16	8
