N	3gram	Vygotskiy_	Vladivir
1	в том что	30	29
2	о том что	15	22
3	и то что	4	14
4	в то время	4	13
5	дело в том	2	13
6	в конце концов	6	11
7	с точки зрения	5	10
8	не может быть	4	10
9	вместе с тем	4	10
10	то что он	5	9
11	в этом смысле	3	9
12	на то что	25	8
13	на первый план	2	7
14	том что он	4	6
15	как это мы	2	6
16	в данном случае	3	6
17	том что в	2	6
18	в отличие от	3	6
19	с другой стороны	8	6
20	и в этом	2	6
21	само по себе	3	6
22	то время как	4	5
23	не только в	5	5
24	то что в	4	5
25	и в том	2	5
26	сам по себе	4	4
27	можно сказать что	3	4
28	не что иное	2	4
29	в этом отношении	3	4
30	можно было бы	4	4
31	заключается в том	9	4
32	с одной стороны	15	4
33	для того чтобы	41	4
34	что иное как	2	4
35	сказать что в	2	4
36	что в этом	6	4
37	и т д	6	4
38	в том чтобы	6	4
39	что он не	3	3
40	с самого начала	5	3
41	потому что в	4	3
42	ни в каком	2	3
43	иметь в виду	3	3
44	нам кажется что	2	3
45	в самом деле	8	3
46	и в частности	2	3
47	не только не	4	3
48	по этому поводу	4	3
49	а с другой	5	3
50	к тому что	8	3
51	мы знаем что	3	3
52	и то же	4	2
53	и что в	5	2
54	тех пор пока	2	2
55	так как это	6	2
56	за то что	3	2
57	и заключается что	2	2
58	если бы мы	5	2
59	том и заключается	3	2
60	бы если бы	2	2
61	то обстоятельство что	2	2
62	и тот же	2	2
63	может быть и	2	2
64	с тем что	3	2
65	то что мы	2	2
66	так же как	3	2
67	в том и	3	2
68	сводится к тому	3	2
69	до сих пор	9	2
70	мы сейчас увидим	3	2
71	все это было	2	2
72	и никак не	2	2
73	до конца и	2	2
74	одно и то	3	2
75	что это есть	2	2
76	что в нем	3	2
77	как это делает	3	2
78	в этом случае	2	2
79	не то что	3	2
80	до тех пор	2	2
