N	2gram	Savitsky_P	Russkaja
1	не может	4	22
2	и не	12	19
3	в том	9	17
4	в этом	10	17
5	и в	14	14
6	то что	4	13
7	точки зрения	3	11
8	то же	9	11
9	в то	7	10
10	но и	6	10
11	же время	7	10
12	не только	17	9
13	том что	4	9
14	церкви и	2	9
15	может быть	5	9
16	в себе	3	9
17	с точки	3	9
18	как на	2	8
19	прежде всего	3	8
20	и с	2	7
21	мы должны	4	7
22	и если	4	7
23	отнюдь не	2	7
24	россии в	5	7
25	с тем	3	6
26	если в	2	6
27	в россии	3	6
28	и к	4	6
29	если бы	4	6
30	все это	2	6
31	для того	3	6
32	в своем	4	6
33	а в	4	5
34	в последние	2	5
35	было бы	6	5
36	хотя бы	8	5
37	потому что	3	5
38	в нем	3	5
39	только в	7	5
40	между тем	3	5
41	во всех	2	5
42	что в	4	4
43	но не	3	4
44	не в	5	4
45	в мире	2	4
46	как бы	4	4
47	в его	2	4
48	со стороны	2	4
49	да и	2	3
50	одна из	2	3
51	культуры в	2	3
52	именно в	2	3
53	должно быть	2	3
54	и потому	4	3
55	в значительной	2	3
56	главным образом	2	3
57	из них	2	3
58	и как	3	3
59	признание что	2	3
60	для них	2	3
61	сводится к	3	3
62	говорить о	2	3
63	в виде	2	3
64	того что	2	3
65	в качестве	9	3
66	не было	2	3
67	и т	3	3
68	россии и	4	3
69	не о	2	2
70	и о	5	2
71	не к	2	2
72	с этим	2	2
73	тем самым	3	2
74	помнить что	2	2
75	но в	9	2
76	европейской культуры	4	2
77	в котором	4	2
78	в начале	2	2
79	в ней	6	2
80	время в	2	2
81	отношении к	5	2
82	в силу	2	2
83	а не	2	2
84	для нас	2	2
85	по себе	4	2
86	в порядке	3	2
87	и тем	2	2
88	к чему	2	2
89	и вот	2	2
90	бы ни	2	2
91	в частности	2	2
92	значительной мере	2	2
93	и есть	2	2
94	друг другу	2	2
95	отношения к	2	2
96	в области	11	2
97	от европы	2	2
