N	2gram	Medvedev_F	Tragedij
1	и в	54	18
2	в году	2	9
3	в этом	39	9
4	не только	14	8
5	и не	34	7
6	и на	10	7
7	как бы	10	7
8	и с	17	7
9	может быть	30	7
10	же время	13	6
11	что он	8	6
12	но в	9	6
13	и его	27	6
14	несмотря на	2	5
15	все же	8	5
16	это не	4	5
17	то же	16	5
18	как и	18	5
19	в дальнейшем	3	5
20	так и	24	5
21	не может	26	5
22	в то	14	5
23	что в	10	4
24	еще не	6	4
25	в целом	7	4
26	но и	18	4
27	прежде всего	34	4
28	том что	3	4
29	в этой	10	4
30	и что	2	4
31	так же	5	4
32	и все	9	4
33	все это	11	4
34	в нем	25	4
35	то что	14	4
36	но это	4	4
37	и даже	7	4
38	в себе	4	4
39	этот образ	2	4
40	один из	4	3
41	и как	6	3
42	в мире	4	3
43	тем самым	5	3
44	к нему	3	3
45	в своем	12	3
46	при этом	14	3
47	в его	30	3
48	все эти	12	3
49	отнюдь не	13	3
50	в основном	3	3
51	с ее	7	3
52	никто не	2	3
53	должно быть	13	3
54	как в	12	3
55	как это	8	3
56	жизнь и	3	3
57	для него	9	3
58	в конце	2	3
59	с ним	3	3
60	никогда не	6	2
61	в самом	17	2
62	но все	4	2
63	данном случае	2	2
64	до конца	9	2
65	с тем	11	2
66	ее к	2	2
67	одна из	2	2
68	друг друга	4	2
69	тем что	6	2
70	перед нами	3	2
71	в душе	2	2
72	она должна	3	2
73	вопрос о	3	2
74	в одном	2	2
75	его в	5	2
76	в русском	2	2
77	не имеет	2	2
78	в виде	2	2
79	раз и	6	2
80	ничего не	5	2
81	то и	2	2
82	нет в	2	2
83	в данном	2	2
84	не могут	8	2
85	в ее	10	2
86	но эта	2	2
87	вряд ли	2	2
88	к тому	6	2
89	а как	5	2
90	что и	10	2
91	ни в	3	2
92	не в	16	2
93	столь же	2	2
94	и здесь	8	2
95	потому что	2	2
96	между этими	2	2
97	было в	3	2
98	в известной	2	2
99	в частности	4	2
100	в таком	2	2
101	так что	2	2
102	он не	8	2
103	и ее	15	2
104	ничем не	4	2
105	под влиянием	3	2
106	в первом	8	2
107	впечатление что	2	2
108	в самую	2	2
109	уже не	9	2
110	этими двумя	2	2
111	и это	4	2
112	русской литературы	2	2
113	не так	4	2
114	отличие от	2	2
115	в том	17	2
116	и до	8	2
117	чем он	3	2
118	в отличие	2	2
119	еще в	2	2
120	он и	3	2
121	с его	12	2
122	отношение к	4	2
