N	2gram	Losev_Prob	StatiiOP
1	и в	48	103
2	в том	25	89
3	том что	29	77
4	в этом	31	76
5	что в	12	74
6	не только	28	60
7	и т	2	51
8	о том	17	47
9	но и	21	46
10	то что	26	44
11	что он	12	42
12	в его	19	42
13	и не	29	41
14	может быть	11	38
15	было бы	12	32
16	в этой	14	31
17	вовсе не	18	31
18	все это	8	29
19	тем что	2	29
20	таким образом	20	28
21	а в	8	27
22	а не	7	27
23	но в	17	26
24	что это	4	25
25	так и	15	25
26	в трагедии	9	24
27	этом отношении	4	24
28	и его	11	24
29	все же	12	23
30	не в	16	23
31	так что	18	23
32	точки зрения	17	23
33	потому что	21	23
34	того что	8	22
35	в области	3	22
36	прежде всего	15	22
37	для того	4	22
38	у нас	17	22
39	в которой	7	22
40	как в	3	22
41	того чтобы	3	21
42	это не	8	20
43	до сих	3	20
44	в то	6	19
45	сих пор	3	19
46	в своей	29	19
47	только в	21	19
48	об этом	11	18
49	не может	6	18
50	с другой	8	18
51	в котором	5	18
52	он не	4	18
53	в году	9	17
54	самом деле	3	17
55	своей трагедии	3	17
56	между прочим	2	17
57	в россии	2	17
58	в данном	6	17
59	в самом	7	17
60	как бы	10	17
61	в русской	4	17
62	с этим	3	16
63	сказать что	13	16
64	в ней	4	16
65	можно было	4	16
66	если бы	2	16
67	в этих	3	16
68	в отношении	8	15
69	с тем	7	15
70	как и	10	15
71	для него	2	15
72	по поводу	2	15
73	другой стороны	8	15
74	из этих	2	15
75	я не	3	15
76	также и	21	15
77	и на	9	15
78	у него	13	15
79	как раз	7	15
80	была бы	3	14
81	к тому	7	14
82	между тем	2	14
83	то же	6	14
84	но все	6	14
85	с точки	13	14
86	и что	9	14
87	в своем	16	13
88	в конце	10	13
89	а с	4	13
90	что касается	5	13
91	тому что	2	13
92	но это	7	13
93	в качестве	9	13
94	в нем	8	13
95	во всяком	7	13
96	дело в	4	13
97	именно в	11	13
98	из них	4	13
99	всяком случае	6	13
100	в той	5	13
101	жизни и	7	13
102	вместе с	15	13
103	не менее	8	12
104	что они	4	12
105	так как	10	12
106	обстоятельство что	2	12
107	в первой	2	12
108	хотя бы	11	12
109	что у	6	12
110	ни в	17	12
111	в своих	3	12
112	никогда не	7	11
113	вопрос о	2	11
114	и с	10	11
115	в другом	6	11
116	в них	5	11
117	все эти	12	11
118	и по	2	11
119	того как	5	11
120	это было	2	11
121	на то	2	11
122	не было	4	11
123	ясно что	11	11
124	на самом	2	10
125	так же	7	10
126	по словам	2	10
127	в виду	3	10
128	а как	2	10
129	в частности	5	10
130	ничего не	3	10
131	что и	8	10
132	в начале	6	10
133	во всех	2	10
134	кроме того	5	10
135	но не	12	10
136	но он	5	10
137	в каждом	2	9
138	в чем	3	9
139	такого рода	4	9
140	несмотря на	7	9
141	по этому	5	9
142	он был	5	9
143	можно сказать	10	9
144	в одном	6	9
145	не является	2	9
146	с этой	4	9
147	и для	11	9
148	и к	9	9
149	для нас	14	9
150	что мы	4	9
151	внимание на	4	9
152	говорит о	9	9
153	что эта	3	9
154	и тем	4	9
155	и это	3	9
156	до конца	4	8
157	при помощи	12	8
158	и об	2	8
159	могут быть	2	8
160	отношение к	3	8
161	в их	4	8
162	в какой	5	8
163	по мнению	3	8
164	связи с	11	8
165	к этому	2	8
166	а также	8	8
167	мы имеем	3	8
168	это в	2	8
169	что она	2	8
170	в результате	11	8
171	тем не	8	8
172	и даже	24	8
173	должен был	2	8
174	и о	9	8
175	и более	3	8
176	не имеет	3	8
177	еще более	4	8
178	по его	2	8
179	данном случае	5	7
180	том как	2	7
181	о чем	2	7
182	вплоть до	2	7
183	уже в	4	7
184	в это	3	7
185	что здесь	8	7
186	конце концов	7	7
187	факт что	2	7
188	в виде	25	7
189	и очень	3	7
190	одной из	5	7
191	гораздо более	5	7
192	и сейчас	2	7
193	того же	7	7
194	во втором	2	7
195	что этот	6	7
196	уже о	2	7
197	этому поводу	4	7
198	как это	5	7
199	тем более	2	7
200	в ее	6	7
201	с самого	3	7
202	не все	3	7
203	нет никакого	6	7
204	и то	6	7
205	то в	4	7
206	мы находим	9	7
207	еще не	4	7
208	отношению к	2	7
209	еще и	6	7
210	xix в	4	7
211	что для	2	7
212	по себе	5	7
213	можно назвать	2	7
214	из этого	6	7
215	то время	4	7
216	не просто	12	7
217	представление о	2	7
218	не мог	5	7
219	даже в	2	6
220	о которых	2	6
221	в себе	7	6
222	в одной	2	6
223	вот что	4	6
224	по отношению	2	6
225	должен быть	2	6
226	из которых	2	6
227	том смысле	2	6
228	его не	3	6
229	по существу	2	6
230	к нему	3	6
231	и все	12	6
232	по крайней	8	6
233	этой трагедии	6	6
234	в известном	2	6
235	на его	4	6
236	и во	2	6
237	и вообще	11	6
238	с его	3	6
239	крайней мере	8	6
240	одно из	2	6
241	его как	2	6
242	мы не	7	6
243	еще до	2	6
244	при его	2	6
245	трагедии не	2	6
246	же и	2	6
247	и сам	5	6
248	время как	4	6
249	в жизни	4	6
250	ни на	2	6
251	за то	4	6
252	обратить внимание	4	6
253	этом смысле	4	6
254	но я	2	6
255	и за	2	6
256	тем же	4	6
257	не о	2	5
258	его в	9	5
259	представляет собою	3	5
260	на себя	2	5
261	на эту	2	5
262	в стихотворениях	2	5
263	для себя	6	5
264	это и	4	5
265	что именно	2	5
266	том же	2	5
267	как он	2	5
268	нас не	3	5
269	и потому	4	5
270	не так	4	5
271	а то	2	5
272	одной стороны	5	5
273	что не	3	5
274	один из	2	5
275	можно ли	2	5
276	при этом	6	5
277	в тех	2	5
278	до того	3	5
279	хотя и	10	5
280	самого начала	3	5
281	или иного	2	5
282	можно найти	6	5
283	того или	3	5
284	в духе	4	5
285	всех этих	3	5
286	на это	2	5
287	не как	3	5
288	к ней	2	5
289	как будто	9	5
290	с одной	5	5
291	после того	3	5
292	том чтобы	3	5
293	нет и	3	5
294	ни с	4	5
295	за что	5	5
296	ее в	2	5
297	раз в	2	5
298	в мировой	3	5
299	и если	2	5
300	уже не	12	5
301	если не	6	5
302	которая была	2	5
303	в предисловии	2	5
304	и который	4	5
305	это был	3	5
306	конечно не	2	5
307	является не	2	5
308	и только	4	5
309	без всякого	3	5
310	находим в	4	4
311	трагедии и	4	4
312	в каждой	2	4
313	не могут	3	4
314	в период	4	4
315	нисколько не	7	4
316	то есть	38	4
317	что оно	2	4
318	и у	8	4
