N	2gram	Voloshinov	PoTuStor
1	может быть	50	17
2	и в	32	16
3	и пр	31	12
4	мы можем	6	9
5	в этом	27	9
6	и только	2	9
7	таким образом	29	9
8	прежде всего	19	9
9	и с	4	8
10	в психике	2	8
11	точки зрения	48	8
12	совершенно не	6	8
13	не может	40	8
14	и его	33	8
15	сказать что	7	7
16	не только	18	7
17	с его	6	7
18	и это	6	6
19	с точки	31	6
20	конечно не	9	6
21	самом деле	18	6
22	и к	3	6
23	для него	18	6
24	при этом	13	6
25	ни в	7	5
26	все эти	8	5
27	что такое	3	5
28	как бы	31	5
29	нуждается в	4	5
30	еще не	7	5
31	в чем	2	5
32	как мы	26	4
33	и на	8	4
34	все это	4	4
35	на самом	10	4
36	его в	7	4
37	в его	10	4
38	и ее	4	4
39	но и	17	4
40	и не	42	4
41	и все	8	4
42	но в	13	4
43	с самого	9	4
44	в этой	3	4
45	с ее	2	4
46	так как	5	4
47	и их	2	4
48	только в	14	4
49	в нем	17	4
50	хотя бы	8	4
51	с ними	5	4
52	можно сказать	4	4
53	так и	21	4
54	для всех	2	4
55	мысли и	7	4
56	самого начала	9	4
57	отнюдь не	14	4
58	и даже	4	4
59	что в	5	3
60	жизни и	4	3
61	мы полагаем	2	3
62	и как	8	3
63	и потому	7	3
64	на этой	6	3
65	а в	5	3
66	в том	13	3
67	и вот	2	3
68	с другими	6	3
69	ко всякому	2	3
70	между ними	6	3
71	в области	3	3
72	те же	5	3
73	до сих	10	3
74	в основном	10	3
75	только на	7	3
76	и есть	3	3
77	во время	2	3
78	большинстве случаев	7	3
79	в большинстве	7	3
80	в этих	2	3
81	пр и	5	3
82	отношения к	2	3
83	с их	2	3
84	как это	2	3
85	то что	12	3
86	во всех	13	3
87	если б	2	3
88	мира и	2	3
89	могут быть	4	3
90	полагаем что	2	3
91	сих пор	10	3
92	на язык	3	3
93	всяком случае	4	3
94	вместе с	2	3
95	учение о	3	3
96	в одном	2	3
97	этом смысле	2	3
98	и др	3	3
99	мы знаем	7	3
100	во всяком	8	3
101	и значение	6	3
102	том что	12	3
103	в основе	10	3
104	никогда не	7	2
105	все остальные	3	2
106	мы видим	2	2
107	здесь же	2	2
108	в жизни	2	2
109	и действительно	4	2
110	в каком	6	2
111	и вообще	3	2
112	же как	2	2
113	и для	15	2
114	совсем не	2	2
115	и этот	2	2
116	что не	4	2
117	что это	3	2
118	из сказанного	2	2
119	другими словами	4	2
120	т.е не	3	2
121	они-то и	2	2
122	оно и	2	2
123	вообще не	2	2
124	что и	5	2
125	не менее	5	2
126	ее в	2	2
127	на первый	2	2
128	не существует	6	2
129	субъективного сознания	7	2
130	было бы	8	2
131	не могут	4	2
132	в систему	3	2
133	сводится к	5	2
134	и других	3	2
135	о том	4	2
136	можно назвать	2	2
137	то же	19	2
138	они не	2	2
139	с этим	6	2
140	как и	19	2
141	что он	5	2
142	так же	10	2
143	и лишь	3	2
144	говорить о	2	2
145	того же	11	2
146	но ведь	4	2
147	в науке	6	2
148	в своей	5	2
149	мы не	6	2
150	себя и	2	2
151	это делает	2	2
152	ни было	15	2
153	из этих	3	2
154	но как	3	2
155	в самом	14	2
156	в начале	7	2
157	с этой	2	2
158	по аналогии	2	2
159	не на	2	2
160	в частности	2	2
161	войти в	3	2
162	и вся	2	2
163	сознания и	6	2
164	он не	5	2
165	у него	2	2
166	ту же	2	2
167	во всей	2	2
168	если мы	17	2
169	как с	2	2
170	не есть	6	2
171	в душе	3	2
172	за пределы	8	2
173	к этому	10	2
174	нем нет	4	2
175	его целом	2	2
176	нет и	4	2
177	можем сказать	2	2
178	с помощью	11	2
179	не знает	4	2
180	в пределах	7	2
181	что оно	3	2
182	и т.п	17	2
183	момент в	3	2
184	и так	2	2
185	на границе	4	2
186	всех других	3	2
187	почти не	2	2
188	мы уже	7	2
189	не будет	7	2
190	на основе	4	2
191	на протяжении	2	2
192	между собой	3	2
