N	2gram	Vygotskiy_	Russkaja
1	не может	11	22
2	и не	16	19
3	в том	59	17
4	в этом	35	17
5	с другом	10	14
6	и в	38	14
7	друг с	10	14
8	то что	27	13
9	точки зрения	27	11
10	то же	18	11
11	таким образом	36	11
12	в то	5	10
13	но и	9	10
14	не только	16	9
15	том что	44	9
16	может быть	25	9
17	в себе	9	9
18	с точки	11	9
19	во всяком	10	9
20	того чтобы	15	8
21	как на	2	8
22	прежде всего	6	8
23	самого себя	2	7
24	и с	5	7
25	к тому	8	7
26	о том	6	7
27	мы должны	15	7
28	не будет	2	7
29	отнюдь не	6	7
30	самом деле	4	7
31	с тем	18	6
32	если в	3	6
33	и для	4	6
34	в своих	3	6
35	и к	9	6
36	если бы	12	6
37	всяком случае	10	6
38	все это	8	6
39	для того	14	6
40	и при	3	6
41	что он	13	6
42	в своем	9	6
43	для него	6	6
44	вопрос о	2	5
45	или иной	3	5
46	а в	7	5
47	на то	7	5
48	было бы	15	5
49	хотя бы	2	5
50	из которых	6	5
51	между собой	15	5
52	и на	9	5
53	потому что	14	5
54	при этом	13	5
55	в нем	4	5
56	в своей	9	5
57	только в	16	5
58	никогда не	11	5
59	и только	4	5
60	он не	6	5
61	сих пор	3	5
62	между тем	10	5
63	во всех	3	5
64	по существу	4	5
65	до сих	3	5
66	и то	9	4
67	что в	31	4
68	но не	7	4
69	его в	8	4
70	все же	11	4
71	не могут	5	4
72	не в	10	4
73	как и	20	4
74	более или	3	4
75	тому чтобы	2	4
76	в мире	2	4
77	как бы	17	4
78	все что	4	4
79	можно было	10	4
80	путь к	3	4
81	приводит к	5	4
82	так как	19	4
83	тогда когда	10	4
84	и т.д	8	4
85	которой он	2	4
86	в его	22	4
87	том случае	2	4
88	в их	12	4
89	когда они	2	4
90	во всем	7	4
91	в этой	7	4
92	в совершенно	5	4
93	себе и	2	4
94	вместе с	18	4
95	от того	8	4
96	в другое	2	4
97	в корне	2	4
98	или менее	5	4
99	все они	2	3
100	одна из	2	3
101	том чтобы	2	3
102	для этого	3	3
103	о котором	2	3
104	что все	2	3
105	что это	8	3
106	с нею	2	3
107	этом случае	4	3
108	на том	3	3
109	именно в	6	3
110	из этих	5	3
111	приходит к	7	3
112	должно быть	3	3
113	только к	2	3
114	не есть	5	3
115	всех этих	2	3
116	и потому	2	3
117	что оно	8	3
118	в другом	3	3
119	главным образом	3	3
120	из них	5	3
121	но если	2	3
122	ко всем	2	3
123	в самом	8	3
124	случае если	2	3
125	и как	11	3
126	можно ли	2	3
127	для них	3	3
128	так чтобы	2	3
129	что и	14	3
130	или в	4	3
131	таким же	4	3
132	и во	4	3
133	той или	2	3
134	и по	5	3
135	связи с	14	3
136	еще не	6	3
137	в виде	4	3
138	того что	17	3
139	в качестве	25	3
140	что они	23	3
141	друг друга	7	3
142	собой и	2	3
143	мы говорили	5	3
144	тем что	12	3
145	то в	3	3
146	тот факт	7	2
147	в течение	2	2
148	и от	5	2
149	с этим	6	2
150	этой третьей	3	2
151	есть и	2	2
152	тем самым	6	2
153	же образом	2	2
154	были бы	3	2
155	чтобы их	2	2
156	или иного	2	2
157	и те	3	2
158	ее в	2	2
159	для себя	2	2
160	лежит не	3	2
161	тому что	3	2
162	указывает на	3	2
163	на этой	7	2
164	из всех	2	2
165	но в	4	2
166	того или	2	2
167	не подлежит	2	2
168	ни в	12	2
169	в котором	3	2
170	остается в	2	2
171	так же	26	2
172	их в	6	2
173	на себя	2	2
174	в начале	5	2
175	от друга	2	2
176	состоит в	4	2
177	больше чем	2	2
178	в ней	3	2
179	уже не	3	2
180	на которой	2	2
181	этот вопрос	5	2
182	не тем	2	2
183	в результате	6	2
184	благодаря этому	7	2
185	по отношению	4	2
186	но для	2	2
187	и вместе	2	2
188	отличается от	5	2
189	в силу	9	2
190	этом и	2	2
191	и даже	4	2
192	а не	7	2
193	и тот	6	2
194	для нас	6	2
195	по этому	6	2
196	представить себе	3	2
197	по себе	11	2
198	мы можем	13	2
199	не можем	4	2
200	нисколько не	3	2
201	говоря о	2	2
202	целый ряд	4	2
203	точно так	4	2
204	речь идет	4	2
205	место в	3	2
206	пути к	3	2
207	если только	2	2
208	в других	2	2
209	и тем	8	2
210	и является	2	2
211	и что	15	2
212	но это	7	2
213	что с	8	2
214	все эти	9	2
215	том же	3	2
216	которых каждый	2	2
217	бы ни	2	2
218	а с	4	2
219	и тогда	2	2
220	является не	6	2
221	не просто	3	2
222	в этих	4	2
223	друг от	2	2
224	только на	2	2
225	в частности	4	2
226	факт что	7	2
227	в таком	4	2
228	так что	3	2
229	во время	3	2
230	на основании	11	2
231	во многих	3	2
232	в области	9	2
233	с ним	4	2
234	у него	3	2
235	видеть в	4	2
236	к данному	2	2
237	к той	2	2
238	мы уже	8	2
239	последнее время	6	2
240	и более	4	2
241	ясно что	4	2
