N	2gram	Bakhtin_Pr	Literetu
1	а не	5	50
2	и не	42	47
3	не только	9	46
4	и в	38	44
5	может быть	26	43
6	при этом	5	41
7	но и	9	41
8	в том	8	39
9	в этом	15	38
10	том что	3	32
11	в частности	2	30
12	то что	8	29
13	в мире	3	28
14	то же	5	26
15	как и	7	23
16	в то	4	23
17	не в	7	22
18	так и	5	22
19	того что	2	22
20	себя в	2	22
21	не может	27	22
22	же время	3	21
23	в себе	4	20
24	прежде всего	13	19
25	как бы	22	18
26	то есть	46	17
27	точки зрения	8	17
28	в его	43	17
29	с другой	7	17
30	тем самым	4	15
31	не менее	4	15
32	в целом	3	15
33	я не	2	15
34	только в	13	15
35	по отношению	21	14
36	что он	2	14
37	и даже	3	14
38	в своем	5	13
39	как это	2	13
40	эстетического объекта	37	13
41	с одной	3	13
42	но не	12	13
43	и его	16	13
44	к себе	2	12
45	в данном	4	12
46	в своей	7	12
47	еще не	7	12
48	отношению к	19	12
49	о том	4	12
50	одной стороны	3	12
51	никогда не	5	11
52	данном случае	4	11
53	это не	5	11
54	в другом	2	11
55	отличие от	5	11
56	с его	2	11
57	как в	4	11
58	в отличие	5	11
59	а в	6	11
60	в конечном	4	11
61	столь же	2	11
62	в основе	5	11
63	этом отношении	2	10
64	в области	11	10
65	что в	7	10
66	отнюдь не	19	10
67	в ее	4	10
68	конечном счете	4	10
69	и на	3	10
70	в поэзии	9	9
71	связи с	2	9
72	в начале	2	9
73	лишь в	2	9
74	эстетической деятельности	2	9
75	искусства и	3	9
76	одна из	2	8
77	едва ли	3	8
78	все же	6	8
79	в искусстве	12	8
80	по существу	2	8
81	но в	4	8
82	что не	4	8
83	и как	8	8
84	слова и	3	8
85	тем что	2	8
86	в своих	2	8
87	с точки	6	8
88	художественного творчества	12	8
89	в их	10	7
90	и тем	3	7
91	и других	2	7
92	в художественном	20	7
93	другой стороны	4	7
94	и для	11	7
95	перестает быть	4	7
96	человека в	2	7
97	у нас	2	7
98	в самом	7	7
99	и с	17	7
100	в нем	15	7
101	он не	3	7
102	на фоне	3	7
103	его в	9	6
104	в виду	4	6
105	самом деле	6	6
106	эстетический объект	37	6
107	и он	2	6
108	и др	8	6
109	было бы	8	6
110	не было	2	6
111	например в	3	6
112	во всех	11	6
113	в каждом	2	6
114	с миром	4	6
115	и наконец	6	6
116	в культуре	2	6
117	далеко не	5	6
118	в ней	4	6
119	и только	4	6
120	в слове	3	6
121	или иной	2	5
122	в романе	4	5
123	не знает	3	5
124	более того	4	5
125	между тем	7	5
126	несмотря на	3	5
127	что и	2	5
128	себя и	3	5
129	мир в	2	5
130	в связи	2	5
131	место в	8	5
132	хотя бы	4	5
133	в россии	2	5
134	в равной	2	5
135	должно быть	5	5
136	тем не	3	5
137	ни было	3	5
138	не с	4	5
139	в себя	2	5
140	в нашем	4	5
141	и к	3	5
142	об искусстве	3	5
143	не к	6	5
144	но с	3	5
145	входит в	8	4
146	в свою	2	4
147	нуждается в	2	4
148	не является	3	4
149	как к	2	4
150	и прежде	5	4
151	в лирике	2	4
152	объект и	4	4
153	не всегда	6	4
154	к своему	2	4
155	объекта и	7	4
156	и все	3	4
157	могут быть	5	4
158	в них	5	4
159	художественное творчество	7	4
160	хотя и	3	4
161	как мы	7	4
162	бы то	3	4
163	самим собою	2	4
164	одной из	3	4
165	но это	3	4
166	за пределы	12	4
167	к этому	2	4
168	но лишь	2	4
169	бы не	2	4
170	художественное произведение	8	4
171	для того	2	4
172	совершенно не	7	4
173	со всеми	3	4
174	ни к	2	4
175	в пределах	6	4
176	все они	5	4
177	можно сказать	2	4
178	на то	2	4
179	приводит к	3	4
180	в единстве	12	4
181	на этом	2	4
182	не вполне	2	4
183	вовсе не	2	4
184	и что	2	4
185	то ни	3	4
186	таким образом	10	4
187	и есть	2	4
188	отношения к	6	4
189	на самом	4	3
190	в иных	3	3
191	ничего не	6	3
192	и потому	4	3
193	бытия в	3	3
194	но как	2	3
195	искусства как	2	3
196	отношение к	10	3
197	есть не	2	3
198	от эстетического	2	3
199	том же	2	3
200	объекта в	5	3
201	т п	13	3
202	и о	5	3
203	они не	3	3
204	той или	2	3
205	направленной на	4	3
206	произведение в	6	3
207	а к	2	3
208	там где	6	3
209	того чтобы	2	3
210	все эти	5	3
211	не на	5	3
212	в истории	2	3
213	всех своих	2	3
214	должна быть	4	3
215	и т	14	3
216	за их	2	3
217	да и	3	3
218	относится к	4	3
219	и от	3	3
220	можно было	4	3
221	с действительностью	3	3
222	дело в	2	3
223	художественного произведения	11	3
224	если бы	3	3
225	так называемый	2	3
226	также и	3	3
227	в особенности	2	3
228	сказать и	3	3
229	в этих	2	3
230	себе не	2	3
231	за его	3	3
232	вследствие этого	3	3
233	в какой	2	3
234	художественного впечатления	2	3
235	ни с	2	3
236	не имеет	9	3
237	в чем	2	3
238	искусства в	2	3
239	не есть	6	3
240	из которых	2	3
241	произведения в	5	3
242	все что	3	3
243	мы в	3	3
244	здесь не	4	3
245	говорить о	3	3
246	же самое	2	3
247	с ним	5	3
248	как форма	7	2
249	к художественному	4	2
250	от него	3	2
251	для нее	8	2
252	оно было	2	2
253	как явление	2	2
254	и у	2	2
255	я должен	2	2
256	должен быть	2	2
257	а лишь	2	2
258	а как	3	2
259	словесного творчества	2	2
260	не остается	2	2
261	и при	2	2
262	в форму	2	2
263	была бы	2	2
264	его не	2	2
265	к его	2	2
266	тем как	5	2
267	для понимания	2	2
268	в него	2	2
269	к нему	10	2
270	она не	2	2
271	со словом	5	2
272	а только	2	2
273	вне себя	4	2
274	можно и	2	2
275	себя как	5	2
276	и художественного	3	2
277	с ними	4	2
278	объект в	5	2
279	и ее	2	2
280	и более	2	2
281	только как	6	2
282	и другими	3	2
283	может и	4	2
284	здесь мы	2	2
285	сказать что	4	2
286	по поводу	2	2
287	все то	3	2
288	только по	4	2
289	произведения как	8	2
290	с другими	3	2
291	в нашей	2	2
