N	3gram	Trubetskoy	RusskieA
1	в том что	16	49
2	тем не менее	4	14
3	в этом случае	4	12
4	вместе с тем	3	11
5	о том что	4	10
6	в данном случае	3	8
7	для того чтобы	7	8
8	в настоящее время	3	7
9	не может быть	4	6
10	так же как	3	6
11	в связи с	3	5
12	во всяком случае	2	4
13	в то время	2	4
14	но вместе с	2	3
15	более или менее	8	3
16	по отношению к	11	3
17	может быть и	4	3
18	с точки зрения	8	3
19	и в том	2	3
20	друг к другу	2	3
21	до сих пор	15	3
22	все же не	3	3
23	на то что	7	3
24	в свою очередь	2	3
25	каждый из этих	2	2
26	на самом деле	7	2
27	как и в	2	2
28	во всех этих	2	2
29	ничего общего с	2	2
30	друг с другом	9	2
31	с одной стороны	2	2
32	но так как	2	2
33	с другой стороны	4	2
34	но все же	2	2
