N	3gram	Losev_Dial	Vvedenie
1	и т д	28	39
2	в том что	12	15
3	о том что	6	13
4	в этом смысле	4	10
5	не может быть	4	10
6	тем не менее	3	9
7	до сих пор	4	7
8	в широком смысле	2	7
9	в то же	7	6
10	к выводу что	2	6
11	в самом деле	3	6
12	то же время	8	6
13	не что иное	4	5
14	во всяком случае	3	5
15	т д но	2	5
16	что иное как	4	5
17	и т п	3	5
18	с другой стороны	7	5
19	по крайней мере	11	4
20	не только в	2	4
21	так или иначе	3	4
22	само по себе	7	4
23	т е в	3	4
24	в этом отношении	2	4
25	и в этом	4	4
26	но все же	2	4
27	с одной стороны	3	4
28	с точки зрения	18	4
29	можно было бы	4	4
30	по сравнению с	2	4
31	то же самое	3	3
32	той или иной	4	3
33	одной стороны и	3	3
34	есть не что	3	3
35	в зависимости от	2	3
36	можно сказать что	6	3
37	сама по себе	12	3
38	одно и то	8	2
39	и то же	8	2
40	можно представить себе	2	2
41	т д все	2	2
42	мы уже знаем	4	2
43	сам по себе	8	2
44	не в том	2	2
45	как будто бы	3	2
46	в конце концов	4	2
47	принять во внимание	2	2
48	вовсе не в	3	2
49	точно так же	3	2
50	потому что он	5	2
51	может быть в	2	2
52	что в нем	4	2
53	может быть и	6	2
54	в связи с	3	2
55	как она есть	3	2
