N	2gram	Losev_Vlad	TeoriaLi
1	в качестве	7	33
2	не только	35	24
3	и в	56	24
4	в частности	4	23
5	то есть	5	22
6	может быть	12	22
7	в том	26	20
8	при этом	5	20
9	я в	4	18
10	и не	33	17
11	а в	20	15
12	но и	26	14
13	так и	11	14
14	а не	5	14
15	в себе	5	14
16	такого рода	4	13
17	но не	5	13
18	в этом	30	12
19	то же	10	12
20	но в	19	12
21	в его	18	12
22	том что	22	11
23	точки зрения	4	11
24	и его	12	11
25	лишь в	3	10
26	как это	11	10
27	что в	24	10
28	не в	12	9
29	с другой	3	9
30	в то	15	9
31	только в	11	9
32	не может	12	8
33	по своей	4	8
34	как бы	5	8
35	в своей	7	8
36	же время	7	8
37	особого рода	2	7
38	в своем	10	7
39	а также	12	7
40	мы имеем	2	7
41	себя в	6	7
42	отношение к	7	7
43	во второй	3	7
44	в области	3	7
45	в самом	3	7
46	место в	2	7
47	не столько	4	7
48	в нем	7	7
49	тем самым	2	6
50	другой стороны	3	6
51	со стороны	5	6
52	не менее	9	6
53	еще не	2	6
54	то что	30	6
55	или менее	5	6
56	как и	7	6
57	более или	5	6
58	или иначе	3	6
59	уже не	6	6
60	между ними	2	6
61	с его	15	6
62	как в	6	5
63	как к	4	5
64	ни в	4	5
65	и тем	2	5
66	для того	4	5
67	и о	6	5
68	для него	16	5
69	так или	3	5
70	а а	7	5
71	того чтобы	4	5
72	того что	6	5
73	он не	13	5
74	можно сказать	10	5
75	никогда не	15	4
76	сказать что	14	4
77	в отношении	5	4
78	его в	3	4
79	это не	3	4
80	и а	2	4
81	в стихотворении	3	4
82	в их	2	4
83	в этих	5	4
84	что он	22	4
85	по своему	5	4
86	к тому	5	4
87	того же	11	4
88	в свою	3	4
89	в целом	3	4
90	личности и	2	4
91	со своей	5	4
92	отношении к	2	4
93	и что	11	4
94	и сам	7	4
95	отношения к	4	4
96	в нашем	5	4
97	хотя и	9	4
98	но он	7	4
99	даже в	4	3
100	и то	13	3
101	и притом	5	3
102	и потому	8	3
103	во всех	4	3
104	из этих	5	3
105	о чем	6	3
106	в которой	8	3
107	и для	4	3
108	человека с	2	3
109	тем не	8	3
110	на меня	3	3
111	и как	7	3
112	в порядке	2	3
113	говоря о	2	3
114	если бы	2	3
115	свою очередь	2	3
116	в таком	2	3
117	одним из	3	3
118	с этой	4	3
119	а именно	4	3
120	в момент	2	3
121	и вот	5	3
122	ни к	2	3
123	а с	5	3
124	в жизни	4	3
125	в произведении	2	3
126	для себя	6	3
127	их в	3	3
128	именно в	4	3
129	потому что	16	3
130	что можно	4	3
131	прежде всего	5	3
132	к его	5	3
133	и к	10	3
134	этом смысле	4	3
135	отнюдь не	3	3
136	только не	2	3
137	все эти	6	3
138	и по	10	3
139	связи с	7	3
140	в связи	9	3
141	таким образом	6	3
142	известной степени	2	3
143	в этой	4	3
144	в одном	2	3
145	как раз	7	3
146	вовсе не	8	3
147	еще и	10	2
148	в каком	3	2
149	но она	4	2
150	не могли	2	2
151	не могут	2	2
152	то в	6	2
153	для всех	2	2
154	для меня	8	2
155	так же	4	2
156	но как	6	2
157	тем более	4	2
158	дело не	3	2
159	дело в	7	2
160	что она	2	2
161	за пределы	3	2
162	говорит что	4	2
163	о своем	3	2
164	это было	9	2
165	как уже	2	2
166	об этом	13	2
167	но на	3	2
168	и даже	23	2
169	в конце	22	2
170	на свою	3	2
171	и здесь	3	2
172	но во	2	2
173	я и	2	2
174	это и	2	2
175	это делает	3	2
176	жизни в	3	2
177	от своего	2	2
178	у нас	11	2
179	к своему	4	2
180	только на	3	2
181	и другие	2	2
182	своей жизни	5	2
183	у него	28	2
184	говорит в	2	2
185	на вопрос	2	2
186	в чем	4	2
187	вместе с	9	2
188	не могло	2	2
189	на котором	2	2
190	здесь мы	4	2
191	одной из	2	2
192	к нему	6	2
193	всей своей	2	2
194	всей его	2	2
195	и это	4	2
196	о том	13	2
197	однако эта	2	2
198	что такое	3	2
199	не вполне	3	2
200	и на	7	2
201	на себя	3	2
202	во мне	2	2
203	на этом	3	2
204	в году	54	2
205	он и	8	2
206	один из	4	2
207	собственно говоря	4	2
208	в них	5	2
209	по себе	3	2
210	несмотря на	7	2
211	здесь не	6	2
212	в той	2	2
213	к жизни	2	2
214	и весьма	2	2
215	что и	6	2
216	к числу	2	2
217	и больше	3	2
218	с ними	2	2
219	о его	7	2
220	то ни	2	2
221	и особенно	6	2
222	у одного	2	2
223	все это	7	2
224	что они	4	2
225	времени в	2	2
226	как будто	2	2
227	бы то	2	2
228	этих двух	2	2
229	ними и	2	2
230	я не	8	2
231	и который	2	2
