N	3gram	Losev_Dial	Formalny
1	с точки зрения	25	40
2	не может быть	12	29
3	то же время	3	20
4	в то же	3	20
5	и т д	38	19
6	во всяком случае	3	16
7	в связи с	3	16
8	в самом деле	6	11
9	в этом отношении	2	11
10	бы то ни	2	10
11	в зависимости от	3	10
12	с другой стороны	3	9
13	с одной стороны	3	8
14	сами по себе	3	7
15	и в этом	4	7
16	и пр и	2	7
17	того или иного	3	7
18	сам по себе	6	6
19	в данном случае	3	6
20	и в то	2	6
21	не только не	7	6
22	в том что	12	6
23	мы не можем	2	5
24	к тому что	2	5
25	как раз и	3	4
26	тем не менее	10	4
27	не могут быть	3	4
28	подобно тому как	5	4
29	в лучшем случае	2	4
30	не в том	5	4
31	т е как	2	4
32	сама по себе	11	4
33	как и все	5	4
34	то и другое	2	3
35	т е в	4	3
36	на первый план	4	3
37	ровно ничего не	8	3
38	то или иное	4	3
39	так или иначе	2	3
40	при этом условии	2	3
41	и в частности	2	3
42	равно как и	2	3
43	ни в одной	2	2
44	от того что	4	2
45	и прежде всего	6	2
46	тот или иной	2	2
47	должна быть и	2	2
48	выйти за пределы	2	2
49	в виду что	2	2
50	вовсе не в	3	2
51	что же такое	3	2
52	говоря уже о	6	2
53	из того что	2	2
54	иметь в виду	3	2
55	вовсе не есть	5	2
56	тем или другим	3	2
57	так же как	2	2
58	одних и тех	2	2
59	этой точки зрения	4	2
60	как и в	3	2
61	даже и не	3	2
62	с этой точки	4	2
63	тем что оно	2	2
64	но даже и	3	2
65	что это не	3	2
66	не потому что	2	2
67	не говоря уже	6	2
68	по себе а	2	2
69	и пр в	2	2
70	в таком случае	11	2
71	ни в чем	2	2
72	о том как	2	2
73	в последнее время	2	2
74	и тех же	2	2
75	тех или иных	2	2
