N	3gram	Vygotskiy_	DiskursI
1	в том что	33	28
2	в отличие от	3	26
3	по отношению к	19	17
4	с одной стороны	10	14
5	не может быть	4	12
6	в данном случае	3	12
7	о том что	7	9
8	в этом отношении	7	8
9	состоит в том	7	8
10	с точки зрения	12	6
11	но при этом	2	5
12	то же самое	7	5
13	одной стороны и	2	5
14	подобно тому как	6	5
15	по своей природе	2	5
16	с другой стороны	8	5
17	в первую очередь	4	5
18	в свою очередь	4	5
19	в свое время	2	4
20	а с другой	3	4
21	одного и того	8	4
22	можно сказать что	7	4
23	в этом случае	5	4
24	и не может	3	4
25	и того же	8	4
26	и в частности	3	3
27	по аналогии с	2	3
28	том что в	2	3
29	мы имеем дело	2	3
30	в том числе	2	3
31	том числе и	2	3
32	во всяком случае	2	3
33	в обоих случаях	2	3
34	а не как	2	2
35	и той же	3	2
36	как мы видели	4	2
37	потому что в	4	2
38	тем или иным	2	2
39	в той мере	3	2
40	мере в какой	3	2
41	с самого начала	8	2
42	одной и той	3	2
43	только то что	2	2
44	только в том	2	2
45	той мере в	3	2
46	то что они	2	2
47	включает в себя	2	2
48	и то что	6	2
49	в том чтобы	3	2
