N	2gram	Tiupa_Hudo	EvropaiE
1	и в	34	37
2	в пределах	4	25
3	точки зрения	7	23
4	что в	8	21
5	не только	22	18
6	с точки	5	17
7	в то	12	16
8	хотя бы	2	15
9	то же	14	15
10	в своем	9	14
11	но в	6	14
12	но и	13	14
13	и не	15	14
14	же время	11	14
15	в качестве	13	14
16	в этом	22	12
17	в том	24	11
18	в их	2	11
19	так и	19	10
20	с и	2	10
21	т е	6	9
22	так же	3	9
23	не может	10	9
24	отнюдь не	4	9
25	в себе	19	9
26	прежде всего	12	9
27	только в	8	9
28	одной стороны	4	8
29	между тем	14	8
30	в ее	16	8
31	было бы	8	8
32	в своей	15	8
33	с одной	4	8
34	к тому	11	8
35	по своему	3	7
36	с другой	4	7
37	а также	4	7
38	как и	16	7
39	так как	2	7
40	того что	5	7
41	том что	31	6
42	вслед за	3	6
43	во всех	2	6
44	и даже	4	6
45	может быть	12	6
46	и на	6	6
47	с этой	3	6
48	того чтобы	6	6
49	для того	3	6
50	на то	4	6
51	то что	13	6
52	как бы	11	6
53	вовсе не	2	6
54	но не	7	5
55	от этого	2	5
56	тем самым	2	5
57	и по	3	5
58	и потому	3	5
59	столь же	6	5
60	как мы	5	5
61	со стороны	6	5
62	не в	16	5
63	в виде	2	5
64	в частности	10	5
65	же как	4	5
66	одной из	5	5
67	как нам	3	5
68	даже в	4	4
69	сказать что	3	4
70	вопрос о	2	4
71	не имеет	2	4
72	или иного	4	4
73	или иной	2	4
74	можно сказать	9	4
75	то в	6	4
76	именно в	9	4
77	в самом	7	4
78	мы не	2	4
79	в ней	6	4
80	для нас	4	4
81	по себе	3	4
82	несмотря на	7	4
83	к ней	2	4
84	как это	8	4
85	то ни	2	4
86	того или	4	4
87	никогда не	8	3
88	и от	6	3
89	и для	5	3
90	ни на	2	3
91	и только	2	3
92	в данной	2	3
93	о том	21	3
94	идет о	3	3
95	в данном	3	3
96	всего лишь	7	3
97	в сфере	2	3
98	ту или	2	3
99	когда он	2	3
100	можно было	6	3
101	бы и	2	3
102	потребность в	2	3
103	и к	6	3
104	в результате	2	3
105	это так	3	3
106	из них	5	3
107	в них	3	3
108	тем в	2	3
109	место в	3	3
110	на себя	3	3
111	что и	3	3
112	во второй	7	3
113	там где	2	3
114	и тем	2	3
115	по своим	2	3
116	тем что	6	3
117	говорит о	4	3
118	этом отношении	4	3
119	по нашему	3	3
120	жизни в	12	3
121	не более	3	3
122	или иную	2	3
123	потому что	7	3
124	она в	5	3
125	в таком	3	3
126	себе в	2	3
127	заключает в	2	3
128	как в	11	3
129	как на	2	3
130	как было	2	3
131	дело в	2	3
132	данном случае	3	2
133	в мире	10	2
134	если в	4	2
135	в его	17	2
136	наше внимание	3	2
137	на месте	2	2
138	долгое время	2	2
139	что это	2	2
140	и то	2	2
141	к нему	2	2
142	она не	6	2
143	а в	11	2
144	участие в	3	2
145	с этим	3	2
146	с другими	2	2
147	в котором	5	2
148	заметить что	2	2
149	но как	3	2
150	в сторону	2	2
151	в свои	2	2
152	в своих	4	2
153	от друга	2	2
154	ценность в	2	2
155	и поэтому	2	2
156	и с	10	2
157	бы в	2	2
158	в другой	2	2
159	не нужно	3	2
160	что на	4	2
161	во втором	2	2
162	по преимуществу	6	2
163	что все	3	2
164	но еще	3	2
165	также в	2	2
166	между ними	2	2
167	в значительной	3	2
168	по своей	5	2
169	в одном	3	2
170	на них	2	2
171	что же	4	2
172	если бы	7	2
173	иначе говоря	2	2
174	в этих	7	2
175	жизни и	10	2
176	в силу	2	2
177	более чем	2	2
178	в других	4	2
179	а не	23	2
180	и что	3	2
181	нас к	2	2
182	же в	3	2
183	второй половине	2	2
184	но именно	3	2
185	и все	10	2
186	влияние на	2	2
187	или в	3	2
188	друг от	2	2
189	наряду с	4	2
190	он не	8	2
191	как будто	7	2
192	такой же	3	2
193	и эта	3	2
194	же мало	2	2
195	в этой	11	2
196	не означает	2	2
197	но с	3	2
198	хотя и	3	2
199	духовной жизни	2	2
200	к той	3	2
201	вместе с	2	2
202	он сам	3	2
203	на основе	2	2
204	и более	2	2
