N	2gram	Bakhtin_KF	NovoeSre
1	а не	17	17
2	и в	28	16
3	не может	29	16
4	совсем не	2	12
5	и не	28	11
6	и есть	10	10
7	что в	4	9
8	жизни и	8	8
9	в том	6	8
10	он не	6	8
11	не будет	2	7
12	может быть	45	7
13	как и	5	7
14	в этом	15	7
15	это есть	2	7
16	культуры и	5	7
17	никогда не	5	6
18	лишь в	8	6
19	ни в	12	6
20	не в	13	6
21	не знает	5	6
22	но это	6	6
23	с его	2	6
24	не только	5	5
25	в жизни	2	5
26	должен быть	7	5
27	все это	10	5
28	в нем	32	5
29	с ее	2	5
30	в ней	3	5
31	должно быть	6	4
32	по своему	3	4
33	и для	10	4
34	есть лишь	5	4
35	не имеет	6	4
36	прежде всего	4	4
37	не менее	3	4
38	не было	8	4
39	и потому	2	4
40	и мы	2	4
41	то что	7	4
42	о том	3	4
43	это не	10	4
44	потому что	2	4
45	и все	9	4
46	в час	3	4
47	в мире	8	3
48	но и	9	3
49	не значит	6	3
50	в ее	17	3
51	она не	2	3
52	и пр	3	3
53	жизни в	5	3
54	в своей	11	3
55	еще не	5	3
56	к ним	4	3
57	человека и	3	3
58	должна быть	4	3
59	как в	2	3
60	конечно не	7	3
61	не есть	22	3
62	во всех	11	3
63	вопрос о	2	3
64	это было	2	3
65	в основе	5	3
66	с тем	2	3
67	в себе	21	2
68	все они	2	2
69	для этого	2	2
70	себя в	8	2
71	но не	12	2
72	нет и	3	2
73	в категориях	4	2
74	думать что	2	2
75	того чтобы	2	2
76	и это	12	2
77	хотя бы	5	2
78	и весь	4	2
79	а в	5	2
80	но в	5	2
81	том что	4	2
82	и на	3	2
83	бытия в	5	2
84	ли это	2	2
85	все эти	11	2
86	я уже	2	2
87	мы не	3	2
88	в смысле	6	2
89	это и	3	2
90	ни одна	2	2
91	мира и	4	2
92	времени и	4	2
93	уже не	7	2
94	этот мир	2	2
95	так и	2	2
96	ни к	2	2
97	могут быть	3	2
98	жизни как	5	2
99	но для	3	2
100	быть в	4	2
101	в то	3	2
102	к содержанию	2	2
103	познания и	4	2
104	мы говорим	2	2
105	этом смысле	3	2
106	но я	2	2
107	место в	6	2
108	я не	6	2
