N	3gram	Bakhtin_Pr	VLabPisa
1	в этом отношении	7	14
2	с другой стороны	3	8
3	не может быть	8	8
4	по отношению к	17	7
5	в то же	10	5
6	в том что	10	5
7	то же время	10	5
8	в зависимости от	5	5
9	хотя бы и	3	5
10	в одном из	3	4
11	можно сказать что	3	4
12	подобно тому как	5	3
13	для того чтобы	3	3
14	и в то	3	3
15	о том что	5	3
16	это и есть	3	3
17	по крайней мере	3	2
18	в конце концов	7	2
19	во всяком случае	3	2
20	только то что	2	2
21	этой точки зрения	3	2
22	и не может	3	2
23	не только в	2	2
24	до сих пор	3	2
25	таким образом в	2	2
26	можно было бы	4	2
