N	2gram	Bakhtin_fo	Myslijsy
1	потому что	11	182
2	то есть	42	142
3	и в	84	121
4	может быть	18	107
5	в том	16	103
6	то что	13	83
7	для нас	2	75
8	что в	9	73
9	и не	19	73
10	только в	12	72
11	не только	16	67
12	а не	7	67
13	таким образом	14	64
14	том что	7	59
15	так как	12	59
16	в этом	41	59
17	но и	14	59
18	то же	18	56
19	не в	10	54
20	если бы	6	53
21	в себе	7	53
22	не может	8	52
23	по себе	3	52
24	того что	5	47
25	в нем	28	45
26	было бы	2	45
27	и проч	5	45
28	как и	15	42
29	так что	4	39
30	вместе с	9	39
31	мы не	4	38
32	что и	5	38
33	так и	17	37
34	при этом	8	37
35	как в	10	37
36	тогда когда	2	36
37	что мы	2	36
38	тем что	4	33
39	по отношению	3	30
40	а в	6	30
41	но не	9	29
42	что не	3	29
43	вовсе не	20	28
44	есть только	2	28
45	мы можем	2	28
46	для него	5	28
47	могут быть	7	27
48	с этим	11	27
49	и т	21	26
50	не было	8	26
51	отношению к	5	26
52	этого слова	2	25
53	в то	13	24
54	с тем	5	23
55	как бы	11	23
56	но в	16	22
57	не имеет	5	22
58	с другой	4	22
59	и потому	4	21
60	в ней	4	20
61	в одном	10	20
62	это не	8	20
63	и как	12	19
64	с ним	5	19
65	есть не	4	19
66	и то	5	19
67	сказать что	4	19
68	из этих	5	19
69	должно быть	6	19
70	о том	4	19
71	того же	9	19
72	в каком	2	18
73	для того	12	18
74	еще не	8	18
75	не могут	4	18
76	в самом	9	18
77	в таком	4	18
78	в его	19	17
79	слова и	4	17
80	точки зрения	14	17
81	во всяком	5	17
82	уже в	5	17
83	в своем	8	16
84	к тому	6	16
85	а только	2	16
86	в которой	3	16
87	так же	7	16
88	в них	11	16
89	и на	13	16
90	и по	5	15
91	т д	3	15
92	в этих	6	15
93	с одной	5	15
94	в ряду	2	15
95	что он	2	15
96	прежде всего	28	15
97	с другими	3	15
98	в свою	2	15
99	уже не	5	15
100	мы должны	2	14
101	должны быть	2	14
102	связи с	14	14
103	в истории	6	14
104	там где	4	14
105	то в	2	14
106	так сказать	14	14
107	в котором	8	14
108	в одно	3	14
109	все же	12	14
110	когда мы	2	14
111	во всех	13	14
112	же время	13	14
113	что все	4	13
114	и все	10	13
115	те же	5	13
116	т п	18	13
117	и может	2	13
118	например в	7	13
119	в смысле	5	13
120	из них	8	13
121	и его	26	13
122	как на	2	13
123	никогда не	8	12
124	человека и	15	12
125	друг друга	3	12
126	одно из	3	12
127	что на	3	12
128	все это	10	12
129	как мы	19	12
130	есть в	3	12
131	тем более	4	12
132	сих пор	4	12
133	быть только	4	12
134	оно не	3	12
135	в чем	3	12
136	хотя и	5	12
137	в каждом	2	12
138	до сих	4	12
139	той же	2	11
140	того чтобы	11	11
141	и вообще	3	11
142	только на	3	11
143	только для	2	11
144	все что	2	11
145	и их	11	11
146	же что	3	11
147	его в	8	11
148	если не	3	11
149	мы видели	2	11
150	с нею	2	11
151	же в	6	11
152	к ней	2	11
153	сами по	2	11
154	и это	5	11
155	и только	3	11
156	и следовательно	5	10
157	одной стороны	3	10
158	том как	2	10
159	и для	12	10
160	хотя бы	2	10
161	в других	9	10
162	тем же	3	10
163	так в	2	10
164	находится в	3	10
165	мы видим	4	10
166	и от	3	10
167	он не	6	10
168	если мы	2	10
169	и с	10	10
170	то время	4	10
171	и есть	3	10
172	вопрос о	2	9
173	и других	5	9
174	но оно	2	9
175	никто не	2	9
176	это было	2	9
177	и даже	5	9
178	далеко не	3	9
179	с точки	9	9
180	и того	7	9
181	связь между	2	9
182	самом деле	2	9
183	один из	5	9
184	в целом	2	9
185	во время	7	9
186	можно сказать	2	9
187	одного и	6	9
188	что даже	2	8
189	в более	2	8
190	тот же	4	8
191	одно и	4	8
192	не как	2	8
193	что они	3	8
194	и более	3	8
195	но все	6	8
196	человеческой природы	2	8
197	в самой	3	8
198	их в	6	8
199	именно в	5	8
200	в которых	4	8
201	внимание на	2	8
202	во всем	3	8
203	влияние на	6	8
204	была бы	2	8
205	между ними	5	8
206	словом и	2	8
207	или в	3	8
208	не имеют	4	7
209	для себя	8	7
210	а как	3	7
211	том же	4	7
212	самого начала	3	7
213	она не	2	7
214	с самого	3	7
215	во втором	2	7
216	и та	2	7
217	и во	13	7
218	себя и	6	7
219	значение и	7	7
220	место в	4	7
221	только один	2	7
222	или не	2	7
223	его с	2	7
224	все эти	12	7
225	когда я	2	7
226	и тот	2	7
227	с этой	3	7
228	как она	3	7
229	них не	2	7
230	все в	3	7
231	в таких	2	7
232	его к	2	7
233	в разных	6	7
234	на котором	2	7
235	не были	4	7
236	было в	2	7
237	в данном	4	7
238	к этому	5	7
239	этот образ	2	7
240	в жизни	6	7
241	его на	3	6
242	в виду	5	6
243	как он	4	6
244	друг от	2	6
245	в один	2	6
246	в стороне	2	6
247	в образе	8	6
248	в ее	6	6
249	в своей	2	6
250	в этой	3	6
251	вопрос об	2	6
252	в мире	4	6
253	у нас	2	6
254	в последнем	3	6
255	в человеческой	2	6
256	прежде чем	3	6
257	от друга	2	6
258	друг другу	4	6
259	образом и	2	6
260	все более	2	6
261	и к	4	6
262	для всех	3	6
263	форма в	3	6
264	в их	9	6
265	между двумя	6	6
266	и до	7	6
267	в сущности	5	6
268	нас в	3	6
269	да и	4	6
270	как оно	2	6
271	к ним	3	6
272	об этом	3	6
273	и самое	5	6
274	не могло	5	6
275	же самое	2	6
276	явлений и	3	6
277	но на	4	6
278	жизни и	12	6
279	и уже	4	6
280	же и	2	6
281	у него	8	6
282	ни был	2	6
283	лишь в	8	6
284	мы уже	17	6
285	но он	4	6
286	в процессе	4	5
287	только под	2	5
288	они не	4	5
289	свет и	2	5
290	нет но	3	5
291	рядом с	4	5
292	одна из	3	5
293	можно только	2	5
294	нет ничего	4	5
295	отношение к	5	5
296	здесь только	2	5
297	входит в	3	5
298	на нас	3	5
299	в нашем	3	5
300	чем в	3	5
301	виду что	2	5
302	и у	8	5
303	стремится к	2	5
304	человеческой жизни	9	5
305	не столько	2	5
306	слагаются в	2	5
307	все то	2	5
308	но эти	4	5
309	мы имеем	2	5
310	в начале	3	5
311	времени и	10	5
312	человека в	22	5
313	в течение	2	5
314	время как	5	5
315	и здесь	2	5
316	время и	4	5
317	в той	5	5
318	можно назвать	2	5
319	к другому	2	5
320	конечно не	7	5
321	природы и	2	5
322	не к	2	5
323	следовательно и	3	4
324	данном случае	2	4
325	с чем	2	4
326	в другом	2	4
327	не могла	2	4
328	здесь как	3	4
329	к своему	2	4
330	от этого	4	4
331	в поэзии	2	4
332	ту же	4	4
333	не на	4	4
334	был бы	3	4
335	и они	4	4
336	дело в	3	4
337	та же	4	4
338	все они	4	4
339	бы совершенно	2	4
340	ни в	9	4
341	еще более	7	4
342	равно как	4	4
343	он должен	2	4
344	ничего не	9	4
345	между этими	4	4
346	есть и	4	4
347	не без	2	4
348	но эта	5	4
349	не зная	2	4
350	не знает	4	4
351	по своему	3	4
352	одна и	2	4
353	все его	7	4
354	ему в	3	4
355	тела и	4	4
356	мы находим	2	4
357	по этому	2	4
358	на них	2	4
359	на другой	2	4
360	в связи	13	4
361	имеет место	6	4
362	с его	10	4
363	но она	2	4
364	имеет в	2	4
365	более и	2	4
366	бытия и	2	4
367	из нее	2	4
368	стороны и	2	4
369	явления в	2	4
370	этом отношении	5	4
371	и так	2	4
372	во многом	2	4
373	на этом	2	4
374	влияния на	2	4
375	в некоторых	4	4
376	отношения к	7	4
377	явления и	2	4
378	как человек	4	3
379	и ее	4	3
380	в отношении	5	3
381	и поэтому	2	3
382	а потом	2	3
383	что здесь	2	3
384	мы и	4	3
385	должен быть	2	3
386	и прежде	4	3
387	в другую	3	3
388	отличие от	3	3
389	и др	13	3
390	в ряд	8	3
391	здесь мы	4	3
392	одной из	3	3
393	явления природы	2	3
394	для них	3	3
395	входят в	2	3
396	они с	3	3
397	время в	7	3
398	кроме того	7	3
399	в греческом	29	3
400	и наконец	6	3
401	или как	5	3
402	себе и	4	3
403	их не	2	3
404	ни с	3	3
405	связанные с	5	3
406	есть именно	2	3
407	значения в	2	3
408	его жизни	11	3
409	в себя	3	3
410	мы будем	5	3
411	ясно что	2	3
412	в различных	2	3
413	которые в	2	3
414	и том	2	3
415	в одной	2	3
416	но для	2	3
417	даже не	2	3
418	после этого	2	3
419	как это	2	3
420	утверждает что	2	3
421	со всех	2	3
422	происходит в	2	3
423	а мы	2	3
424	с которой	2	3
425	большинстве случаев	2	3
426	значит что	2	3
427	и совершенно	3	3
428	совсем не	4	3
429	здесь не	5	3
430	это значит	3	3
431	человек и	2	3
432	жизни то	2	3
433	в пространстве	10	3
434	всех сторон	2	3
435	в результате	6	3
436	с такою	3	3
437	мы увидим	2	3
438	ее в	2	3
439	жизни не	3	3
440	в большинстве	3	3
441	это то	2	3
442	их и	3	3
443	связи между	2	3
444	в человеческом	2	3
445	он сам	2	3
446	своего значения	2	3
447	на первый	2	3
448	в форме	5	3
449	и весь	2	3
450	однако не	2	3
451	еще и	3	2
452	во времени	6	2
453	в полном	2	2
454	затем в	3	2
455	во все	4	2
456	роль в	12	2
457	уже на	3	2
458	на друга	4	2
459	начинается с	2	2
460	людей и	2	2
461	и силы	2	2
462	внутренняя жизнь	2	2
463	они были	4	2
464	значение для	3	2
465	для своего	2	2
466	ни к	3	2
467	времени в	14	2
468	формы и	4	2
469	того и	3	2
470	эти формы	2	2
471	принадлежит к	4	2
