N	2gram	Medvedev_U	Tragedij
1	и в	14	18
2	в этом	7	9
3	не только	10	8
4	и не	8	7
5	и с	2	7
6	может быть	6	7
7	же время	3	6
8	что он	2	6
9	но в	3	6
10	все же	3	5
11	это не	3	5
12	то же	5	5
13	как и	3	5
14	не может	7	5
15	в то	3	5
16	но и	4	4
17	прежде всего	8	4
18	том что	2	4
19	в этой	4	4
20	все это	5	4
21	то что	7	4
22	но это	2	4
23	в себе	2	4
24	в его	2	3
25	о чем	2	3
26	для него	3	3
27	в конце	2	3
28	в самом	2	2
29	и то	3	2
30	тем что	2	2
31	ничего не	2	2
32	не могут	2	2
33	что все	2	2
34	вряд ли	3	2
35	а как	2	2
36	что и	2	2
37	не в	2	2
38	это уже	2	2
39	в частности	3	2
40	к области	2	2
41	бы и	2	2
42	только к	3	2
43	что она	2	2
44	в том	2	2
45	не случайно	2	2
46	с его	2	2
