N	3gram	Tiupa_Lite	formyVre
1	и т п	2	32
2	то же время	12	21
3	в то же	12	18
4	в связи с	4	15
5	с точки зрения	4	15
6	не только в	4	11
7	и прежде всего	4	8
8	в том числе	2	8
9	прежде всего в	4	7
10	в этом отношении	5	7
11	в отличие от	6	7
12	не может быть	5	7
13	с одной стороны	8	6
14	в том же	3	6
15	в том что	15	5
16	не могло быть	2	4
17	в этом случае	2	4
18	с другой стороны	5	4
19	во всяком случае	2	4
20	по отношению к	4	4
21	но при этом	2	3
22	жизни и в	2	3
23	о том что	3	3
24	в себя и	2	3
25	все же в	2	3
26	дело в том	2	2
27	в соответствии с	2	2
28	в данном случае	6	2
29	в свою очередь	2	2
