N	2gram	Savitsky_E	Sovremen
1	не может	9	17
2	точки зрения	23	12
3	может быть	6	12
4	таким образом	2	11
5	мы не	4	9
6	не можем	2	7
7	и в	37	7
8	в этом	12	7
9	и не	14	6
10	как и	7	6
11	в результате	3	6
12	мы можем	3	6
13	что же	2	5
14	с точки	17	5
15	и наконец	2	5
16	прежде всего	9	5
17	вопрос о	4	4
18	мы видели	3	4
19	не только	18	4
20	в том	11	4
21	мы должны	2	4
22	как бы	6	4
23	так как	7	4
24	в развитии	2	4
25	жизни и	2	4
26	вместе с	2	4
27	а в	2	4
28	из них	3	4
29	для нас	4	3
30	и мы	3	3
31	и потому	5	3
32	но в	14	3
33	не в	5	3
34	было бы	8	3
35	в области	11	3
36	в себе	9	3
37	и все	2	3
38	между собой	2	3
39	а не	2	3
40	и к	3	3
41	в этой	2	3
42	то же	15	3
43	в одном	2	3
44	отнюдь не	9	3
45	на этот	2	2
46	и по	5	2
47	всяком случае	3	2
48	что все	2	2
49	не могут	2	2
50	мы видим	2	2
51	в его	2	2
52	с этим	2	2
53	и что	2	2
54	во всяком	3	2
55	и во	2	2
56	с другом	3	2
57	свою очередь	2	2
58	в самом	4	2
59	в виде	5	2
60	еще более	2	2
61	что в	21	2
62	в таком	3	2
63	такой же	2	2
64	в некоторых	2	2
65	в свою	3	2
66	то ни	4	2
67	могут быть	2	2
68	с одной	8	2
69	как мы	5	2
70	не дает	3	2
71	что это	2	2
72	или иной	4	2
73	и даже	6	2
74	друг с	3	2
