N	2gram	Vinokur_Vv	Sovremen
1	не может	19	17
2	точки зрения	12	12
3	может быть	30	12
4	таким образом	21	11
5	мы не	2	9
6	в каждом	4	8
7	и в	35	7
8	в этом	35	7
9	и не	13	6
10	ничего не	2	6
11	как и	7	6
12	в результате	4	6
13	мы можем	2	6
14	что же	3	5
15	с точки	4	5
16	все эти	3	5
17	прежде всего	10	5
18	вопрос о	10	4
19	мы видели	3	4
20	зависимости от	3	4
21	это не	8	4
22	не только	26	4
23	в том	38	4
24	в зависимости	3	4
25	мы должны	2	4
26	как бы	7	4
27	так как	15	4
28	же это	2	4
29	в дальнейшем	2	4
30	в целом	5	4
31	жизни и	2	4
32	вместе с	6	4
33	а в	6	4
34	из них	4	4
35	с помощью	2	4
36	и т.д	5	3
37	когда мы	2	3
38	и потому	2	3
39	на этой	3	3
40	но в	10	3
41	при этом	3	3
42	из двух	4	3
43	не в	10	3
44	все же	9	3
45	как он	6	3
46	было бы	7	3
47	в области	4	3
48	уже в	5	3
49	в себе	4	3
50	еще не	4	3
51	одна из	3	3
52	у нас	2	3
53	все это	6	3
54	в нем	13	3
55	а не	5	3
56	в первом	5	3
57	и к	3	3
58	что она	3	3
59	в этой	3	3
60	то же	11	3
61	мы называем	2	3
62	в одном	4	3
63	так называемых	4	3
64	в конце	3	3
65	ясно что	11	3
66	но все	4	2
67	только так	2	2
68	на этот	6	2
69	же самое	3	2
70	всяком случае	5	2
71	значение в	2	2
72	быть и	2	2
73	не менее	9	2
74	той же	4	2
75	не могут	6	2
76	в его	12	2
77	с этим	3	2
78	и что	6	2
79	во всяком	5	2
80	в и	4	2
81	что такое	12	2
82	такого рода	3	2
83	свою очередь	2	2
84	из этих	9	2
85	в самом	13	2
86	и есть	3	2
87	или же	3	2
88	в виде	4	2
89	что в	13	2
90	времени и	4	2
91	ни одна	2	2
92	самом деле	7	2
93	уже не	6	2
94	в свою	2	2
95	если же	2	2
96	могут быть	6	2
97	научного исследования	4	2
98	в отличие	4	2
99	отличие от	4	2
100	с одной	4	2
101	на этом	3	2
102	как мы	11	2
103	говорить о	5	2
104	что это	3	2
105	этих двух	2	2
106	или иной	3	2
107	тем не	9	2
108	на котором	2	2
109	из которых	3	2
110	своего предмета	2	2
111	и даже	6	2
112	и именно	13	2
