N	3gram	Ircho_Kome	Psycholo
1	в том что	15	78
2	для того чтобы	8	70
3	в самом деле	13	51
4	и т п	4	37
5	о том что	7	34
6	то же самое	3	31
7	с точки зрения	6	29
8	с одной стороны	4	28
9	до сих пор	12	23
10	и в самом	7	22
11	с другой стороны	2	20
12	с самого начала	5	16
13	во всяком случае	3	14
14	в этом отношении	2	14
15	в то время	3	14
16	то время как	3	13
17	в конце концов	3	12
18	в конечном счете	2	11
19	по сравнению с	3	11
20	вместе с тем	5	10
21	том что она	2	10
22	потому что в	2	9
23	что он не	3	9
24	в отличие от	3	9
25	друг с другом	3	8
26	речь идет о	3	8
27	что и в	2	7
28	состоит в том	2	7
29	в свою очередь	10	7
30	в какой мере	2	7
31	более или менее	2	6
32	тем не менее	3	6
33	именно потому что	2	6
34	по его мнению	2	6
35	и тот же	3	6
36	до тех пор	5	6
37	о том как	5	5
38	один и тот	3	5
39	к тому же	9	4
40	таким образом и	2	4
41	в основе своей	2	4
42	бы то ни	3	3
43	после того как	3	3
44	в этом случае	2	3
45	о чем идет	2	3
46	в то же	11	3
47	то обстоятельство что	3	3
48	по отношению к	4	3
49	то же время	11	3
50	едва ли не	4	3
51	в высшей степени	2	3
52	мы имеем в	2	2
53	в ответ на	4	2
54	вместе с ним	3	2
55	ни одно из	3	2
56	то ни было	3	2
57	и все же	2	2
58	в связи с	3	2
59	не иначе как	2	2
60	хотя и не	2	2
61	так как он	2	2
62	и в свою	2	2
63	но столь же	2	2
64	в чем же	2	2
65	имеем в виду	2	2
66	сих пор не	2	2
67	здесь нет и	3	2
68	чем идет речь	2	2
69	только для того	2	2
70	одной стороны и	2	2
71	так или иначе	3	2
72	как и всякий	2	2
73	равно как и	3	2
