N	2gram	Bakhtin_sl	Narrotol
1	не только	37	62
2	и не	32	50
3	при этом	12	47
4	но и	37	45
5	а не	29	38
6	в качестве	4	35
7	в частности	3	31
8	может быть	40	30
9	и в	69	30
10	в том	7	29
11	том что	6	28
12	в этом	21	28
13	а в	10	27
14	такого рода	2	26
15	только в	9	25
16	в данном	5	24
17	как и	8	24
18	не в	14	23
19	то что	2	23
20	то есть	46	22
21	не может	27	20
22	данном случае	3	17
23	в себе	3	17
24	так и	22	17
25	а также	5	17
26	в его	19	16
27	но в	13	15
28	можно сказать	2	15
29	к тому	3	15
30	и его	45	14
31	в своем	9	13
32	в своей	8	13
33	то же	17	13
34	у него	5	13
35	о том	5	13
36	уже не	5	13
37	перед нами	7	12
38	все же	10	12
39	прежде всего	14	12
40	как в	18	12
41	на протяжении	3	12
42	как бы	16	12
43	по отношению	2	11
44	и тем	3	11
45	героя в	2	11
46	отличие от	13	11
47	в нем	44	11
48	жизни в	2	11
49	отношению к	2	11
50	в отличие	12	11
51	хотя и	4	11
52	никогда не	9	10
53	в то	17	10
54	ничего не	5	10
55	как это	3	10
56	один из	9	10
57	точки зрения	24	10
58	того что	4	10
59	не является	3	10
60	и все	9	10
61	но не	7	10
62	жизни и	5	10
63	между тем	5	10
64	с его	8	10
65	еще не	9	9
66	что он	2	9
67	что в	3	9
68	тем не	2	9
69	той или	13	9
70	для него	8	9
71	далеко не	7	9
72	столь же	2	9
73	потому что	2	9
74	с ним	12	9
75	как раз	3	9
76	или иной	13	8
77	не менее	4	8
78	одна из	6	8
79	мира в	2	8
80	этом отношении	2	8
81	у нас	2	8
82	действующих лиц	2	8
83	и для	7	8
84	в самом	6	8
85	и к	9	8
86	в той	13	8
87	же время	15	8
88	в таком	5	8
89	он не	5	8
90	в свою	4	7
91	это не	8	7
92	в чем	2	7
93	в ней	7	7
94	одного из	2	7
95	в целом	3	7
96	в ее	2	7
97	же в	2	7
98	также и	5	7
99	с другой	8	7
100	в котором	2	7
101	и на	17	7
102	или в	10	7
103	в форме	3	7
104	одной стороны	7	6
105	о нем	6	6
106	в состав	3	6
107	в сознании	3	6
108	они не	3	6
109	не могла	2	6
110	однако в	3	6
111	в известном	2	6
112	что и	2	6
113	например в	6	6
114	сказать что	4	6
115	известном смысле	2	6
116	то в	2	6
117	из этих	3	6
118	здесь не	6	6
119	однако и	2	6
120	в результате	4	6
121	героя и	5	6
122	как у	2	6
123	с одной	7	6
124	на то	2	6
125	слова в	19	6
126	таким образом	16	6
127	в слове	11	6
128	от его	4	5
129	на самом	2	5
130	в другом	4	5
131	и у	2	5
132	а именно	2	5
133	или напротив	2	5
134	точку зрения	6	5
135	дело с	4	5
136	и о	3	5
137	к нему	7	5
138	высказывания в	2	5
139	место в	2	5
140	точка зрения	10	5
141	мира и	4	5
142	между собой	3	5
143	не столько	4	5
144	было бы	3	5
145	мы не	4	5
146	свою очередь	3	5
147	и здесь	5	5
148	да и	2	5
149	и то	2	5
150	и от	5	5
151	с ними	8	5
152	так сказать	11	5
153	бы и	6	5
154	себя в	14	5
155	с ее	6	5
156	и даже	11	5
157	для того	2	5
158	в пределах	27	5
159	в какой	2	5
160	за пределами	3	5
161	именно в	5	5
162	человек в	6	5
163	из них	3	5
164	в одном	4	5
165	не было	4	5
166	и сам	4	5
167	даже в	4	4
168	чужого слова	42	4
169	еще раз	3	4
170	и ее	3	4
171	но именно	5	4
172	роль в	4	4
173	а на	3	4
174	в виду	2	4
175	как он	2	4
176	только на	3	4
177	друг друга	3	4
178	по своему	2	4
179	в них	11	4
180	тому что	2	4
181	она не	8	4
182	на том	2	4
183	все его	4	4
184	так в	2	4
185	не все	2	4
186	в герое	2	4
187	и по	3	4
188	не на	6	4
189	что они	2	4
190	в первом	3	4
191	как мы	15	4
192	в основе	8	4
193	быть и	6	4
194	хотя бы	6	4
195	к этому	3	4
196	это было	2	4
197	к ней	2	4
198	и как	3	4
199	которая не	3	4
200	человека в	5	4
201	со всеми	3	4
202	не могло	3	4
203	не с	5	4
204	внутренней речи	3	4
205	в сфере	2	4
206	оно не	12	4
207	и с	10	4
208	для нас	7	4
209	по себе	4	4
210	несмотря на	2	4
211	всяком случае	7	4
212	по своей	2	4
213	во всяком	9	4
214	или даже	5	4
215	в себя	3	4
216	вместе с	3	4
217	до конца	25	3
218	ни о	2	3
219	и потому	9	3
220	так же	2	3
221	сознания в	2	3
222	но как	2	3
223	с таким	3	3
224	как к	5	3
225	должен быть	3	3
226	а лишь	2	3
227	с этой	3	3
228	а как	3	3
229	в виде	4	3
230	и иных	6	3
231	связано с	3	3
232	в романе	64	3
233	а его	2	3
234	его не	4	3
235	не знает	3	3
236	а с	2	3
237	одной из	4	3
238	к ним	2	3
239	как уже	2	3
240	в него	9	3
241	рассказчика и	3	3
242	между ними	2	3
243	же как	2	3
244	все эти	15	3
245	той же	3	3
246	связи с	4	3
247	в едином	2	3
248	в связи	2	3
249	и т	56	3
250	интерес к	3	3
251	особенно в	3	3
252	или иного	2	3
253	в зависимости	4	3
254	в направлении	2	3
255	произведения как	3	3
256	первом случае	2	3
257	все время	4	3
258	того или	2	3
259	характер и	2	3
260	но это	3	3
261	можно было	2	3
262	дело в	2	3
263	бы быть	2	3
264	если она	2	3
265	дело не	2	3
266	в которой	4	3
267	зависимости от	4	3
268	лишь в	6	3
269	в противовес	2	3
270	в этих	8	3
271	всех его	9	3
272	сих пор	4	3
273	о себе	2	3
274	входит в	8	3
275	приводит к	2	3
276	именно эта	2	3
277	могли бы	2	3
278	только не	2	3
279	с точки	11	3
280	и что	2	3
281	говорить о	2	3
282	не просто	2	3
283	и только	2	3
284	на фоне	11	3
285	жизни но	2	3
286	к своей	2	3
287	чем он	2	3
288	подчеркнуть что	2	3
289	но он	4	3
290	до сих	4	3
291	в нее	3	2
292	них как	2	2
293	наконец в	5	2
294	или менее	5	2
295	одному из	2	2
296	слов в	2	2
297	оно и	4	2
298	в их	6	2
299	высказывания как	2	2
300	говорящего и	3	2
301	к своему	11	2
302	так что	2	2
303	т п	49	2
304	людей и	2	2
305	к различным	2	2
306	одновременно и	5	2
307	в контексте	5	2
308	только с	3	2
309	они могут	7	2
310	более или	5	2
311	жизнь в	2	2
312	в более	2	2
313	те же	3	2
314	где они	4	2
315	могут быть	25	2
316	язык как	5	2
317	рассказ в	3	2
318	в процессе	14	2
319	не предполагает	3	2
320	с языком	4	2
321	в единство	2	2
322	для них	2	2
323	ли он	4	2
324	именно к	3	2
325	когда она	2	2
326	у тургенева	7	2
327	и во	3	2
328	обстоит дело	4	2
329	в сущности	18	2
330	в двух	2	2
331	и иные	2	2
332	вовсе не	16	2
333	одно и	3	2
334	не столь	2	2
335	и вообще	2	2
336	все то	2	2
337	слово не	3	2
338	меньшей степени	4	2
339	но все	2	2
340	в смысловом	2	2
341	другой стороны	5	2
342	нас в	3	2
343	должно быть	3	2
344	его как	3	2
345	преимущественно в	4	2
346	целый ряд	2	2
347	автора в	2	2
348	и одновременно	2	2
349	слова и	21	2
350	по своим	6	2
351	все это	14	2
352	не есть	2	2
353	в особенности	10	2
354	и наконец	9	2
355	как о	2	2
356	и есть	2	2
357	одним из	5	2
358	его и	5	2
359	смысл и	3	2
360	быть только	3	2
361	во всех	25	2
362	должна быть	3	2
363	и более	3	2
